Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Antofagasta plc,1260.196044921875,1440.0,1387.0,1440.0,1109085
2021-07-13,Antofagasta plc,1240.2279052734375,1440.0,1387.5,1422.5,1200128
2021-07-14,Antofagasta plc,1244.66552734375,1417.5,1381.5,1389.0,1002386
2021-07-15,Antofagasta plc,1232.2408447265625,1415.5,1380.5,1397.0,1121177
2021-07-16,Antofagasta plc,1211.8292236328125,1397.5,1357.0,1396.0,1540848
2021-07-19,Antofagasta plc,1190.5301513671875,1363.5,1321.5,1350.0,1726435
2021-07-20,Antofagasta plc,1210.498046875,1383.5,1337.5,1354.5,1743046
2021-07-21,Antofagasta plc,1261.9708251953125,1426.5,1369.5,1379.5,2090740
2021-07-22,Antofagasta plc,1257.533447265625,1473.0,1417.0,1438.5,1359047
2021-07-23,Antofagasta plc,1275.28271484375,1456.5,1428.0,1430.0,1254176
2021-07-26,Antofagasta plc,1327.1993408203125,1508.5,1442.0,1448.5,1562576
2021-07-27,Antofagasta plc,1312.1123046875,1499.5,1454.0,1496.0,1404990
2021-07-28,Antofagasta plc,1320.5433349609375,1494.5,1462.5,1466.5,1015563
2021-07-29,Antofagasta plc,1360.0352783203125,1546.0,1493.0,1500.0,1327982
2021-07-30,Antofagasta plc,1326.311767578125,1523.5,1491.0,1515.0,1017231
2021-08-02,Antofagasta plc,1349.385986328125,1540.0,1509.0,1517.0,1501411
2021-08-03,Antofagasta plc,1356.92919921875,1542.5,1513.5,1522.0,732978
2021-08-04,Antofagasta plc,1356.92919921875,1544.5,1519.0,1534.5,878913
2021-08-05,Antofagasta plc,1337.4051513671875,1525.0,1499.0,1514.0,4378626
2021-08-06,Antofagasta plc,1351.6043701171875,1525.0,1497.0,1514.0,810818
2021-08-09,Antofagasta plc,1340.9549560546875,1521.0,1481.5,1511.5,1961934
2021-08-10,Antofagasta plc,1364.4727783203125,1537.5,1501.302978515625,1518.5,1184770
2021-08-11,Antofagasta plc,1380.0032958984375,1561.5,1502.0,1537.5,1590064
2021-08-12,Antofagasta plc,1357.373046875,1567.0,1526.5,1553.5,777116
2021-08-13,Antofagasta plc,1369.7974853515625,1548.0,1524.5,1530.0,545203
2021-08-16,Antofagasta plc,1356.485595703125,1537.5,1502.5,1535.0,1148742
2021-08-17,Antofagasta plc,1342.7298583984375,1550.5,1498.5,1515.0,2776605
2021-08-18,Antofagasta plc,1305.0128173828125,1533.0,1461.5,1513.0,2034936
2021-08-19,Antofagasta plc,1246.884033203125,1433.0,1372.5,1407.5,3602787
2021-08-20,Antofagasta plc,1241.559326171875,1425.5,1365.5,1411.5,1588356
2021-08-23,Antofagasta plc,1267.2957763671875,1430.0,1403.0,1414.5,1289088
2021-08-24,Antofagasta plc,1305.4564208984375,1483.5,1425.0,1435.0,1187404
