Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Associated British Foods,2008.88427734375,2180.0,2122.0,2174.0,745656
2021-07-13,Associated British Foods,1981.4300537109375,2134.0,2087.0,2124.0,984409
2021-07-14,Associated British Foods,1973.8565673828125,2111.0,2067.800048828125,2081.0,945469
2021-07-15,Associated British Foods,1916.108154296875,2084.699951171875,2017.0,2076.0,1273256
2021-07-16,Associated British Foods,1939.775390625,2073.0,2031.0,2041.0,1525392
2021-07-19,Associated British Foods,1860.253173828125,2026.0,1945.0,2026.0,1810796
2021-07-20,Associated British Foods,1891.0206298828125,2016.0,1975.0,1981.5,2103479
2021-07-21,Associated British Foods,1973.8565673828125,2089.0,2026.0,2027.0,2025472
2021-07-22,Associated British Foods,1935.9886474609375,2118.0,2045.0,2088.0,974437
2021-07-23,Associated British Foods,1931.2552490234375,2074.0,2036.0,2061.0,889184
2021-07-26,Associated British Foods,1935.9886474609375,2054.0,2022.0,2033.0,1237041
2021-07-27,Associated British Foods,1933.1485595703125,2045.0,2010.0,2032.0,693363
2021-07-28,Associated British Foods,1933.1485595703125,2064.0,2036.0,2036.0,634157
2021-07-29,Associated British Foods,1933.1485595703125,2059.0,2040.0,2054.0,917117
2021-07-30,Associated British Foods,1900.0142822265625,2028.0,1981.5,2016.0,1003970
2021-08-02,Associated British Foods,1921.788330078125,2058.0,2019.0,2025.0,709020
2021-08-03,Associated British Foods,1904.747802734375,2040.0,2002.2950439453125,2032.0,594209
2021-08-04,Associated British Foods,1914.2147216796875,2047.0,2014.800048828125,2029.0,865583
2021-08-05,Associated British Foods,1940.72216796875,2052.0,2003.0,2013.0,1179705
2021-08-06,Associated British Foods,1931.2552490234375,2056.0,2026.0,2050.0,618490
2021-08-09,Associated British Foods,1929.3619384765625,2043.0,2019.449951171875,2029.0,673079
2021-08-10,Associated British Foods,1962.4962158203125,2077.0,2030.0,2038.0,704804
2021-08-11,Associated British Foods,1973.8565673828125,2091.0,2068.514892578125,2080.0,822073
2021-08-12,Associated British Foods,1965.336181640625,2106.0,2062.0,2081.0,2122199
2021-08-13,Associated British Foods,1964.3895263671875,2101.0,2069.114013671875,2077.0,1026634
2021-08-16,Associated British Foods,1946.4024658203125,2064.0,2046.0,2058.0,2950068
2021-08-17,Associated British Foods,1916.108154296875,2055.0,2017.0,2055.0,712235
2021-08-18,Associated British Foods,1914.2147216796875,2032.0,2009.0,2028.0,577845
2021-08-19,Associated British Foods,1888.654052734375,2008.0,1973.5,1980.0,527232
2021-08-20,Associated British Foods,1907.587890625,2016.0,1986.5,2007.0,1334559
2021-08-23,Associated British Foods,1887.23388671875,2037.0,1991.1099853515625,2037.0,698074
2021-08-24,Associated British Foods,1895.2808837890625,2013.989990234375,1981.5,2006.0,1370286
2021-08-25,Associated British Foods,1890.54736328125,2014.0,1983.0,2002.0,1890538
2021-08-26,Associated British Foods,1873.0335693359375,2003.0,1972.0,1992.5,665441
2021-08-27,Associated British Foods,1868.3001708984375,1989.5,1963.0,1980.0,958575
2021-08-31,Associated British Foods,1874.4534912109375,1991.0,1958.0,1991.0,802631
2021-09-01,Associated British Foods,1893.387451171875,2013.0,1987.0,1992.5,1184334
2021-09-02,Associated British Foods,1859.7799072265625,2003.0,1961.0,2003.0,499096
2021-09-03,Associated British Foods,1858.8331298828125,1996.0,1962.2559814453125,1967.0,491134
2021-09-06,Associated British Foods,1856.9398193359375,1983.0,1959.9100341796875,1969.0,327408
2021-09-07,Associated British Foods,1854.0999755859375,1986.5,1953.0,1957.5,2063716
2021-09-08,Associated British Foods,1826.6455078125,1956.282958984375,1922.5,1950.0,1067823
2021-09-09,Associated British Foods,1827.1187744140625,1940.25,1893.0,1910.0,865235
2021-09-10,Associated British Foods,1864.986572265625,1970.0,1918.5,1934.5,1157522
2021-09-13,Associated British Foods,1820.9654541015625,1981.5,1891.5,1960.5,1367671
2021-09-14,Associated British Foods,1811.4984130859375,1939.1800537109375,1903.0,1920.0,1129408
2021-09-15,Associated British Foods,1753.7503662109375,1917.0,1852.5,1913.5,1309234
2021-09-16,Associated British Foods,1787.8310546875,1895.1600341796875,1856.530029296875,1859.5,2346014
2021-09-17,Associated British Foods,1789.2513427734375,1923.0,1879.5,1901.5,2000397
2021-09-20,Associated British Foods,1772.210693359375,1886.6829833984375,1855.5,1885.5,867827
2021-09-21,Associated British Foods,1788.3045654296875,1900.0,1883.0,1883.0,539901
2021-09-22,Associated British Foods,1803.45166015625,1918.3199462890625,1890.5,1896.0,1760673
2021-09-23,Associated British Foods,1802.0316162109375,1932.5,1897.0,1922.0,3008630
2021-09-24,Associated British Foods,1781.6776123046875,1895.5,1876.5,1893.5,4655118
2021-09-27,Associated British Foods,1834.2191162109375,1946.5,1881.0,1903.0,4829432
2021-09-28,Associated British Foods,1796.351318359375,1948.0,1897.5,1939.0,1147765
2021-09-29,Associated British Foods,1815.758544921875,1929.5,1893.0,1922.0,649502
