Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Berkeley Group Holdings,4497.51318359375,4772.0,4710.0,4752.0,227610
2021-07-13,Berkeley Group Holdings,4489.9111328125,4771.0,4702.0,4725.0,150875
2021-07-14,Berkeley Group Holdings,4504.1640625,4749.0,4690.0,4706.0,166709
2021-07-15,Berkeley Group Holdings,4402.48779296875,4735.0,4629.0,4723.0,193307
2021-07-16,Berkeley Group Holdings,4416.74169921875,4686.669921875,4595.0,4659.0,300974
2021-07-19,Berkeley Group Holdings,4370.17919921875,4622.0,4559.0,4600.0,372996
2021-07-20,Berkeley Group Holdings,4507.96533203125,4779.0,4627.0,4627.0,474458
2021-07-21,Berkeley Group Holdings,4614.392578125,4879.0,4769.0,4798.0,809729
2021-07-22,Berkeley Group Holdings,4679.95947265625,4944.0,4867.0,4867.0,332629
2021-07-23,Berkeley Group Holdings,4689.46240234375,4972.0,4900.0,4950.0,198690
2021-07-26,Berkeley Group Holdings,4610.59228515625,4939.35009765625,4839.0,4917.0,493436
2021-07-27,Berkeley Group Holdings,4588.736328125,4844.0,4758.0,4826.0,300330
2021-07-28,Berkeley Group Holdings,4583.9853515625,4896.0,4824.0,4825.0,158805
2021-07-29,Berkeley Group Holdings,4592.537109375,4858.0,4781.0,4840.0,182304
2021-07-30,Berkeley Group Holdings,4603.93994140625,4853.0,4780.0,4802.0,241005
2021-08-02,Berkeley Group Holdings,4636.24853515625,4899.0,4839.0,4852.0,115735
2021-08-03,Berkeley Group Holdings,4635.29833984375,4915.0,4852.0,4887.0,160143
2021-08-04,Berkeley Group Holdings,4636.24853515625,4919.0,4862.0,4910.0,139341
2021-08-05,Berkeley Group Holdings,4649.55224609375,4904.0,4845.0,4869.0,235192
2021-08-06,Berkeley Group Holdings,4696.1142578125,4951.0,4852.0,4891.0,135204
2021-08-09,Berkeley Group Holdings,4652.40283203125,4951.0,4832.0,4942.0,1654053
2021-08-10,Berkeley Group Holdings,4672.35791015625,4945.0,4844.0,4916.0,1581343
2021-08-11,Berkeley Group Holdings,4673.3076171875,4950.0,4908.0,4924.0,139329
2021-08-12,Berkeley Group Holdings,4668.55712890625,4942.0,4883.0,4910.0,131575
2021-08-13,Berkeley Group Holdings,4697.06396484375,4950.0,4875.0,4891.0,196222
2021-08-16,Berkeley Group Holdings,4668.55712890625,4913.0,4866.0,4900.0,3858138
2021-08-17,Berkeley Group Holdings,4613.44287109375,4931.0,4841.89990234375,4876.0,4824134
2021-08-18,Berkeley Group Holdings,4683.76025390625,4934.0,4809.0,4876.0,322992
2021-08-19,Berkeley Group Holdings,4594.43798828125,4929.0,4815.0,4893.0,216504
2021-08-20,Berkeley Group Holdings,4627.6962890625,4894.0,4802.0,4879.0,140418
2021-08-23,Berkeley Group Holdings,4571.63134765625,4937.0,4794.0,4918.0,142129
2021-08-24,Berkeley Group Holdings,4601.08935546875,4847.0,4800.0,4814.0,175497
2021-08-25,Berkeley Group Holdings,4586.8359375,4876.0,4821.0,4827.0,121534
2021-08-26,Berkeley Group Holdings,4585.88525390625,4848.0,4784.0,4805.0,120088
2021-08-27,Berkeley Group Holdings,4582.083984375,4835.0,4785.0,4818.0,866456
2021-08-31,Berkeley Group Holdings,4586.8359375,4850.0,4766.0,4850.0,534286
2021-09-01,Berkeley Group Holdings,4606.791015625,4896.0,4841.2001953125,4861.0,174977
2021-09-02,Berkeley Group Holdings,4529.82080078125,4835.0,4763.0,4815.0,200936
2021-09-03,Berkeley Group Holdings,4514.6171875,4825.0,4720.0,4779.0,155890
2021-09-06,Berkeley Group Holdings,4561.1787109375,5232.0,4669.0,4679.5,186340
2021-09-07,Berkeley Group Holdings,4426.244140625,4899.0,4652.0,4811.0,248545
2021-09-08,Berkeley Group Holdings,4302.2373046875,4624.5,4527.5,4616.0,810937
2021-09-09,Berkeley Group Holdings,4330.26904296875,4563.0,4467.0,4500.0,260276
2021-09-10,Berkeley Group Holdings,4352.125,4603.0,4560.0,4596.0,278673
2021-09-13,Berkeley Group Holdings,4419.59228515625,4693.0,4595.0,4605.0,416304
2021-09-14,Berkeley Group Holdings,4409.14013671875,4707.0,4621.0,4671.0,171779
2021-09-15,Berkeley Group Holdings,4381.5830078125,4688.0,4604.0,4653.0,309699
2021-09-16,Berkeley Group Holdings,4398.6875,4655.0,4574.4951171875,4632.0,228215
2021-09-17,Berkeley Group Holdings,4354.02587890625,4686.0,4571.0,4674.0,620776
2021-09-20,Berkeley Group Holdings,4307.4638671875,4579.26513671875,4504.0,4547.0,237524
2021-09-21,Berkeley Group Holdings,4314.115234375,4587.0,4510.0,4567.0,135753
2021-09-22,Berkeley Group Holdings,4354.02587890625,4590.0,4564.0,4564.0,126347
2021-09-23,Berkeley Group Holdings,4326.46875,4620.0,4534.0,4607.0,457708
2021-09-24,Berkeley Group Holdings,4271.35400390625,4535.0,4480.0,4535.0,187015
2021-09-27,Berkeley Group Holdings,4220.9912109375,4539.0,4430.0,4539.0,195989
2021-09-28,Berkeley Group Holdings,4153.5234375,4445.0,4352.0,4438.0,281552
2021-09-29,Berkeley Group Holdings,4118.36474609375,4399.0,4329.0,4360.0,239170
2021-09-30,Berkeley Group Holdings,4144.9716796875,4373.0,4340.0,4346.0,330813
2021-10-01,Berkeley Group Holdings,4079.404541015625,4326.0,4259.0,4308.0,288956
2021-10-04,Berkeley Group Holdings,4058.498779296875,4309.0,4249.0,4276.0,268473
2021-10-05,Berkeley Group Holdings,4015.73779296875,4305.0,4226.0,4289.0,152239
2021-10-06,Berkeley Group Holdings,3961.573974609375,4218.0,4101.69384765625,4194.0,376288
2021-10-07,Berkeley Group Holdings,4028.091552734375,4271.0,4200.0,4210.0,268994
2021-10-08,Berkeley Group Holdings,4019.53955078125,4289.0,4223.0,4265.0,211720
2021-10-11,Berkeley Group Holdings,3976.778076171875,4238.0,4182.0,4211.0,257983
2021-10-12,Berkeley Group Holdings,3996.733154296875,4206.0,4123.537109375,4149.0,411388
2021-10-13,Berkeley Group Holdings,4065.15087890625,4327.0,4195.0,4231.0,256218
2021-10-14,Berkeley Group Holdings,4086.05615234375,4319.0,4218.0,4311.0,394796
2021-10-15,Berkeley Group Holdings,4076.553955078125,4324.0,4276.0,4312.0,277370
2021-10-18,Berkeley Group Holdings,4060.399658203125,4296.0,4245.0,4275.0,339088
