Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Croda International,7338.716796875,7712.0,7624.0,7624.0,167359
2021-07-13,Croda International,7409.1533203125,7794.0,7700.0,7700.0,207922
2021-07-14,Croda International,7371.07958984375,7776.0,7688.2109375,7710.0,330461
2021-07-15,Croda International,7369.17578125,7848.90478515625,7712.0,7730.0,343564
2021-07-16,Croda International,7454.841796875,7838.85400390625,7712.0,7770.0,526413
2021-07-19,Croda International,7407.2490234375,7828.0,7695.51513671875,7820.0,277592
2021-07-20,Croda International,7390.11669921875,7832.0,7680.0,7798.0,591434
2021-07-21,Croda International,7411.05712890625,7862.0,7756.0,7800.0,270270
2021-07-22,Croda International,7487.20458984375,7875.6650390625,7740.0,7790.0,223924
2021-07-23,Croda International,7550.0263671875,7962.0,7862.0,7902.0,287296
2021-07-26,Croda International,7449.130859375,7952.0,7820.0,7898.0,232596
2021-07-27,Croda International,7867.94189453125,8392.0,8020.0,8060.0,603855
2021-07-28,Croda International,7917.43798828125,8432.0,8102.0,8432.0,357985
2021-07-30,Croda International,8014.52587890625,8446.0,8158.27685546875,8208.0,292930
2021-08-02,Croda International,8084.96240234375,8524.0,8420.0,8474.0,261046
2021-08-03,Croda International,8174.435546875,8629.4296875,8476.0,8478.0,233593
2021-08-04,Croda International,8298.17578125,8782.0,8594.576171875,8604.0,660783
2021-08-05,Croda International,8378.1298828125,8956.0,8694.0,8694.0,344274
2021-08-06,Croda International,8303.88671875,8866.0,8724.0,8802.0,264759
2021-08-09,Croda International,8301.982421875,8758.0,8686.0,8716.0,180927
2021-08-10,Croda International,8389.552734375,8830.0,8752.0,8752.0,271450
2021-08-11,Croda International,8408.58984375,8886.0,8804.0,8820.0,249255
2021-08-12,Croda International,8473.314453125,8902.0,8810.0,8832.0,332136
2021-08-13,Croda International,8583.728515625,9020.0,8896.0,8912.0,198163
2021-08-16,Croda International,8591.34375,9038.0,8898.0,8974.0,199486
2021-08-17,Croda International,8654.1650390625,9148.0,8998.0,9036.0,249983
2021-08-18,Croda International,8766.4814453125,9238.0,9098.0,9098.0,255554
2021-08-19,Croda International,8728.41015625,9176.0,8984.85546875,9128.0,267748
2021-08-20,Croda International,8793.1337890625,9284.0,9130.0,9158.0,173234
2021-08-23,Croda International,8795.0380859375,9304.0,9206.0,9282.0,138939
2021-08-24,Croda International,8825.4970703125,9358.0,9200.0,9200.0,179881
2021-08-25,Croda International,8699.853515625,9330.0,9119.3779296875,9276.0,366725
2021-08-26,Croda International,8614.1875,9156.0,9032.0,9140.0,331286
2021-08-27,Croda International,8617.9951171875,9128.0,9024.0,9066.0,235028
2021-08-31,Croda International,8707.46875,9179.2431640625,9012.0,9064.0,389793
2021-09-01,Croda International,8760.7705078125,9204.0,9058.0,9150.0,221999
2021-09-02,Croda International,8817.8818359375,9298.6767578125,9186.0,9206.0,239330
2021-09-03,Croda International,8756.9638671875,9280.0,9142.0,9268.0,131090
2021-09-06,Croda International,8855.955078125,9324.0,9228.0,9228.0,109230
2021-09-07,Croda International,8726.5048828125,9312.0,9140.0,9278.0,159086
2021-09-08,Croda International,8739.83203125,9218.0,9046.0,9138.0,170128
2021-09-09,Croda International,8785.259765625,9222.4033203125,9064.0,9094.0,230385
2021-09-10,Croda International,8781.4345703125,9266.0,9172.0,9224.0,152788
2021-09-13,Croda International,8802.4736328125,9284.0,9190.0,9200.0,4647
2021-09-14,Croda International,8806.298828125,9246.0,9120.0,9176.0,323233
2021-09-15,Croda International,8676.232421875,9254.0,9062.0,9220.0,463659
2021-09-16,Croda International,8745.091796875,9176.0,9066.0,9088.0,320840
2021-09-17,Croda International,8572.943359375,9228.0,8962.0,9228.0,749366
2021-09-20,Croda International,8571.03125,8988.0,8885.849609375,8904.0,251429
2021-09-21,Croda International,8697.2724609375,9112.0,8976.0,9024.0,237058
2021-09-22,Croda International,8697.2724609375,9144.0,9042.0,9120.0,187117
2021-09-23,Croda International,8678.14453125,9172.0,9074.0,9122.0,195350
2021-09-24,Croda International,8454.3515625,9050.0,8814.0,9044.0,291229
2021-09-27,Croda International,8115.7958984375,8905.171875,8454.0,8896.0,571580
2021-09-28,Croda International,8106.232421875,8482.0,8158.0,8458.0,464851
2021-09-29,Croda International,8092.84326171875,8660.0,8416.0,8448.0,242245
2021-09-30,Croda International,8171.267578125,8584.0,8428.0,8534.0,444919
2021-10-01,Croda International,8071.802734375,8656.0,8440.0,8512.0,378089
2021-10-04,Croda International,8037.3740234375,8512.0,8322.0,8400.0,375451
2021-10-05,Croda International,8071.802734375,8478.0,8380.0,8422.0,572921
2021-10-06,Croda International,8035.4609375,8446.0,8274.0,8376.0,263889
2021-10-07,Croda International,7978.07861328125,8518.0,8300.0,8464.0,679184
2021-10-08,Croda International,7903.48095703125,8386.0,8242.0,8344.0,481939
2021-10-11,Croda International,7905.39404296875,8266.0,8168.0,8220.0,168726
2021-10-12,Croda International,8056.501953125,8450.0,8182.0,8210.0,307477
2021-10-13,Croda International,8352.9775390625,8754.0,8406.0,8416.0,384504
2021-10-14,Croda International,8400.7958984375,8844.0,8700.0,8782.0,287505
2021-10-15,Croda International,8423.7490234375,8828.0,8732.0,8788.0,239640
2021-10-18,Croda International,8460.091796875,8850.0,8674.0,8748.0,249852
2021-10-19,Croda International,8446.701171875,8906.0,8766.0,8866.0,193540
2021-10-20,Croda International,8483.0439453125,8962.0,8774.0,8832.0,329896
