Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Darktrace,530.5,559.5,526.5,553.5,2082490
2021-07-13,Darktrace,546.5,555.5,523.5280151367188,534.5,450322
2021-07-14,Darktrace,577.5,599.5,544.4429931640625,554.0,1630083
2021-07-15,Darktrace,599.5,664.0,585.0,595.0,2789849
2021-07-16,Darktrace,650.0,677.5,602.0,610.0,2245871
2021-07-19,Darktrace,667.0,690.6630249023438,639.0,653.5,1427739
2021-07-20,Darktrace,720.0,739.0,664.5,673.5,4187609
2021-07-21,Darktrace,718.0,787.0,710.5,739.0,1779582
2021-07-22,Darktrace,672.0,749.0,595.1099853515625,719.0,2150312
2021-07-23,Darktrace,692.0,716.0,634.5,680.0,1537952
2021-07-26,Darktrace,715.0,736.97998046875,692.5,715.0,2476560
2021-07-27,Darktrace,706.0,732.0,704.0,711.5,1555983
2021-07-28,Darktrace,731.5,748.0,680.1699829101562,710.0,879539
2021-07-29,Darktrace,749.5,763.5,716.6019897460938,731.5,787747
2021-07-30,Darktrace,765.0,785.0,743.9500122070312,766.5,774425
2021-08-02,Darktrace,734.0,782.0,723.0,782.0,527637
2021-08-03,Darktrace,696.5,752.5,683.947998046875,745.0,2059144
2021-08-04,Darktrace,690.0,710.0,657.7349853515625,699.0,1173126
2021-08-05,Darktrace,685.0,700.0,653.0,697.0,635261
2021-08-06,Darktrace,640.0,657.5,620.0029907226562,635.0,19577890
2021-08-09,Darktrace,611.5,645.0,598.0,640.0,2429740
2021-08-10,Darktrace,625.0,637.5,587.1339721679688,619.5,1386947
2021-08-11,Darktrace,620.0,643.0,614.0,625.0,552080
2021-08-12,Darktrace,620.0,642.5,605.0,642.5,1561940
2021-08-13,Darktrace,618.0,630.0,612.0,630.0,647655
2021-08-16,Darktrace,585.0,618.125,583.5,615.0,840303
2021-08-17,Darktrace,570.0,586.2999877929688,543.0,580.0,2336834
2021-08-18,Darktrace,575.0,601.2000122070312,567.0,570.5,1255559
2021-08-19,Darktrace,560.0,577.5,555.5,577.5,518040
2021-08-20,Darktrace,582.5,592.0,560.0,560.0,510232
2021-08-23,Darktrace,578.0,611.4500122070312,574.0,610.0,663599
2021-08-24,Darktrace,586.0,594.5,580.0,587.5,554377
2021-08-25,Darktrace,594.5,595.5,570.0,590.0,404077
2021-08-26,Darktrace,615.0,621.0,585.0,591.5,696949
2021-08-27,Darktrace,606.5,631.5,606.5,616.0,871223
2021-08-31,Darktrace,620.0,647.5,608.0,620.0,1431601
2021-09-01,Darktrace,644.5,647.5,623.5,645.0,1155743
2021-09-02,Darktrace,633.0,654.0,633.0,648.0,643778
2021-09-03,Darktrace,681.5,681.5,631.5,641.0,1563849
2021-09-06,Darktrace,692.5,695.0,667.5,688.0,1218747
2021-09-07,Darktrace,712.0,720.9400024414062,690.5,698.5,1175403
2021-09-08,Darktrace,738.0,758.0,711.0,713.0,2824596
2021-09-09,Darktrace,725.5,755.0,698.0,755.0,952013
2021-09-10,Darktrace,728.0,741.5,705.0,705.0,797014
2021-09-13,Darktrace,670.0,736.0,666.6939697265625,729.5,1061970
2021-09-14,Darktrace,638.5,692.0,627.531982421875,672.0,1542641
2021-09-15,Darktrace,731.0,745.5,647.5,655.0,4997980
2021-09-16,Darktrace,818.0,822.0,738.0,749.0,3721332
2021-09-17,Darktrace,865.5,922.5,815.5,822.5,18978966
2021-09-20,Darktrace,865.0,880.5,840.5,866.0,2422989
2021-09-21,Darktrace,901.5,910.0,836.5,870.0,2028936
2021-09-22,Darktrace,916.5,938.7639770507812,886.0,890.0,1618303
2021-09-23,Darktrace,985.0,997.0,917.5,925.0,2660076
2021-09-24,Darktrace,909.0,1003.0,893.3720092773438,992.5,2597250
2021-09-27,Darktrace,864.0,919.0,841.3109741210938,912.0,1726560
2021-09-28,Darktrace,813.5,880.5,784.3040161132812,854.0,2422735
2021-09-29,Darktrace,815.5,860.5,804.5,825.0,1334133
2021-09-30,Darktrace,820.0,853.0,809.1240234375,828.0,1271575
2021-10-01,Darktrace,794.0,808.0,722.5,760.0,25073164
2021-10-04,Darktrace,790.5,815.0,786.0,794.5,2978062
2021-10-05,Darktrace,840.5,844.5,783.6199951171875,797.5,3168638
2021-10-06,Darktrace,827.5,864.5,750.9000244140625,841.0,1235979
2021-10-07,Darktrace,853.0,858.5,820.5,842.0,1046953
2021-10-08,Darktrace,872.0,872.0,841.2000122070312,855.0,1075499
2021-10-11,Darktrace,831.0,895.0,806.5,891.0,1781965
2021-10-12,Darktrace,840.0,865.72998046875,784.5,834.5,2633435
2021-10-13,Darktrace,904.5,910.5,821.5,850.0,4552519
2021-10-14,Darktrace,957.0,983.0,922.0,926.5,3477085
2021-10-15,Darktrace,879.0,988.5,879.0,962.0,6128239
2021-10-18,Darktrace,875.0,932.5,867.2219848632812,922.0,2375716
2021-10-19,Darktrace,925.0,925.0,880.0,880.5,1516389
2021-10-20,Darktrace,911.5,932.0,907.5,928.0,1895780
2021-10-21,Darktrace,950.0,953.3140258789062,893.0,896.5,3812555
2021-10-22,Darktrace,945.5,969.5,931.9429931640625,953.5,1768470
2021-10-25,Darktrace,750.0,937.0999755859375,693.0,915.0,11214404
2021-10-26,Darktrace,733.5,760.0,693.5,760.0,9373758
2021-10-27,Darktrace,730.5,761.5,668.0,741.0,4615198
2021-10-28,Darktrace,779.5,780.0,724.0,731.5,1998239
2021-10-29,Darktrace,802.5,815.5,762.0759887695312,776.0,2006878
2021-11-01,Darktrace,681.5,815.4920043945312,680.0,803.0,5255918
2021-11-02,Darktrace,632.5,702.1500244140625,630.0,680.0,5774125
2021-11-03,Darktrace,600.0,608.5,565.0,565.0,21291086
2021-11-04,Darktrace,599.0,604.5,573.3389892578125,594.0,5045641
2021-11-05,Darktrace,577.5,599.5,576.0,599.5,3355001
2021-11-08,Darktrace,649.5,651.0,575.8499755859375,578.0,6224807
2021-11-09,Darktrace,610.0,651.0999755859375,605.5,646.5,3142407
2021-11-10,Darktrace,599.5,627.5,588.0,605.5,3291087
2021-11-11,Darktrace,609.0,617.0,596.3560180664062,598.5,2431008
2021-11-12,Darktrace,582.0,607.5,580.0,607.5,6836336
2021-11-15,Darktrace,568.5,594.9420166015625,562.7249755859375,581.5,2901253
2021-11-16,Darktrace,544.0,569.5,536.5,567.5,3567798
2021-11-17,Darktrace,550.0,557.5,530.364013671875,547.0,2274708
2021-11-18,Darktrace,524.5,549.594970703125,523.5,548.5,1096587
2021-11-19,Darktrace,527.5,540.4439697265625,512.9669799804688,523.5,8951263
2021-11-22,Darktrace,509.0,544.0,502.5,529.5,3681066
2021-11-23,Darktrace,498.79998779296875,516.0,490.79998779296875,508.0,4109132
2021-11-24,Darktrace,489.0,505.8399963378906,475.1940002441406,499.3999938964844,3543909
2021-11-25,Darktrace,479.6000061035156,500.6759948730469,479.0,489.0,2162659
2021-11-26,Darktrace,471.0,489.79998779296875,458.75299072265625,480.0,2004178
2021-11-29,Darktrace,462.0,485.3999938964844,461.20001220703125,481.79998779296875,1654524
2021-11-30,Darktrace,460.0,473.0,448.3999938964844,466.79998779296875,2634327
2021-12-01,Darktrace,476.6000061035156,488.6000061035156,456.6000061035156,460.20001220703125,2850961
2021-12-02,Darktrace,433.79998779296875,479.79998779296875,433.79998779296875,477.20001220703125,2492249
2021-12-03,Darktrace,426.79998779296875,449.3999938964844,423.8800048828125,436.0,2623686
2021-12-06,Darktrace,416.20001220703125,436.114013671875,413.0,430.0,5066692
2021-12-07,Darktrace,429.0,437.29998779296875,416.3999938964844,422.6000061035156,3790536
2021-12-08,Darktrace,409.79998779296875,434.03399658203125,405.6000061035156,428.3999938964844,2901340
2021-12-09,Darktrace,414.3999938964844,430.20001220703125,402.12701416015625,412.20001220703125,2215030
2021-12-10,Darktrace,397.0,420.4490051269531,397.0,415.0,1951621
2021-12-13,Darktrace,391.79998779296875,406.79998779296875,390.3659973144531,397.0,1691412
2021-12-14,Darktrace,376.0,403.20001220703125,375.0,393.3999938964844,2301243
2021-12-15,Darktrace,398.6000061035156,406.79998779296875,378.8659973144531,381.79998779296875,2827606
2021-12-16,Darktrace,411.0,430.5459899902344,405.3999938964844,407.0,3774366
2021-12-17,Darktrace,420.0,424.3999938964844,394.0509948730469,409.0,18859682
2021-12-20,Darktrace,400.6000061035156,424.79998779296875,397.20001220703125,416.79998779296875,4927427
2021-12-22,Darktrace,425.6000061035156,427.3999938964844,408.20001220703125,411.20001220703125,1943005
2021-12-23,Darktrace,413.79998779296875,427.20001220703125,409.07000732421875,422.79998779296875,937187
2021-12-29,Darktrace,415.0,441.6000061035156,414.0,414.3999938964844,6824125
2021-12-30,Darktrace,420.0,427.5270080566406,414.6449890136719,416.79998779296875,1076051
2022-01-04,Darktrace,391.3999938964844,430.0,391.0,427.20001220703125,3156151
2022-01-05,Darktrace,402.79998779296875,407.12799072265625,380.79998779296875,384.0,1745951
2022-01-07,Darktrace,391.3999938964844,401.79998779296875,387.3999938964844,394.6000061035156,1811592
2022-01-10,Darktrace,394.79998779296875,398.79998779296875,384.20001220703125,384.20001220703125,1979106
2022-01-11,Darktrace,422.0,495.20001220703125,420.0,450.20001220703125,6747442
2022-01-12,Darktrace,443.3999938964844,455.20001220703125,427.1600036621094,427.6000061035156,3834958
2022-01-13,Darktrace,440.0,459.7829895019531,433.79998779296875,448.3999938964844,2172040
2022-01-14,Darktrace,444.6000061035156,446.2349853515625,426.20001220703125,436.0,2386864
2022-01-17,Darktrace,413.20001220703125,433.6000061035156,405.3999938964844,433.6000061035156,4153696
2022-01-18,Darktrace,433.79998779296875,439.20001220703125,408.6000061035156,414.0,6627778
2022-01-19,Darktrace,417.0,446.0,411.0,433.0,5142525
2022-01-20,Darktrace,436.3999938964844,436.3999938964844,410.79998779296875,415.0,1872013
2022-01-21,Darktrace,424.0,439.0,414.20001220703125,432.3999938964844,7184394
2022-01-24,Darktrace,362.0,423.0,361.20001220703125,423.0,5139588
2022-01-25,Darktrace,352.3999938964844,376.7869873046875,352.20001220703125,365.0,3085199
2022-01-26,Darktrace,358.6000061035156,365.6000061035156,353.3999938964844,353.79998779296875,1674215
2022-01-27,Darktrace,388.0,388.0,347.3999938964844,352.0,3172317
2022-01-28,Darktrace,399.3999938964844,401.0,384.6000061035156,391.3999938964844,2489133
2022-01-31,Darktrace,407.79998779296875,412.3999938964844,401.1579895019531,406.79998779296875,5104152
2022-02-01,Darktrace,389.3999938964844,414.79998779296875,383.0,411.0,1439382
2022-02-02,Darktrace,399.0,416.0,392.0,400.3999938964844,3316925
2022-02-03,Darktrace,383.3999938964844,401.0,381.20001220703125,393.79998779296875,2608884
2022-02-04,Darktrace,377.0,391.0,368.0,385.0,1573560
