Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Entain,1806.1361083984375,1878.0,1837.280029296875,1871.5,1156800
2021-07-13,Entain,1810.494140625,1877.5,1850.0,1860.0,1359474
2021-07-14,Entain,1812.9151611328125,1894.0,1853.2080078125,1865.5,1069248
2021-07-15,Entain,1771.756591796875,1875.5,1829.0,1863.0,1213395
2021-07-16,Entain,1763.5247802734375,1874.5,1819.0,1844.0,1701457
2021-07-19,Entain,1711.229248046875,1813.0,1728.5,1800.5,1425635
2021-07-20,Entain,1691.376220703125,1785.0,1727.5,1771.5,1978493
2021-07-21,Entain,1735.440185546875,1804.5,1757.0,1757.0,2037713
2021-07-22,Entain,1792.5780029296875,1864.0,1809.0,1821.5,993362
2021-07-23,Entain,1790.1568603515625,1866.0,1841.0,1853.0,810156
2021-07-26,Entain,1794.030517578125,1853.5,1834.5,1842.5,942110
2021-07-27,Entain,1776.5987548828125,1858.5,1828.0,1847.0,1075396
2021-07-28,Entain,1758.6827392578125,1836.0,1797.0,1797.0,1745336
2021-07-29,Entain,1766.4300537109375,1828.0,1798.0,1820.5,1613895
2021-07-30,Entain,1759.1669921875,1817.5,1780.0,1804.5,1129697
2021-08-02,Entain,1762.072265625,1839.0,1806.5,1823.0,564697
2021-08-03,Entain,1745.6087646484375,1821.0,1788.0,1816.5,962986
2021-08-04,Entain,1852.136962890625,1950.0,1810.0,1814.0,2608789
2021-08-05,Entain,1875.3795166015625,1961.5,1898.0,1908.0,3069564
2021-08-06,Entain,1868.115966796875,1983.5,1923.0,1942.0,2325481
2021-08-09,Entain,1871.98974609375,1936.0,1878.0,1929.5,1770868
2021-08-10,Entain,1909.274658203125,1999.800048828125,1937.5,1937.5,2526043
2021-08-11,Entain,1903.464111328125,1979.0,1941.0,1965.5,1830350
2021-08-12,Entain,1881.1900634765625,1969.5,1922.0,1922.0,1691754
2021-08-13,Entain,1898.1376953125,1972.0,1944.0,1948.0,1445430
2021-08-16,Entain,1844.3892822265625,1953.0,1894.0,1940.0,1212302
2021-08-17,Entain,1825.5050048828125,1900.0,1870.0,1870.0,2512774
2021-08-18,Entain,1798.388671875,1903.5,1849.699951171875,1899.0,2374165
2021-08-19,Entain,1785.314697265625,1850.5,1798.5,1833.5,1521910
2021-08-20,Entain,1790.6409912109375,1871.0,1829.5,1843.0,2694811
2021-08-23,Entain,1804.6834716796875,1881.0,1860.0,1870.0,2026764
2021-08-24,Entain,1812.4310302734375,1885.300048828125,1866.5,1873.0,1075302
2021-08-25,Entain,1854.5579833984375,1915.0,1868.5,1868.5,2359449
2021-08-26,Entain,1854.5579833984375,1918.0,1891.0,1906.5,1992414
2021-08-27,Entain,1849.231689453125,1925.5,1886.0,1903.5,805661
2021-08-31,Entain,1871.98974609375,1933.0,1902.5,1914.0,1773555
2021-09-01,Entain,1915.5694580078125,1990.0,1945.0,1962.5,1591265
2021-09-02,Entain,1887.0006103515625,1987.5,1942.0,1960.0,1021374
2021-09-03,Entain,1881.67431640625,1950.5,1927.5,1948.0,564321
2021-09-06,Entain,1887.0006103515625,1973.0,1915.0,1953.0,472942
2021-09-07,Entain,1887.9691162109375,1965.5,1937.0350341796875,1942.5,2381040
2021-09-08,Entain,1849.7158203125,1950.5,1910.0,1944.5,511958
2021-09-09,Entain,1860.852783203125,1921.5,1873.5,1900.0,646829
2021-09-10,Entain,1865.6949462890625,1953.5,1925.5,1939.0,730517
2021-09-13,Entain,1844.87353515625,1920.5,1894.5,1917.5,72158
2021-09-14,Entain,1882.158447265625,1944.5,1900.5,1906.5,1107114
2021-09-15,Entain,1829.3785400390625,1933.5,1887.0,1933.5,2169485
2021-09-16,Entain,1867.6318359375,1933.5,1888.5,1889.5,2147445
2021-09-17,Entain,1894.2637939453125,1991.0,1943.5,1949.5,2932071
2021-09-20,Entain,1855.042236328125,1962.0,1870.5,1940.0,1667593
2021-09-21,Entain,2189.637451171875,2400.0,1889.0,1941.5,6686302
2021-09-22,Entain,2301.976318359375,2500.0,2377.0,2500.0,10522136
2021-09-23,Entain,2190.605712890625,2389.0,2256.617919921875,2375.0,9434534
2021-09-24,Entain,2140.2470703125,2275.135986328125,2009.219970703125,2250.0,3560212
2021-09-27,Entain,2152.8369140625,2263.0,2170.0,2213.0,2337361
2021-09-28,Entain,2083.109130859375,2210.0,2151.0,2199.0,2692956
2021-09-29,Entain,2096.667236328125,2222.0,2129.0,2157.0,2074022
2021-09-30,Entain,2062.772216796875,2212.0,2127.0,2184.0,2332184
2021-10-01,Entain,2087.951416015625,2166.0,2071.0,2090.0,2376237
2021-10-04,Entain,2054.055908203125,2172.0,2118.0,2141.0,1955150
2021-10-05,Entain,2064.708984375,2151.0,2116.0,2125.0,4871412
2021-10-06,Entain,2024.03466796875,2106.0,2060.0,2096.0,2562114
2021-10-07,Entain,2066.645751953125,2154.0,2095.0,2100.0,2029248
2021-10-08,Entain,2064.708984375,2161.0,2119.43994140625,2122.0,4121164
2021-10-11,Entain,2041.46630859375,2135.0,2090.0,2106.0,1730398
2021-10-12,Entain,2007.5711669921875,2110.014892578125,2051.0,2070.0,2538760
2021-10-13,Entain,2000.7921142578125,2095.0,2050.0,2095.0,3361505
2021-10-14,Entain,1994.0130615234375,2104.0,2036.0,2100.0,2065575
2021-10-15,Entain,2030.8134765625,2098.0,2059.199951171875,2068.0,1953956
2021-10-18,Entain,2056.961669921875,2138.0,2063.0,2079.0,1987230
2021-10-19,Entain,2102.47802734375,2211.0,2059.0,2120.0,3308590
2021-10-20,Entain,2091.824951171875,2201.0,2155.9560546875,2200.0,3170174
2021-10-21,Entain,2055.9931640625,2162.47900390625,2120.0,2147.0,1776311
2021-10-22,Entain,2057.93017578125,2162.0,2120.0,2136.0,768980
2021-10-25,Entain,2069.551025390625,2144.0,2117.0,2134.0,465823
2021-10-26,Entain,1938.81201171875,2157.0,1886.0,2143.0,7521809
2021-10-27,Entain,1984.32861328125,2055.0,2013.0,2025.0,3126836
2021-10-28,Entain,1994.0130615234375,2060.0,2010.0,2036.0,1802597
2021-10-29,Entain,1983.360107421875,2068.0,2008.0,2039.0,1374676
2021-11-01,Entain,1996.91845703125,2076.0,2034.6099853515625,2064.0,905795
2021-11-02,Entain,1985.2969970703125,2078.464111328125,2001.0,2072.0,1905589
2021-11-03,Entain,1968.83349609375,2057.0,2014.0,2043.0,1469634
2021-11-04,Entain,1960.1175537109375,2045.0,2022.0,2036.0,1659588
2021-11-05,Entain,1983.360107421875,2067.0,2027.0,2027.0,2073929
2021-11-08,Entain,1947.528076171875,2081.52001953125,1998.5,2057.0,1526240
2021-11-09,Entain,1909.7587890625,2016.0,1969.5,1999.5,2784493
2021-11-10,Entain,1902.011474609375,1982.5,1923.0,1962.0,995548
2021-11-11,Entain,1961.0860595703125,2034.0,1943.0,1950.0,2326484
2021-11-12,Entain,1934.4541015625,2032.0,1963.5,2021.0,1307073
2021-11-15,Entain,1908.79052734375,2013.5760498046875,1970.5,1975.5,1210216
2021-11-16,Entain,1909.274658203125,1974.0,1940.0,1958.0,3088448
2021-11-17,Entain,1909.274658203125,2006.0,1950.0,1963.0,1760747
2021-11-18,Entain,1887.9691162109375,1992.5,1945.0,1974.5,880400
2021-11-19,Entain,1857.947509765625,1959.5,1854.741943359375,1951.5,2147966
2021-11-22,Entain,1859.88427734375,1929.0,1897.2960205078125,1918.5,1990752
2021-11-23,Entain,1825.5050048828125,1923.0,1879.0,1879.0,1257638
2021-11-24,Entain,1767.8828125,1874.0,1783.4239501953125,1874.0,3606673
2021-11-25,Entain,1768.8511962890625,1835.0,1796.8489990234375,1825.5,1793570
2021-11-26,Entain,1669.58642578125,1788.0,1697.0,1715.0,2307914
2021-11-29,Entain,1690.8919677734375,1788.0,1733.5,1747.5,2053800
2021-11-30,Entain,1616.322265625,1723.0,1658.0,1711.0,3838090
2021-12-01,Entain,1666.19677734375,1720.5,1676.5,1690.5,1920469
