Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Frasers Group,602.5,613.0,599.5,609.0,283587
2021-07-13,Frasers Group,604.5,606.5,588.0,588.0,191347
2021-07-14,Frasers Group,609.0,611.0,597.5,605.5,165678
2021-07-15,Frasers Group,596.0,611.0,596.0,606.0,544642
2021-07-16,Frasers Group,594.0,603.0,580.8590087890625,600.0,460053
2021-07-19,Frasers Group,568.5,589.5,561.0,589.5,545032
2021-07-20,Frasers Group,578.0,580.0,568.5,573.0,411959
2021-07-21,Frasers Group,597.0,600.5,564.0,565.0,383025
2021-07-22,Frasers Group,598.5,613.5,598.5,613.5,335482
2021-07-23,Frasers Group,595.0,603.5,593.0,603.5,482644
2021-07-26,Frasers Group,594.0,599.5,590.5,590.5,349105
2021-07-27,Frasers Group,598.0,611.0,588.0,611.0,378602
2021-07-28,Frasers Group,601.0,609.469970703125,594.0,600.5,189522
2021-07-29,Frasers Group,597.5,610.0,589.5,610.0,269305
2021-07-30,Frasers Group,603.5,603.5,594.5,598.5,355159
2021-08-02,Frasers Group,607.5,616.0,587.0,587.0,258247
2021-08-03,Frasers Group,613.5,621.5,603.0,607.0,316973
2021-08-04,Frasers Group,615.0,622.5,600.5,600.5,380128
2021-08-05,Frasers Group,613.5,623.5,591.2150268554688,602.5,589797
2021-08-06,Frasers Group,587.0,615.5,577.0,611.0,893572
2021-08-09,Frasers Group,608.0,612.0,581.5,589.0,753237
2021-08-10,Frasers Group,621.0,632.5,610.0,616.0,503717
2021-08-11,Frasers Group,626.0,635.5,619.0,626.0,368379
2021-08-12,Frasers Group,624.0,632.0,624.0,628.0,192854
2021-08-13,Frasers Group,628.5,631.0,623.0,630.5,387256
2021-08-16,Frasers Group,628.0,633.0,621.5,621.5,291859
2021-08-17,Frasers Group,628.0,639.0,623.0,623.0,982587
2021-08-18,Frasers Group,627.5,640.0,625.0,640.0,278025
2021-08-19,Frasers Group,619.0,624.0,613.5,619.0,471610
2021-08-20,Frasers Group,630.0,632.5,616.5,618.5,273890
2021-08-23,Frasers Group,635.5,641.5,628.0,628.0,415417
2021-08-24,Frasers Group,636.5,642.5,633.5,639.0,215158
2021-08-25,Frasers Group,650.0,655.0,634.5,635.0,312193
2021-08-26,Frasers Group,656.5,668.5,652.0,668.5,523372
2021-08-27,Frasers Group,662.5,667.5,657.0,660.0,491131
2021-08-31,Frasers Group,669.0,676.0,660.5,672.0,500557
2021-09-01,Frasers Group,679.5,685.0,674.9219970703125,678.0,395358
2021-09-02,Frasers Group,673.5,686.0,669.5,683.0,303868
2021-09-03,Frasers Group,679.0,684.5,671.0,679.0,399256
2021-09-06,Frasers Group,676.0,699.0,676.0,699.0,326401
2021-09-07,Frasers Group,673.0,678.5,670.0,670.0,357484
2021-09-08,Frasers Group,668.0,684.0,664.0,682.5,3818974
2021-09-09,Frasers Group,667.5,673.0,655.5,662.5,316094
2021-09-10,Frasers Group,666.5,673.5,658.5,658.5,305259
2021-09-13,Frasers Group,666.5,676.0,665.0,673.0,36716
2021-09-14,Frasers Group,667.5,679.5,666.0,670.0,379690
2021-09-15,Frasers Group,657.0,672.0,657.0,661.5,396550
2021-09-16,Frasers Group,656.0,661.0,650.0,650.0,549515
2021-09-17,Frasers Group,656.5,665.9739990234375,650.0,650.0,541489
2021-09-20,Frasers Group,670.0,673.5,645.0,670.5,515580
2021-09-21,Frasers Group,683.0,691.5,674.0,676.0,634620
2021-09-22,Frasers Group,697.5,701.0,670.5,670.5,552215
2021-09-23,Frasers Group,700.0,711.0,696.0,703.5,517238
2021-09-24,Frasers Group,701.5,706.0,687.5,698.5,301984
2021-09-27,Frasers Group,695.5,717.5,695.5,708.5,251044
2021-09-28,Frasers Group,694.5,700.0,681.0,687.5,904257
2021-09-29,Frasers Group,687.0,708.5,683.0,683.0,332509
2021-09-30,Frasers Group,683.5,702.0,681.5,702.0,410397
2021-10-01,Frasers Group,666.0,682.2999877929688,665.0,675.5,259305
2021-10-04,Frasers Group,620.0,648.5,584.0,648.0,1718532
2021-10-05,Frasers Group,630.5,634.5,618.5,618.5,667390
2021-10-06,Frasers Group,621.5,631.5,617.5,625.5,597512
2021-10-07,Frasers Group,625.0,632.0,618.5,628.0,490001
2021-10-08,Frasers Group,621.0,633.5,621.0,628.5,537558
2021-10-11,Frasers Group,614.0,627.0,607.219970703125,610.0,662507
2021-10-12,Frasers Group,609.0,615.0,604.5469970703125,605.0,1163082
2021-10-13,Frasers Group,622.5,626.0,599.9840087890625,608.5,1647383
2021-10-14,Frasers Group,632.0,635.0,621.5,626.5,424903
2021-10-15,Frasers Group,637.0,640.0,628.0,640.0,690452
2021-10-18,Frasers Group,631.0,635.0,623.0,625.5,317273
2021-10-19,Frasers Group,639.0,641.5,633.5,635.0,442169
2021-10-20,Frasers Group,631.5,642.5,627.5,639.5,590516
2021-10-21,Frasers Group,630.0,633.5,618.5,627.0,284500
2021-10-22,Frasers Group,629.5,644.5,627.656005859375,641.5,358241
2021-10-25,Frasers Group,644.0,648.5,633.5,635.0,371506
2021-10-26,Frasers Group,656.5,662.0,643.5,643.5,874085
2021-10-27,Frasers Group,644.0,658.0,642.5590209960938,645.0,370028
2021-10-28,Frasers Group,643.5,656.0,637.5,656.0,351430
2021-10-29,Frasers Group,643.5,647.5,636.5,640.5,282870
2021-11-01,Frasers Group,650.5,661.5,637.5,655.5,5510076
2021-11-02,Frasers Group,660.0,664.5,639.0,639.0,341168
2021-11-03,Frasers Group,653.5,672.5,649.0,672.5,400685
2021-11-04,Frasers Group,668.5,672.0,656.5,656.5,614387
2021-11-05,Frasers Group,671.5,685.5,668.0,669.0,661435
2021-11-08,Frasers Group,666.0,676.8939819335938,666.0,675.0,386050
2021-11-09,Frasers Group,671.5,681.5,666.0,681.5,352986
2021-11-10,Frasers Group,677.5,683.0,666.5,679.0,451472
2021-11-11,Frasers Group,684.5,688.5,665.5,665.5,235717
2021-11-12,Frasers Group,679.0,687.5,671.0,671.0,226708
2021-11-15,Frasers Group,687.5,691.5,673.0,673.0,721500
2021-11-16,Frasers Group,688.0,693.0,675.0,675.0,763169
2021-11-17,Frasers Group,692.0,702.0,687.5,687.5,432669
2021-11-18,Frasers Group,694.5,701.4199829101562,679.5,679.5,572978
2021-11-19,Frasers Group,698.5,703.0,692.5,695.5,488659
2021-11-22,Frasers Group,702.5,704.5,694.0,698.0,350103
2021-11-23,Frasers Group,703.0,708.5,686.0,686.0,285150
2021-11-24,Frasers Group,694.0,707.5,688.0,688.0,331321
2021-11-25,Frasers Group,698.0,701.0,692.0,694.0,303011
2021-11-26,Frasers Group,683.0,698.5,679.4000244140625,681.0,462090
2021-11-29,Frasers Group,691.5,703.0,687.0,687.0,466514
2021-11-30,Frasers Group,680.0,691.5,677.0,680.5,1434057
2021-12-01,Frasers Group,693.5,700.5,684.0,695.0,604091
2021-12-02,Frasers Group,690.5,697.0,687.0,687.0,442264
2021-12-03,Frasers Group,696.5,702.0,693.5,698.5,386846
2021-12-06,Frasers Group,708.0,709.5,697.5,703.0,237736
2021-12-07,Frasers Group,720.5,721.0,709.5,715.0,463103
