Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Fresnillo plc,878.0,904.0,836.0,846.0,2098
2021-07-13,Fresnillo plc,838.0,900.0,836.0,858.0,561
2021-07-14,Fresnillo plc,832.0,854.0,820.0,840.0,280
2021-07-15,Fresnillo plc,826.0,846.0,826.0,828.0,385
2021-07-16,Fresnillo plc,844.0,879.2000122070312,820.0,826.0,647
2021-07-19,Fresnillo plc,802.0,830.0,792.0,826.0,738
2021-07-20,Fresnillo plc,828.0,836.0,808.0,808.0,536
2021-07-21,Fresnillo plc,880.0,888.0,831.0,836.0,950
2021-07-22,Fresnillo plc,834.0,864.0,824.0,851.5999755859375,345
2021-07-23,Fresnillo plc,766.0,820.0,760.0,816.0,747
2021-07-26,Fresnillo plc,780.0,780.0,766.0,766.0,276
2021-07-27,Fresnillo plc,754.0,782.0,750.0,772.7999877929688,182
2021-07-28,Fresnillo plc,754.0,766.0,743.2000122070312,756.0,184
2021-07-29,Fresnillo plc,782.0,796.0,760.0,770.0,183
2021-07-30,Fresnillo plc,776.0,797.7999877929688,760.0,764.0,309
2021-08-02,Fresnillo plc,790.0,810.0,784.0,784.0,297
2021-08-03,Fresnillo plc,806.0,822.0,784.0,784.0,223
2021-08-04,Fresnillo plc,796.0,804.0,786.0,804.0,91
2021-08-05,Fresnillo plc,796.0,824.0,776.0,782.0,1644
2021-08-06,Fresnillo plc,788.0,812.0,786.0,808.0,188
2021-08-09,Fresnillo plc,804.0,818.0,784.0,800.0,360
2021-08-10,Fresnillo plc,806.0,870.0,790.0,802.0,1055
2021-08-11,Fresnillo plc,832.0,846.0,806.0,810.0,639
2021-08-12,Fresnillo plc,795.0,820.0,770.0,820.0,327
2021-08-13,Fresnillo plc,798.0,800.0,786.5999755859375,789.4000244140625,119
2021-08-16,Fresnillo plc,762.0,788.0,762.0,782.0,388
2021-08-17,Fresnillo plc,736.0,763.0,734.0,762.0,237
2021-08-18,Fresnillo plc,720.0,748.0,720.0,742.0,118
2021-08-19,Fresnillo plc,692.0,720.0,680.0,718.0,142
2021-08-20,Fresnillo plc,674.0,700.4000244140625,660.0,700.0,257
2021-08-23,Fresnillo plc,706.0,710.0,690.0,694.0,224
2021-08-24,Fresnillo plc,710.0,720.0,704.0,714.0,139
2021-08-25,Fresnillo plc,728.0,730.0,708.0,720.0,104
2021-08-26,Fresnillo plc,714.0,728.0,710.2000122070312,718.0,91
2021-08-27,Fresnillo plc,670.0,716.5999755859375,669.0,716.0,290
2021-08-30,Fresnillo plc,686.0,700.0,666.0,684.0,264
2021-08-31,Fresnillo plc,722.0,736.0,684.0,690.0,877
2021-09-01,Fresnillo plc,700.0,727.4000244140625,690.0,722.0,102
2021-09-02,Fresnillo plc,716.0,720.0,702.0,702.0,57
2021-09-03,Fresnillo plc,704.0,720.0,700.0,720.0,1137
2021-09-07,Fresnillo plc,734.0,748.0,680.0,720.0,410
2021-09-08,Fresnillo plc,696.0,730.0,685.0,722.0,188
2021-09-09,Fresnillo plc,752.0,765.0,690.0,698.4000244140625,802
2021-09-10,Fresnillo plc,720.0,748.0,720.0,748.0,343
2021-09-13,Fresnillo plc,708.0,720.0,704.0,712.0,64
2021-09-14,Fresnillo plc,714.0,716.0,700.0,704.0,59
2021-09-15,Fresnillo plc,696.0,702.0,694.0,695.5999755859375,52
2021-09-16,Fresnillo plc,682.0,707.0,682.0,707.0,38
2021-09-17,Fresnillo plc,716.0,752.0,664.0,690.0,1050
2021-09-20,Fresnillo plc,694.0,730.0,683.0,690.0,588
2021-09-21,Fresnillo plc,712.0,718.0,696.0,718.0,221
2021-09-22,Fresnillo plc,792.0,802.0,704.0,712.0,9847
2021-09-23,Fresnillo plc,716.0,780.0,702.0,780.0,873
2021-09-24,Fresnillo plc,684.0,722.0,676.0,720.0,783
2021-09-27,Fresnillo plc,698.0,701.0,688.0,692.0,115
2021-09-28,Fresnillo plc,686.0,706.7999877929688,662.0,690.0,344
2021-09-29,Fresnillo plc,672.0,695.7999877929688,666.0,690.0,431
2021-09-30,Fresnillo plc,648.0,684.0,646.0,672.0,195
2021-10-01,Fresnillo plc,600.0,660.0,568.0,658.0,971
2021-10-04,Fresnillo plc,586.0,610.0,580.0,596.0,213
2021-10-05,Fresnillo plc,600.0,608.0,582.0,582.0,130
2021-10-06,Fresnillo plc,588.0,626.0,584.0,618.0,91
2021-10-07,Fresnillo plc,586.0,622.5999755859375,582.0,582.0,84
2021-10-08,Fresnillo plc,588.0,598.0,584.0,584.0,57
2021-10-11,Fresnillo plc,592.0,604.0,588.0,594.0,109
2021-10-12,Fresnillo plc,590.0,624.0,588.0,596.0,400
2021-10-13,Fresnillo plc,592.0,660.0,582.0,604.0,1725
2021-10-14,Fresnillo plc,556.0,592.0,550.2000122070312,588.0,491
2021-10-15,Fresnillo plc,576.0,582.0,551.0,566.0,245
2021-10-18,Fresnillo plc,566.0,612.0,566.0,575.0,75
2021-10-19,Fresnillo plc,565.0,595.5999755859375,540.0,595.5999755859375,855
2021-10-20,Fresnillo plc,556.0,584.0,540.0,560.0,605
2021-10-21,Fresnillo plc,566.0,582.0,551.2000122070312,558.0,584
2021-10-22,Fresnillo plc,538.0,566.0,536.0,560.0,287
2021-10-25,Fresnillo plc,544.0,556.0,534.0,538.0,176
2021-10-26,Fresnillo plc,547.2000122070312,568.0,542.0,551.2000122070312,222
2021-10-27,Fresnillo plc,546.0,558.0,536.0,550.0,393
2021-10-28,Fresnillo plc,534.0,552.0,522.0,546.0,198
2021-10-29,Fresnillo plc,508.0,540.0,502.0,526.0,272
2021-11-01,Fresnillo plc,528.0,530.4000244140625,508.0,514.0,272
2021-11-02,Fresnillo plc,510.0,536.0,502.0,510.0,299
2021-11-03,Fresnillo plc,526.0,544.0,508.0,508.0,684
2021-11-04,Fresnillo plc,514.0,538.0,514.0,522.0,518
2021-11-05,Fresnillo plc,498.0,538.0,490.0,510.0,511
2021-11-08,Fresnillo plc,500.0,530.0,484.0,486.0,605
2021-11-09,Fresnillo plc,492.0,502.0,466.0,500.0,951
2021-11-10,Fresnillo plc,314.0,450.0,272.0,384.0,17307
2021-11-11,Fresnillo plc,320.0,348.0,319.0,336.0,1759
2021-11-12,Fresnillo plc,342.0,342.0,322.20001220703125,326.0,1066
2021-11-15,Fresnillo plc,326.0,352.0,326.0,330.0,1326
2021-11-16,Fresnillo plc,342.0,354.0,326.3999938964844,328.0,1535
2021-11-17,Fresnillo plc,356.0,364.0,332.0,340.0,1788
2021-11-18,Fresnillo plc,336.0,384.0,320.0,346.0,1690
2021-11-19,Fresnillo plc,334.0,368.0,322.0,330.0,1472
2021-11-22,Fresnillo plc,346.0,364.0,326.0,326.0,1514
2021-11-23,Fresnillo plc,342.0,360.0,332.0,340.0,1491
2021-11-24,Fresnillo plc,350.0,370.0,334.0,346.0,1622
2021-11-26,Fresnillo plc,340.0,360.0,334.0,344.0,3210
2021-11-29,Fresnillo plc,336.0,367.20001220703125,336.0,340.0,1437
2021-11-30,Fresnillo plc,336.0,348.0,316.0,344.0,1456
2021-12-01,Fresnillo plc,330.0,342.0,316.0,328.0,1403
2021-12-02,Fresnillo plc,330.0,330.0,294.0,326.0,1486
2021-12-03,Fresnillo plc,276.0,340.0,272.0,320.0,1548
2021-12-06,Fresnillo plc,258.0,278.0,239.0,270.0,1801
2021-12-07,Fresnillo plc,240.0,282.0,230.0,260.0,1860
2021-12-08,Fresnillo plc,262.0,268.0,241.0,248.0,2042
2021-12-09,Fresnillo plc,258.0,278.79998779296875,252.0,266.0,1758
2021-12-10,Fresnillo plc,238.0,269.0,236.0,264.0,2286
2021-12-13,Fresnillo plc,234.0,252.0,228.0,234.0,1956
2021-12-14,Fresnillo plc,240.0,260.0,223.0,226.0,1758
2021-12-15,Fresnillo plc,232.0,256.0,224.0,232.0,1785
