Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Next plc,7037.62255859375,7884.7578125,7746.81005859375,7844.0,157198
2021-07-13,Next plc,7014.33642578125,7936.0,7822.0,7858.0,131623
2021-07-14,Next plc,6976.7216796875,7822.0,7712.0,7784.0,149135
2021-07-15,Next plc,6629.228515625,7746.0,7392.0,7730.0,257614
2021-07-16,Next plc,6729.5361328125,7544.0,7430.0,7456.0,261409
2021-07-19,Next plc,6503.84423828125,7466.0,7214.0,7402.0,832696
2021-07-20,Next plc,6622.064453125,7418.0,7228.0,7310.0,601427
2021-07-21,Next plc,7116.43505859375,8188.0,7802.0,8118.0,1208598
2021-07-22,Next plc,7182.708984375,8058.0,7902.0,8018.0,332177
2021-07-23,Next plc,7247.19287109375,8204.0,8038.0,8086.0,238890
2021-07-26,Next plc,7265.1044921875,8120.0,8008.0,8036.0,171123
2021-07-27,Next plc,7200.6220703125,8082.0,7994.0,8072.0,208765
2021-07-28,Next plc,7198.830078125,8112.0,7992.0,7992.0,176023
2021-07-29,Next plc,7084.19384765625,8060.0,7882.0,8052.0,250494
2021-07-30,Next plc,7059.11669921875,7944.0,7726.0,7818.0,234508
2021-08-02,Next plc,7139.720703125,8148.0,7932.0,7972.0,191659
2021-08-03,Next plc,7077.0283203125,7984.27392578125,7842.0,7970.0,159121
2021-08-04,Next plc,7148.67626953125,7996.0,7862.0,7940.0,320287
2021-08-05,Next plc,7091.357421875,7966.0,7880.0,7928.0,240144
2021-08-06,Next plc,7141.51171875,7996.0,7824.0,7864.0,139493
2021-08-09,Next plc,7229.28076171875,8072.0,7898.0,7950.0,180960
2021-08-10,Next plc,7114.64306640625,8080.0,7900.0,8060.0,223222
2021-08-11,Next plc,7240.02734375,8102.0,7950.0,7950.0,127246
2021-08-12,Next plc,7303.58447265625,8062.0,7952.0,8010.0,157250
2021-08-13,Next plc,7361.6943359375,8124.0,8040.0,8096.0,108203
2021-08-16,Next plc,7194.63037109375,8046.0,7878.0,8038.0,137818
2021-08-17,Next plc,7174.65478515625,7964.0,7814.0,7858.0,701379
2021-08-18,Next plc,7161.94384765625,7968.0,7820.0,7918.0,181875
2021-08-19,Next plc,7098.38671875,7866.01318359375,7690.0,7796.0,179132
2021-08-20,Next plc,7196.44580078125,8010.0,7822.0,7834.0,303189
2021-08-23,Next plc,7209.15771484375,8030.0,7898.0,8014.0,133312
2021-08-24,Next plc,7229.13232421875,7994.0,7810.0,7994.0,472939
2021-08-25,Next plc,7332.6396484375,8076.0,7940.0,7978.0,114209
2021-08-26,Next plc,7279.9775390625,8084.0,7966.0,8022.0,126866
2021-08-27,Next plc,7229.13232421875,8026.0,7934.0,8000.0,114857
2021-08-31,Next plc,7181.91845703125,7992.0,7884.0,7984.0,312216
2021-09-01,Next plc,7338.0869140625,8090.0,7956.0,8002.0,157442
2021-09-02,Next plc,7198.26123046875,8092.0,7928.0,8050.0,124038
2021-09-03,Next plc,7185.55078125,7972.0,7860.0,7916.0,150632
2021-09-06,Next plc,7194.63037109375,7978.0,7902.0,7952.0,89538
2021-09-07,Next plc,7212.7890625,7980.0,7876.0,7922.0,448558
2021-09-08,Next plc,7210.9736328125,8022.0,7804.0,7890.0,234863
2021-09-09,Next plc,7152.8642578125,7878.0,7774.0,7846.0,465712
2021-09-10,Next plc,7187.3662109375,8040.0,7832.0,7850.0,230716
2021-09-13,Next plc,7131.07373046875,7964.0,7778.0,7964.0,13957
2021-09-14,Next plc,7249.107421875,7984.0,7798.0,7830.0,198861
2021-09-15,Next plc,7190.99853515625,8038.0,7898.0,7976.0,762208
2021-09-16,Next plc,7265.45068359375,8012.0,7914.0,7936.0,292730
2021-09-17,Next plc,7374.4052734375,8202.0,8011.35009765625,8116.0,960203
2021-09-20,Next plc,7283.609375,8032.0,7912.0,8008.0,239659
2021-09-21,Next plc,7336.27099609375,8142.0,8052.0,8098.0,237689
2021-09-22,Next plc,7496.0712890625,8268.0,8080.0,8130.0,264939
2021-09-23,Next plc,7463.384765625,8328.0,8220.0,8314.0,203012
2021-09-24,Next plc,7425.2509765625,8280.0,8128.0,8182.0,203192
2021-09-27,Next plc,7439.7783203125,8266.857421875,8194.0,8264.0,365194
2021-09-28,Next plc,7336.27099609375,8232.0,7996.0,8190.0,355260
2021-09-29,Next plc,7621.36865234375,8458.0,8246.0,8352.0,815208
2021-09-30,Next plc,7456.12158203125,8484.0,8102.0,8466.0,718896
2021-10-01,Next plc,7419.8037109375,8188.0,8010.0,8106.0,443787
2021-10-04,Next plc,7323.5595703125,8246.0517578125,8050.0,8162.0,362399
2021-10-05,Next plc,7301.76904296875,8155.39990234375,8038.0,8108.0,275129
2021-10-06,Next plc,6949.482421875,7966.0,7654.0,7950.0,717611
2021-10-07,Next plc,6922.244140625,7790.0,7480.0,7756.0,469641
2021-10-08,Next plc,6871.3984375,7698.830078125,7538.0,7630.0,571993
2021-10-11,Next plc,6920.42822265625,7638.0,7426.0,7514.0,454078
2021-10-12,Next plc,6826.00048828125,7608.0,7484.0,7536.0,198376
2021-10-13,Next plc,6938.587890625,7724.0,7462.0,7514.0,281979
2021-10-14,Next plc,7089.3076171875,7808.0,7652.0,7660.0,433122
2021-10-15,Next plc,7143.78466796875,7916.0,7814.0,7816.0,952337
2021-10-18,Next plc,7198.26123046875,7956.0,7800.97216796875,7868.0,224439
2021-10-19,Next plc,7325.3759765625,8082.0,7972.0,7972.0,208079
2021-10-20,Next plc,7247.29150390625,8066.0,7940.8388671875,8060.0,198528
2021-10-21,Next plc,7183.73486328125,7982.0,7832.0,7928.0,427377
2021-10-22,Next plc,7114.73046875,7902.0,7774.0,7886.0,323842
2021-10-25,Next plc,7132.8896484375,7912.0,7778.0,7858.0,344194
2021-10-26,Next plc,7270.89794921875,8040.0,7824.0,7856.0,298504
2021-10-27,Next plc,7216.42138671875,8026.0,7917.47607421875,8006.0,188710
2021-10-28,Next plc,7216.42138671875,8024.0,7928.0,7932.0,118451
2021-10-29,Next plc,7232.76416015625,7966.0,7864.0,7894.0,231858
2021-11-01,Next plc,7430.6982421875,8202.0,7864.0,8044.0,280786
2021-11-02,Next plc,7546.916015625,8326.0,8166.0,8216.0,394907
2021-11-03,Next plc,7296.3212890625,8146.0,7924.0,8146.0,494482
2021-11-04,Next plc,7343.5341796875,8104.0,7966.0,8084.0,303672
2021-11-05,Next plc,7374.4052734375,8152.0,8006.0,8056.0,325682
2021-11-08,Next plc,7252.7392578125,8108.0,7988.0,8092.0,204584
2021-11-09,Next plc,7278.162109375,8106.0,7884.337890625,7964.0,620728
2021-11-10,Next plc,7501.51806640625,8262.0,8009.7470703125,8010.0,398123
2021-11-11,Next plc,7309.03271484375,8272.0,8050.0,8220.0,677825
2021-11-12,Next plc,7399.828125,8184.0,8022.3740234375,8064.0,220857
2021-11-15,Next plc,7450.673828125,8212.0,8110.0,8120.0,209392
2021-11-16,Next plc,7412.53955078125,8208.0,8117.5732421875,8192.0,275868
2021-11-17,Next plc,7396.19580078125,8178.0,8086.0,8128.0,428396
2021-11-18,Next plc,7476.09619140625,8234.0,8100.0,8132.0,223406
2021-11-19,Next plc,7512.4140625,8328.0,8200.0,8290.0,452222
2021-11-22,Next plc,7443.41015625,8338.0,8176.0,8294.0,247292
2021-11-23,Next plc,7432.51416015625,8252.0,8058.0,8138.0,191595
2021-11-24,Next plc,7399.828125,8200.0,8084.0,8186.0,272875
2021-11-25,Next plc,7363.51025390625,8178.0,8040.0,8174.0,171332
2021-11-26,Next plc,7125.62548828125,7976.0,7804.0,7912.0,218289
2021-11-29,Next plc,7229.13232421875,8024.0,7894.0,7894.0,266762
2021-11-30,Next plc,7138.3369140625,7948.0,7826.0,7852.0,567941
2021-12-01,Next plc,7281.79345703125,8036.0,7886.0,7886.0,423493
2021-12-02,Next plc,7261.8193359375,8068.0,7938.0,8014.0,231865
2021-12-03,Next plc,7256.37158203125,8040.0,7944.0,8016.0,438582
2021-12-06,Next plc,7427.06689453125,8196.0,7996.0,8060.0,168183
2021-12-07,Next plc,7608.65771484375,8440.0,8242.0,8274.0,296048
2021-12-08,Next plc,7563.25927734375,8426.0,8266.0,8346.0,328713
2021-12-09,Next plc,7650.423828125,8426.0,8266.0,8386.0,428896
2021-12-10,Next plc,7490.62353515625,8390.0,8234.0,8358.0,205888
2021-12-13,Next plc,7385.30078125,8296.0,8112.0,8296.0,297934
2021-12-14,Next plc,7312.66357421875,8156.0,8006.0,8100.0,731100
2021-12-15,Next plc,7023.93505859375,8098.0,7666.0,8082.0,495739
2021-12-16,Next plc,7043.91015625,7874.0,7666.0,7868.0,687626
2021-12-17,Next plc,7056.62060546875,7928.0,7670.0,7670.0,481753
2021-12-20,Next plc,7062.06884765625,7780.0,7564.0,7596.0,305758
2021-12-21,Next plc,7152.8642578125,7946.0,7808.0,7872.0,392606
2021-12-22,Next plc,7180.10302734375,7908.0,7826.0,7906.0,520515
2021-12-23,Next plc,7178.28662109375,7958.0,7880.0,7918.0,320992
2021-12-24,Next plc,7212.7890625,8019.0849609375,7940.0,7994.0,149490
2021-12-29,Next plc,7363.51025390625,8170.0,8082.0,8094.0,192021
2021-12-30,Next plc,7368.95703125,8116.0,8054.0,8096.0,126375
2021-12-31,Next plc,7399.828125,8155.087890625,8024.0,8024.0,50406
2022-01-04,Next plc,7318.11181640625,8406.0,8060.0,8210.0,400207
2022-01-05,Next plc,7298.13671875,8179.10009765625,8024.0,8044.0,319593
2022-01-06,Next plc,7054.80517578125,8051.78076171875,7706.0,8000.0,575685
2022-01-07,Next plc,7071.14892578125,7834.0,7648.0,7828.0,341184
2022-01-10,Next plc,6949.482421875,7810.14990234375,7619.60400390625,7780.0,460535
2022-01-11,Next plc,7263.634765625,8018.0,7756.0,7756.0,356237
2022-01-12,Next plc,7265.45068359375,8068.0,7930.0,8048.0,254477
2022-01-13,Next plc,7107.94873046875,7838.0,7611.06591796875,7826.0,376358
2022-01-14,Next plc,6881.8876953125,7648.0,7418.0,7620.0,305616
2022-01-17,Next plc,7065.33056640625,7636.0,7460.0,7472.0,304724
2022-01-18,Next plc,6967.12451171875,7586.0,7472.0,7566.0,296923
2022-01-19,Next plc,6985.65380859375,7652.0,7490.0,7500.0,268152
2022-01-20,Next plc,7002.33056640625,7646.0,7530.0,7590.0,222445
2022-01-21,Next plc,6935.62353515625,7486.0,7354.0,7440.0,239080
2022-01-24,Next plc,6728.0927734375,7484.0,7222.0,7456.0,511008
2022-01-25,Next plc,6883.7412109375,7478.0,7338.0,7382.0,325432
2022-01-26,Next plc,6896.71142578125,7600.0,7436.0,7486.0,318340
2022-01-27,Next plc,6881.8876953125,7494.0,7262.0,7350.0,396947
2022-01-28,Next plc,7017.154296875,7594.0,7474.0,7496.0,735182
2022-01-31,Next plc,6946.74169921875,7642.0,7446.0,7642.0,380589
2022-02-01,Next plc,6948.5947265625,7642.0,7500.0,7536.0,321673
2022-02-02,Next plc,7000.4775390625,7606.0,7470.0,7564.0,488304
2022-02-03,Next plc,6757.73974609375,7562.0,7294.0,7552.0,395937
2022-02-04,Next plc,6616.9150390625,7388.0,7138.0,7328.0,401708
2022-02-07,Next plc,6665.09228515625,7336.0,7166.5361328125,7178.0,406182
2022-02-08,Next plc,6616.9150390625,7210.0,7030.0,7210.0,579108
2022-02-09,Next plc,6718.828125,7312.0,7196.0,7216.0,472210
2022-02-10,Next plc,6726.240234375,7290.0,7162.0,7262.0,499192
2022-02-11,Next plc,6665.09228515625,7248.0,7182.0,7200.0,415522
2022-02-14,Next plc,6631.73876953125,7192.0,7074.0,7094.0,300568
2022-02-15,Next plc,6553.91455078125,7170.0,7042.0,7146.0,317701
2022-02-16,Next plc,6464.97216796875,7126.0,6968.0,7056.0,593753
2022-02-17,Next plc,6409.38330078125,6986.0,6912.0,6960.0,675949
2022-02-18,Next plc,6346.3828125,6932.0,6850.0,6920.0,252479
2022-02-21,Next plc,6342.67724609375,6908.0,6808.0,6882.0,208301
2022-02-22,Next plc,6346.3828125,6916.0,6722.0,6722.0,565940
2022-02-23,Next plc,6292.646484375,6964.0,6792.0,6880.0,474086
2022-02-24,Next plc,6255.58837890625,6822.0,6544.0,6544.0,564057
2022-02-25,Next plc,6296.353515625,6868.0,6752.0,6868.0,343966
2022-02-28,Next plc,6357.5009765625,6894.0,6718.0,6764.0,524265
2022-03-01,Next plc,6033.2333984375,6978.85302734375,6512.0,6856.0,398334
2022-03-02,Next plc,6009.14453125,6576.0,6422.0,6462.0,420972
2022-03-03,Next plc,5755.2890625,6570.0,6184.0,6496.0,311958
2022-03-04,Next plc,5536.64013671875,6182.0,5924.0,6156.0,476966
2022-03-07,Next plc,5345.78564453125,5968.0,5578.0,5876.0,489092
2022-03-08,Next plc,5412.4921875,5903.81396484375,5664.0,5724.0,419066
2022-03-09,Next plc,5827.55517578125,6290.0,5908.0,5950.0,530884
2022-03-10,Next plc,5645.96533203125,6318.0,6062.0,6288.0,332601
2022-03-11,Next plc,5694.14111328125,6238.0,6082.0,6134.0,256941
2022-03-14,Next plc,5820.14306640625,6342.0,6143.90185546875,6180.0,307268
2022-03-15,Next plc,5781.23046875,6320.0,6110.0,6320.0,263890
2022-03-16,Next plc,5985.0556640625,6494.0,6286.0,6312.0,595111
2022-03-17,Next plc,5999.88037109375,6530.0,6407.744140625,6502.0,358529
2022-03-18,Next plc,6048.056640625,6528.0,6370.0,6498.0,796514
2022-03-21,Next plc,5936.87890625,6504.0,6360.0,6496.0,708084
2022-03-22,Next plc,5986.90869140625,6465.19189453125,6362.0,6438.0,356500
2022-03-23,Next plc,5914.64404296875,6522.0,6357.2001953125,6494.0,467015
2022-03-24,Next plc,5721.935546875,6550.0,6106.0,6400.0,990583
2022-03-25,Next plc,5820.14306640625,6366.0,6240.0,6330.0,456817
2022-03-28,Next plc,5842.37841796875,6408.0,6296.0,6318.0,395344
2022-03-29,Next plc,6040.64501953125,6632.0,6332.0,6334.0,700424
