Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Smith & Nephew,1431.0966796875,1571.0,1554.0,1561.5,1934264
2021-07-13,Smith & Nephew,1436.1390380859375,1576.5,1558.5,1564.5,1780039
2021-07-14,Smith & Nephew,1415.5113525390625,1562.39501953125,1539.0,1560.0,1275797
2021-07-15,Smith & Nephew,1386.17431640625,1541.5,1508.5,1531.0,1581091
2021-07-16,Smith & Nephew,1379.7569580078125,1523.5,1499.5,1519.0,2231318
2021-07-19,Smith & Nephew,1349.044677734375,1500.0,1451.5,1495.0,1580188
2021-07-20,Smith & Nephew,1366.921875,1497.0,1462.5,1481.5,3052575
2021-07-21,Smith & Nephew,1415.9697265625,1551.5,1501.5,1501.5,3238533
2021-07-22,Smith & Nephew,1418.719970703125,1559.5,1541.3179931640625,1550.5,1247561
2021-07-23,Smith & Nephew,1425.1376953125,1561.0,1538.5,1559.0,1444625
2021-07-26,Smith & Nephew,1392.591796875,1551.5,1517.5,1548.0,1015986
2021-07-27,Smith & Nephew,1394.8836669921875,1526.5,1498.5,1510.0,1574517
2021-07-28,Smith & Nephew,1433.3885498046875,1565.0,1522.0,1525.5,2102268
2021-07-29,Smith & Nephew,1342.6273193359375,1539.0,1423.5,1539.0,8159593
2021-07-30,Smith & Nephew,1340.335205078125,1485.5,1449.0,1453.0,4398939
2021-08-02,Smith & Nephew,1319.249267578125,1480.5,1419.5,1475.0,2980022
2021-08-03,Smith & Nephew,1292.2042236328125,1438.0,1408.0,1435.5,3206781
2021-08-04,Smith & Nephew,1283.036376953125,1422.0,1399.5,1418.5,3701426
2021-08-05,Smith & Nephew,1274.3270263671875,1412.5,1385.0,1395.5,4722383
2021-08-06,Smith & Nephew,1261.491943359375,1392.5,1369.5,1390.5,2552519
2021-08-09,Smith & Nephew,1268.3677978515625,1391.9849853515625,1363.0,1375.0,1580760
2021-08-10,Smith & Nephew,1258.283203125,1401.3399658203125,1371.5,1382.0,3959397
2021-08-11,Smith & Nephew,1265.1591796875,1397.5,1376.5,1377.5,2317506
2021-08-12,Smith & Nephew,1271.1181640625,1392.8310546875,1373.16796875,1378.0,1938977
2021-08-13,Smith & Nephew,1269.2847900390625,1395.5,1374.5,1389.5,2185559
2021-08-16,Smith & Nephew,1263.783935546875,1380.5,1368.5,1375.0,1356040
2021-08-17,Smith & Nephew,1272.9517822265625,1388.5,1365.5,1379.5,2198637
2021-08-18,Smith & Nephew,1279.3692626953125,1406.5,1381.5,1395.5,1493742
2021-08-19,Smith & Nephew,1292.2042236328125,1411.5,1375.280029296875,1381.5,2187255
2021-08-20,Smith & Nephew,1306.414306640625,1425.0,1398.5,1413.5,3113317
2021-08-23,Smith & Nephew,1289.9122314453125,1440.8929443359375,1402.0,1437.0,1893084
2021-08-24,Smith & Nephew,1289.9122314453125,1408.5,1375.0,1407.5,3501749
2021-08-25,Smith & Nephew,1295.8712158203125,1425.0,1409.0,1414.0,2152109
2021-08-26,Smith & Nephew,1294.0377197265625,1416.0,1402.114990234375,1410.0,1122519
2021-08-27,Smith & Nephew,1284.41162109375,1411.0,1391.5,1411.0,1301759
2021-08-31,Smith & Nephew,1278.910888671875,1410.5,1387.5,1400.0,2946107
2021-09-01,Smith & Nephew,1295.8712158203125,1429.5,1405.0,1405.0,1499929
2021-09-02,Smith & Nephew,1291.745849609375,1420.5,1401.5,1412.5,1785621
2021-09-03,Smith & Nephew,1283.036376953125,1414.5,1394.0,1413.0,989542
2021-09-06,Smith & Nephew,1279.3692626953125,1407.4530029296875,1389.2230224609375,1407.0,1846088
2021-09-07,Smith & Nephew,1268.3677978515625,1395.7969970703125,1383.5,1393.5,1471253
2021-09-08,Smith & Nephew,1255.532958984375,1391.0,1365.0,1377.5,2188120
2021-09-09,Smith & Nephew,1247.281982421875,1365.5,1347.0,1360.0,3128151
2021-09-10,Smith & Nephew,1231.696533203125,1360.5,1342.5,1350.0,1540878
2021-09-13,Smith & Nephew,1227.847900390625,1350.0,1339.302001953125,1345.0,108107
2021-09-14,Smith & Nephew,1223.904052734375,1340.5,1310.5,1336.0,2143599
2021-09-15,Smith & Nephew,1211.06884765625,1338.0,1294.0,1335.0,3267115
2021-09-16,Smith & Nephew,1238.572509765625,1355.3349609375,1323.5,1325.0,3194294
2021-09-17,Smith & Nephew,1217.94482421875,1365.0,1327.5,1360.0,3205363
2021-09-20,Smith & Nephew,1212.444091796875,1328.0,1312.5,1320.0,1054955
2021-09-21,Smith & Nephew,1215.65283203125,1335.0,1318.0,1326.0,3841362
2021-09-22,Smith & Nephew,1223.4456787109375,1340.5,1326.5,1328.5,1155712
2021-09-23,Smith & Nephew,1224.3624267578125,1355.3380126953125,1335.5,1340.5,933723
2021-09-24,Smith & Nephew,1221.6119384765625,1340.0,1325.0,1331.0,5144220
2021-09-27,Smith & Nephew,1219.320068359375,1349.0,1330.0,1341.5,1380821
2021-09-28,Smith & Nephew,1220.695068359375,1348.0,1318.5,1327.0,1883002
2021-09-29,Smith & Nephew,1205.5682373046875,1337.0,1297.0,1330.0,2144291
2021-09-30,Smith & Nephew,1189.3955078125,1312.4449462890625,1284.0,1308.5,2853983
2021-10-01,Smith & Nephew,1184.3126220703125,1284.5,1242.0,1271.0,4810164
2021-10-04,Smith & Nephew,1169.0638427734375,1298.0,1265.0,1284.0,8817027
2021-10-05,Smith & Nephew,1185.6988525390625,1305.5,1268.9830322265625,1272.0,2862960
2021-10-06,Smith & Nephew,1149.1944580078125,1273.5,1237.1629638671875,1273.5,2016093
2021-10-07,Smith & Nephew,1154.7393798828125,1262.0,1227.0,1257.0,1953347
2021-10-08,Smith & Nephew,1160.284423828125,1262.467041015625,1248.0,1248.0,2405463
2021-10-11,Smith & Nephew,1162.1328125,1260.5,1243.0,1252.5,1110967
2021-10-12,Smith & Nephew,1149.1944580078125,1254.1309814453125,1236.3900146484375,1245.5,1974979
2021-10-13,Smith & Nephew,1157.97412109375,1257.0,1235.2440185546875,1250.5,5252448
2021-10-14,Smith & Nephew,1177.3812255859375,1279.0,1253.0,1261.5,1331537
2021-10-15,Smith & Nephew,1180.15380859375,1283.0,1261.5,1273.5,2669811
2021-10-18,Smith & Nephew,1165.367431640625,1293.5,1259.0,1278.0,1354538
2021-10-19,Smith & Nephew,1187.5472412109375,1291.81005859375,1257.9200439453125,1263.5,2418416
2021-10-20,Smith & Nephew,1191.2437744140625,1289.9840087890625,1280.5,1289.5,2930530
2021-10-21,Smith & Nephew,1183.8505859375,1291.0,1270.0,1281.0,1392460
2021-10-22,Smith & Nephew,1194.9404296875,1298.5,1284.0,1290.5,2233755
2021-10-25,Smith & Nephew,1199.561279296875,1300.0,1280.0,1294.5,2029958
2021-10-26,Smith & Nephew,1210.6512451171875,1317.4940185546875,1290.5,1290.5,2047440
2021-10-27,Smith & Nephew,1196.3267822265625,1316.0,1291.5,1309.0,1505526
2021-10-28,Smith & Nephew,1190.78173828125,1303.0,1286.0,1295.5,968183
2021-10-29,Smith & Nephew,1159.8223876953125,1274.5250244140625,1234.0,1271.5,3958724
2021-11-01,Smith & Nephew,1182.9263916015625,1287.5,1234.6500244140625,1264.0,1674380
