Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,4IMPRINT GROUP,2393.647216796875,2670.0,2550.0,2670.0,13231
2021-07-13,4IMPRINT GROUP,2384.47607421875,2630.0,2580.0,2615.0,9195
2021-07-14,4IMPRINT GROUP,2356.962890625,2610.0,2545.0,2580.0,19404
2021-07-15,4IMPRINT GROUP,2361.54833984375,2575.0,2495.0,2555.0,13229
2021-07-16,4IMPRINT GROUP,2347.791748046875,2590.0,2545.0,2545.0,12190
2021-07-19,4IMPRINT GROUP,2279.0087890625,2520.0,2440.0048828125,2490.0,28810
2021-07-20,4IMPRINT GROUP,2301.9365234375,2510.0,2476.821044921875,2500.0,34194
2021-07-21,4IMPRINT GROUP,2366.13427734375,2605.0,2505.0,2505.0,104399
2021-07-22,4IMPRINT GROUP,2411.989013671875,2870.0,2580.0,2580.0,43305
2021-07-23,4IMPRINT GROUP,2352.37744140625,2650.0,2555.0,2615.0,11897
2021-07-26,4IMPRINT GROUP,2430.33154296875,2690.0,2555.0,2555.0,12632
2021-07-27,4IMPRINT GROUP,2398.232666015625,2647.5,2600.0,2645.0,15015
2021-07-28,4IMPRINT GROUP,2586.239501953125,2860.0,2529.949951171875,2530.0,46999
2021-07-29,4IMPRINT GROUP,2567.8974609375,2846.136962890625,2695.0,2730.0,18561
2021-07-30,4IMPRINT GROUP,2572.482666015625,2840.0,2715.0,2720.0,11712
2021-08-02,4IMPRINT GROUP,2572.482666015625,2830.0,2780.0,2800.0,7977
2021-08-03,4IMPRINT GROUP,2549.55517578125,2845.0,2780.0,2795.0,6232
2021-08-04,4IMPRINT GROUP,2599.995849609375,2835.0,2565.0,2715.0,11041
2021-08-05,4IMPRINT GROUP,2604.581787109375,2840.0,2780.0,2830.0,15925
2021-08-06,4IMPRINT GROUP,2540.38427734375,2860.0,2770.0,2835.0,7017
2021-08-09,4IMPRINT GROUP,2572.482666015625,2845.0,2720.0,2795.0,15818
2021-08-10,4IMPRINT GROUP,2622.924072265625,2860.0,2690.0,2690.0,9172
2021-08-11,4IMPRINT GROUP,2815.515869140625,3230.0,2910.0,2980.0,36360
2021-08-12,4IMPRINT GROUP,2760.489501953125,3085.0,2995.0,3085.0,102011
2021-08-13,4IMPRINT GROUP,2751.318359375,3045.0,2900.0,2900.0,15396
2021-08-16,4IMPRINT GROUP,2751.318359375,3015.0,2950.0,2985.0,19811
2021-08-17,4IMPRINT GROUP,2728.39111328125,3065.0,2926.39990234375,3010.0,34611
2021-08-18,4IMPRINT GROUP,2783.417236328125,3045.0,2975.0,3000.0,22585
2021-08-19,4IMPRINT GROUP,2732.9765625,3000.0,2945.0,2955.0,9183
2021-08-20,4IMPRINT GROUP,2696.2919921875,2980.0,2940.0,2975.0,38919
2021-08-23,4IMPRINT GROUP,2664.193359375,2965.0,2905.0,2965.0,7553
2021-08-24,4IMPRINT GROUP,2664.193359375,2945.0,2895.0,2935.0,10429
2021-08-25,4IMPRINT GROUP,2641.265625,2920.0,2880.0,2890.0,5896
2021-08-26,4IMPRINT GROUP,2642.030029296875,2890.0,2840.0,2865.0,10883
2021-08-27,4IMPRINT GROUP,2623.618408203125,2880.0,2806.0,2870.0,34179
2021-08-31,4IMPRINT GROUP,2642.030029296875,2900.0,2835.0,2870.0,15078
2021-09-01,4IMPRINT GROUP,2665.044189453125,2920.0,2735.0,2870.0,5843
2021-09-02,4IMPRINT GROUP,2669.646728515625,2925.0,2875.0,2880.0,11915
2021-09-03,4IMPRINT GROUP,2752.497802734375,3071.97509765625,2845.0,2915.0,13731
2021-09-06,4IMPRINT GROUP,2761.70361328125,3030.0,2785.0,3020.0,7021
2021-09-07,4IMPRINT GROUP,2803.129150390625,3070.0,2971.25,3050.0,14354
2021-09-08,4IMPRINT GROUP,2798.526123046875,3079.696044921875,2943.39990234375,2985.0,11714
2021-09-09,4IMPRINT GROUP,2752.497802734375,3020.0,2953.97998046875,2990.0,14482
2021-09-10,4IMPRINT GROUP,2821.54052734375,3065.0,2970.0,2985.0,53799
2021-09-13,4IMPRINT GROUP,2784.718017578125,3080.0,3015.0,3065.0,25901
2021-09-14,4IMPRINT GROUP,2784.718017578125,3050.0,3020.0,3050.0,72245
2021-09-15,4IMPRINT GROUP,2729.48388671875,3040.0,2940.0,3020.0,24553
2021-09-16,4IMPRINT GROUP,2757.100830078125,3010.0,2955.0,2955.0,21004
2021-09-17,4IMPRINT GROUP,2816.937744140625,3070.0,2955.0,2955.0,27729
2021-09-20,4IMPRINT GROUP,2816.937744140625,3070.0,2955.0,2995.0,16918
2021-09-21,4IMPRINT GROUP,2872.171875,3200.0,3030.0,3095.0,15125
2021-09-22,4IMPRINT GROUP,2839.9521484375,3185.0,3085.0,3155.0,12567
2021-09-23,4IMPRINT GROUP,2890.583251953125,3183.0,3060.0,3060.0,5813
2021-09-24,4IMPRINT GROUP,2918.2001953125,3265.0,3039.280029296875,3145.0,15804
2021-09-27,4IMPRINT GROUP,2881.37744140625,3195.0,3110.0,3195.0,4045
2021-09-28,4IMPRINT GROUP,2757.100830078125,3132.39990234375,2955.0,3000.0,20172
2021-09-29,4IMPRINT GROUP,2766.306396484375,3065.0,2960.0,2995.0,53229
2021-09-30,4IMPRINT GROUP,2770.9091796875,3095.0,2929.383056640625,2960.0,38429
2021-10-01,4IMPRINT GROUP,2821.54052734375,3100.0,2950.0,2975.0,10440
2021-10-04,4IMPRINT GROUP,2770.9091796875,3090.0,3010.0,3020.0,15590
2021-10-05,4IMPRINT GROUP,2743.2919921875,3100.0,2975.0,3050.0,10484
2021-10-06,4IMPRINT GROUP,2692.660888671875,3010.0,2865.0,2960.0,16187
2021-10-07,4IMPRINT GROUP,2720.278076171875,3160.0,2845.0,2885.0,35445
