Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,BUNZL,2419.76513671875,2584.0,2546.0,2555.0,730051
2021-07-13,BUNZL,2454.52099609375,2620.0,2574.0,2582.0,825676
2021-07-14,BUNZL,2436.673095703125,2606.0,2572.0,2597.0,529558
2021-07-15,BUNZL,2428.21923828125,2621.0,2583.0,2595.0,677159
2021-07-16,BUNZL,2438.5517578125,2602.0,2569.0,2587.0,730237
2021-07-19,BUNZL,2431.976318359375,2592.0,2560.0,2579.0,522608
2021-07-20,BUNZL,2434.79443359375,2606.0,2576.0,2601.0,1084868
2021-07-21,BUNZL,2443.248779296875,2633.0,2598.0,2610.0,631672
2021-07-22,BUNZL,2472.368408203125,2637.0,2599.0,2609.0,298340
2021-07-23,BUNZL,2505.24609375,2670.0,2635.0,2639.0,427573
2021-07-26,BUNZL,2481.76171875,2680.0,2642.0,2665.0,507398
2021-07-27,BUNZL,2469.55078125,2653.0,2620.0,2631.0,417753
2021-07-28,BUNZL,2487.398193359375,2648.0,2621.0,2621.0,378968
2021-07-29,BUNZL,2500.54931640625,2665.0,2631.0,2648.0,396958
2021-07-30,BUNZL,2504.306396484375,2666.0,2622.0,2643.0,722089
2021-08-02,BUNZL,2511.8212890625,2693.0,2652.0,2679.0,549640
2021-08-03,BUNZL,2503.3671875,2672.0,2647.56005859375,2669.0,621862
2021-08-04,BUNZL,2504.306396484375,2683.0,2660.0,2672.0,526669
2021-08-05,BUNZL,2502.427490234375,2680.2529296875,2647.0,2650.0,481739
2021-08-06,BUNZL,2460.156982421875,2664.0,2619.0,2656.0,658075
2021-08-09,BUNZL,2453.581787109375,2619.0,2593.0,2615.0,976831
2021-08-10,BUNZL,2441.3701171875,2618.0,2582.0,2607.0,481292
2021-08-11,BUNZL,2476.1259765625,2636.0,2591.780029296875,2600.0,334464
2021-08-12,BUNZL,2497.730712890625,2664.0,2626.0,2641.0,405779
2021-08-13,BUNZL,2496.791748046875,2670.0,2646.0,2659.0,262203
2021-08-16,BUNZL,2480.82275390625,2658.0,2635.555908203125,2655.0,338715
2021-08-17,BUNZL,2491.15576171875,2655.0,2625.0,2630.0,305748
2021-08-18,BUNZL,2497.730712890625,2674.0,2641.0,2651.0,293888
2021-08-19,BUNZL,2523.09326171875,2694.0,2644.0,2654.0,655122
2021-08-20,BUNZL,2527.7900390625,2702.0,2678.0,2697.0,694816
2021-08-23,BUNZL,2536.244384765625,2708.0,2685.0,2704.0,458442
2021-08-24,BUNZL,2512.7607421875,2708.0,2668.0,2703.0,573621
2021-08-25,BUNZL,2506.184814453125,2685.0,2664.802978515625,2673.0,354756
2021-08-26,BUNZL,2512.7607421875,2675.0,2645.0,2667.0,462925
2021-08-27,BUNZL,2517.457275390625,2680.0,2655.0,2663.0,469161
2021-08-31,BUNZL,2476.1259765625,2650.0,2562.0,2626.0,2074597
2021-09-01,BUNZL,2493.0341796875,2663.02587890625,2609.0,2651.0,1273402
2021-09-02,BUNZL,2491.15576171875,2658.0,2632.0,2653.0,646261
2021-09-03,BUNZL,2436.673095703125,2656.0,2577.0,2652.0,852967
2021-09-06,BUNZL,2442.30908203125,2604.0,2582.0,2604.0,383584
