Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,BURBERRY GROUP,1823.08935546875,2092.0,2030.0,2074.0,2168223
2021-07-13,BURBERRY GROUP,1835.5762939453125,2062.0,2031.0,2045.0,934095
2021-07-14,BURBERRY GROUP,1837.3602294921875,2062.0,2013.0,2055.0,887258
2021-07-15,BURBERRY GROUP,1846.279296875,2091.0,2055.0,2060.0,1402508
2021-07-16,BURBERRY GROUP,1753.5194091796875,2086.0,1948.5,2086.0,1833808
2021-07-19,BURBERRY GROUP,1728.5455322265625,1945.0,1919.5,1931.0,1083696
2021-07-20,BURBERRY GROUP,1738.35693359375,1977.5,1940.0,1959.0,1314722
2021-07-21,BURBERRY GROUP,1803.467041015625,2032.0,1949.623046875,1964.5,1278836
2021-07-22,BURBERRY GROUP,1831.11669921875,2062.0,2028.0,2033.0,1397573
2021-07-23,BURBERRY GROUP,1877.4964599609375,2113.0,2061.0,2062.0,705869
2021-07-26,BURBERRY GROUP,1877.4964599609375,2115.0,2088.0,2089.0,858757
2021-07-27,BURBERRY GROUP,1859.6583251953125,2112.0,2069.0,2105.0,905365
2021-07-28,BURBERRY GROUP,1864.1175537109375,2129.0,2082.0,2106.0,780972
2021-07-29,BURBERRY GROUP,1869.4693603515625,2106.0,2081.39990234375,2096.0,644497
2021-07-30,BURBERRY GROUP,1840.9278564453125,2096.0,2064.0,2067.0,1113878
2021-08-02,BURBERRY GROUP,1895.3350830078125,2133.0,2080.0,2089.0,1002204
2021-08-03,BURBERRY GROUP,1900.6864013671875,2156.0,2105.659912109375,2128.0,503321
2021-08-04,BURBERRY GROUP,1926.552490234375,2178.0,2144.0,2145.0,885568
2021-08-05,BURBERRY GROUP,1946.1746826171875,2194.0,2145.0,2152.0,986422
2021-08-06,BURBERRY GROUP,1932.7958984375,2199.0,2167.0,2182.0,852296
2021-08-09,BURBERRY GROUP,1930.1201171875,2179.0,2154.0,2166.0,476780
2021-08-10,BURBERRY GROUP,1914.0654296875,2167.0,2135.60009765625,2157.0,1405771
2021-08-11,BURBERRY GROUP,1899.794677734375,2160.0,2123.0,2140.0,752065
2021-08-12,BURBERRY GROUP,1904.25439453125,2146.0,2124.0,2137.0,425677
