Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,British American Tobacco,2174.964111328125,2781.0,2756.5,2765.0,4845719
2021-07-13,British American Tobacco,2182.416259765625,2793.5,2763.5,2775.0,2729824
2021-07-14,British American Tobacco,2196.536376953125,2804.5,2742.0,2763.5,2976424
2021-07-15,British American Tobacco,2191.045654296875,2832.5,2783.0,2802.0,4800918
2021-07-16,British American Tobacco,2233.406982421875,2866.5,2807.5,2819.5,4333342
2021-07-19,British American Tobacco,2154.175048828125,2833.5,2738.0,2825.0,3449505
2021-07-20,British American Tobacco,2136.916259765625,2793.0,2723.5,2759.5,5137590
2021-07-21,British American Tobacco,2151.42919921875,2760.5,2730.0,2730.0,3859865
2021-07-22,British American Tobacco,2145.545654296875,2754.5,2715.0,2746.5,2762114
2021-07-23,British American Tobacco,2172.2177734375,2775.0,2735.0,2740.0,2184193
2021-07-26,British American Tobacco,2169.86474609375,2784.0,2750.0,2761.0,1751493
2021-07-27,British American Tobacco,2173.39453125,2773.5,2724.5,2765.5,3049369
2021-07-28,British American Tobacco,2144.760986328125,2784.0,2710.0,2710.0,2212642
2021-07-29,British American Tobacco,2136.132080078125,2743.0,2704.5,2729.5,2741759
2021-07-30,British American Tobacco,2102.79150390625,2729.0,2677.5,2723.0,3599047
2021-08-02,British American Tobacco,2121.226806640625,2708.0,2680.0,2680.0,1693530
2021-08-03,British American Tobacco,2122.796142578125,2716.5,2693.0,2707.5,1732475
2021-08-04,British American Tobacco,2101.615234375,2715.0,2679.0,2704.5,1998349
2021-08-05,British American Tobacco,2083.964111328125,2688.5,2656.5,2681.5,2436012
2021-08-06,British American Tobacco,2078.47314453125,2663.5,2645.4599609375,2661.0,3246822
2021-08-09,British American Tobacco,2084.74853515625,2668.5,2645.5,2649.5,2468138
2021-08-10,British American Tobacco,2077.29638671875,2664.0,2632.0,2661.5,2679715
2021-08-11,British American Tobacco,2098.869384765625,2687.0,2650.0,2653.5,4225933
2021-08-12,British American Tobacco,2095.339111328125,2706.0,2665.0,2688.0,2649175
2021-08-13,British American Tobacco,2107.1064453125,2694.5,2673.0,2675.5,1753534
2021-08-16,British American Tobacco,2102.399658203125,2682.5,2652.0,2670.0,2140777
2021-08-17,British American Tobacco,2120.0498046875,2718.5,2672.5,2673.5,2377976
2021-08-18,British American Tobacco,2114.951171875,2725.383056640625,2685.0,2700.0,2084429
2021-08-19,British American Tobacco,2094.55419921875,2687.0,2644.0,2681.0,3051464
2021-08-20,British American Tobacco,2127.1103515625,2721.0,2669.5,2673.5,3542173
2021-08-23,British American Tobacco,2122.796142578125,2741.0,2706.0,2712.0,1895178
2021-08-24,British American Tobacco,2108.675537109375,2708.5,2676.5,2700.0,1829968
2021-08-25,British American Tobacco,2119.658203125,2706.06005859375,2676.5,2681.0,6157881
2021-08-26,British American Tobacco,2113.382080078125,2705.22705078125,2673.0,2695.0,3790188
2021-08-27,British American Tobacco,2117.304443359375,2728.5,2691.5,2703.5,1711274
2021-08-31,British American Tobacco,2140.838623046875,2737.5,2703.5,2730.0,3778113
2021-09-01,British American Tobacco,2122.403564453125,2751.5,2702.0,2734.0,3199110
2021-09-02,British American Tobacco,2132.993896484375,2726.5,2699.0,2708.5,1626690
2021-09-03,British American Tobacco,2126.718017578125,2731.0,2698.5,2724.5,1676121
2021-09-06,British American Tobacco,2147.89892578125,2745.5,2711.72509765625,2712.0,1020615
2021-09-07,British American Tobacco,2135.739501953125,2738.0,2713.0,2736.5,1467716
2021-09-08,British American Tobacco,2136.132080078125,2724.5,2686.5,2714.5,2818408
2021-09-09,British American Tobacco,2089.0634765625,2710.5,2658.0,2707.5,4331658
2021-09-10,British American Tobacco,2083.179443359375,2670.0,2650.3349609375,2670.0,2203203
2021-09-13,British American Tobacco,2085.532958984375,2678.0,2630.5,2650.0,2415200
2021-09-14,British American Tobacco,2085.92529296875,2668.5,2647.81005859375,2657.5,1745049
2021-09-15,British American Tobacco,2094.16259765625,2685.0,2662.0,2666.0,3966962
2021-09-16,British American Tobacco,2089.455810546875,2693.5,2663.0,2678.0,6602071
2021-09-17,British American Tobacco,2085.14111328125,2694.5,2648.0,2679.0,6292169
2021-09-20,British American Tobacco,2072.197265625,2657.0,2616.722900390625,2649.0,3258776
2021-09-21,British American Tobacco,2091.416748046875,2673.5,2641.0,2641.0,2507907
2021-09-22,British American Tobacco,2112.59765625,2693.0,2662.5,2673.0,4088568
2021-09-23,British American Tobacco,2094.946533203125,2700.0,2663.5,2695.0,2084457
2021-09-24,British American Tobacco,2085.14111328125,2670.0,2651.5,2660.0,2445779
2021-09-27,British American Tobacco,2097.30029296875,2680.5,2647.5,2670.0,4017663
2021-09-28,British American Tobacco,2118.4814453125,2706.0,2661.5,2661.5,3742430
2021-09-29,British American Tobacco,2146.72216796875,2743.5,2702.0,2715.5,3006391
2021-09-30,British American Tobacco,2083.823974609375,2717.5,2604.0,2711.0,6642227
2021-10-01,British American Tobacco,2032.2080078125,2605.0,2533.0,2601.0,5160569
2021-10-04,British American Tobacco,2054.21484375,2585.5,2525.5,2538.5,3354941
2021-10-05,British American Tobacco,2040.61083984375,2581.0,2549.5,2562.0,4533185
2021-10-06,British American Tobacco,2021.0047607421875,2549.5,2507.5,2549.5,6264761
2021-10-07,British American Tobacco,2027.8067626953125,2565.0,2533.0,2544.5,3283080
2021-10-08,British American Tobacco,2030.2076416015625,2542.199951171875,2520.0,2535.0,2145831
2021-10-11,British American Tobacco,2033.008056640625,2547.5,2520.5,2540.0,4117086
2021-10-12,British American Tobacco,2032.2080078125,2543.0,2521.5,2529.0,2831544
2021-10-13,British American Tobacco,2056.215576171875,2581.5,2509.0,2530.0,3728265
2021-10-14,British American Tobacco,2075.021240234375,2608.5,2574.0,2574.0,2645934
2021-10-15,British American Tobacco,2079.82275390625,2618.5,2595.5,2606.0,2709165
2021-10-18,British American Tobacco,2067.4189453125,2609.0,2574.5,2599.0,2571660
2021-10-19,British American Tobacco,2064.61767578125,2595.5,2572.1259765625,2592.0,1975236
2021-10-20,British American Tobacco,2083.423583984375,2606.0,2585.0,2587.0,3079097
2021-10-21,British American Tobacco,2079.82275390625,2617.5,2589.0,2604.5,2647506
2021-10-22,British American Tobacco,2080.623046875,2615.0,2583.0,2595.5,1866031
2021-10-25,British American Tobacco,2067.018798828125,2608.0,2573.5,2605.0,3070978
2021-10-26,British American Tobacco,2075.8212890625,2601.0,2576.5,2583.0,3528305
2021-10-27,British American Tobacco,2080.22216796875,2615.5,2580.0,2595.0,3566362
2021-10-28,British American Tobacco,2068.21923828125,2611.5,2580.0,2589.5,2326163
2021-10-29,British American Tobacco,2037.8101806640625,2583.5,2546.5,2580.0,5559907
2021-11-01,British American Tobacco,2042.6114501953125,2583.2099609375,2523.5,2556.5,2572066
2021-11-02,British American Tobacco,2032.2080078125,2587.5,2538.5,2548.0,3585562
2021-11-03,British American Tobacco,2015.4033203125,2545.0,2514.0,2536.0,4870279
2021-11-04,British American Tobacco,2010.601806640625,2552.5,2508.0,2535.0,5836728
