Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Coca-Cola HBC,2320.286865234375,2579.0,2558.405029296875,2569.0,500597
2021-07-13,Coca-Cola HBC,2350.8759765625,2613.0,2572.0,2580.0,416780
2021-07-14,Coca-Cola HBC,2350.8759765625,2633.0,2592.0,2618.0,598218
2021-07-15,Coca-Cola HBC,2354.474853515625,2661.0,2602.0,2616.0,648239
2021-07-16,Coca-Cola HBC,2367.969970703125,2660.0,2623.0,2637.0,728667
2021-07-19,Coca-Cola HBC,2309.49072265625,2613.0,2547.0,2607.0,844609
2021-07-20,Coca-Cola HBC,2320.286865234375,2613.39990234375,2572.0,2581.0,1222891
2021-07-21,Coca-Cola HBC,2391.36181640625,2676.0,2595.0,2595.0,1427562
2021-07-22,Coca-Cola HBC,2424.650390625,2706.0,2653.0,2657.0,832669
2021-07-23,Coca-Cola HBC,2438.1455078125,2740.0,2693.0,2710.0,445014
2021-07-26,Coca-Cola HBC,2427.349609375,2711.0,2672.0,2687.0,564572
2021-07-27,Coca-Cola HBC,2437.24609375,2724.0,2668.0,2706.0,393387
2021-07-28,Coca-Cola HBC,2440.8447265625,2729.9599609375,2712.0,2718.0,622659
2021-07-29,Coca-Cola HBC,2465.135986328125,2747.0,2703.0,2718.0,809773
2021-07-30,Coca-Cola HBC,2446.24267578125,2737.0,2712.0,2717.0,336515
2021-08-02,Coca-Cola HBC,2462.43701171875,2760.0,2733.0,2739.0,604450
2021-08-03,Coca-Cola HBC,2489.427734375,2785.0,2735.0,2735.0,1331031
2021-08-04,Coca-Cola HBC,2504.72216796875,2809.594970703125,2765.0,2780.0,770608
2021-08-05,Coca-Cola HBC,2499.32421875,2806.0,2778.0,2778.0,1148949
2021-08-06,Coca-Cola HBC,2422.850830078125,2784.958984375,2692.0,2775.0,847357
2021-08-09,Coca-Cola HBC,2396.76025390625,2690.0,2646.0,2690.0,1113279
2021-08-10,Coca-Cola HBC,2422.850830078125,2703.0,2659.0,2663.0,1054120
2021-08-11,Coca-Cola HBC,2445.343017578125,2719.0,2690.0,2701.0,442553
2021-08-12,Coca-Cola HBC,2402.158203125,2757.0,2646.0,2737.0,651303
2021-08-13,Coca-Cola HBC,2398.559326171875,2719.0,2666.0,2676.0,691971
2021-08-16,Coca-Cola HBC,2437.24609375,2714.0,2653.97998046875,2664.0,580968
2021-08-17,Coca-Cola HBC,2434.546875,2727.0,2680.0,2690.0,2267173
2021-08-18,Coca-Cola HBC,2428.249267578125,2713.0,2676.0,2685.0,668197
2021-08-19,Coca-Cola HBC,2398.559326171875,2685.0,2654.0,2667.0,604611
2021-08-20,Coca-Cola HBC,2384.16455078125,2673.0,2619.0,2667.0,338617
2021-08-23,Coca-Cola HBC,2387.763427734375,2679.0,2650.0,2668.0,338897
2021-08-24,Coca-Cola HBC,2382.364990234375,2667.0,2621.0,2659.0,607983
