Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Endeavour Mining,1414.19873046875,1637.5,1596.0,1623.5,356499
2021-07-13,Endeavour Mining,1448.2442626953125,1660.5,1612.5,1630.0,72887
2021-07-14,Endeavour Mining,1444.75244140625,1699.0,1632.5,1638.0,37839
2021-07-15,Endeavour Mining,1475.3062744140625,1747.5,1677.0,1699.5,90017
2021-07-16,Endeavour Mining,1464.8306884765625,1718.0,1655.5,1669.5,25352
2021-07-19,Endeavour Mining,1437.768798828125,1670.0,1620.0,1650.5,39329
2021-07-20,Endeavour Mining,1414.19873046875,1699.0,1620.0,1660.5,65053
2021-07-21,Endeavour Mining,1414.19873046875,1694.5,1620.0,1652.0,27402
2021-07-22,Endeavour Mining,1449.1173095703125,1699.5,1631.5,1667.5,73745
2021-07-23,Endeavour Mining,1449.1173095703125,1700.0,1630.5,1666.5,83085
2021-07-26,Endeavour Mining,1490.5830078125,1707.5,1619.5,1699.5,49684
2021-07-27,Endeavour Mining,1468.7589111328125,1729.5,1668.5,1710.0,77306
2021-07-28,Endeavour Mining,1470.94140625,1700.0,1660.0,1675.0,45124
2021-07-29,Endeavour Mining,1497.13037109375,1740.0,1685.0,1700.0,107144
2021-07-30,Endeavour Mining,1497.13037109375,1745.0,1710.0,1720.0,68218
2021-08-02,Endeavour Mining,1523.319091796875,1770.0,1715.0,1725.0,23202
2021-08-03,Endeavour Mining,1501.4951171875,1760.0,1705.0,1710.0,66547
2021-08-04,Endeavour Mining,1584.426513671875,1840.0,1710.0,1750.0,137815
2021-08-05,Endeavour Mining,1558.237548828125,1816.0,1175.0,1815.0,44602
2021-08-06,Endeavour Mining,1484.035888671875,1805.0,1695.0,1790.0,124033
2021-08-09,Endeavour Mining,1436.02294921875,1695.0,1633.0,1690.0,43532
2021-08-10,Endeavour Mining,1470.94140625,1815.0,1655.0,1730.0,849536
2021-08-11,Endeavour Mining,1466.576416015625,1762.4949951171875,1670.0,1685.0,188684
2021-08-12,Endeavour Mining,1440.3876953125,1703.31103515625,1645.0,1685.0,102802
2021-08-13,Endeavour Mining,1484.035888671875,1705.0,1680.0,1705.0,147671
2021-08-16,Endeavour Mining,1501.4951171875,1730.0,1690.0,1720.0,116230
2021-08-17,Endeavour Mining,1497.13037109375,1755.0,1705.0,1730.0,209815
2021-08-18,Endeavour Mining,1457.846923828125,1745.0,1640.0,1730.0,238832
2021-08-19,Endeavour Mining,1440.3876953125,1690.0,1645.0,1675.0,110751
2021-08-20,Endeavour Mining,1414.19873046875,1665.0,1590.0,1640.0,209149
2021-08-23,Endeavour Mining,1488.400634765625,1705.0,1635.0,1635.0,328413
2021-08-24,Endeavour Mining,1497.13037109375,1770.0,1709.81005859375,1755.0,140817
2021-08-25,Endeavour Mining,1492.7655029296875,1760.0,1700.0,1720.0,432307
2021-08-26,Endeavour Mining,1527.683837890625,1760.0,1690.0,1700.0,227223
