Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,GENUS,4990.40185546875,5225.0,5125.0,5225.0,61651
2021-07-13,GENUS,5038.75830078125,5210.0,5125.0,5210.0,72073
2021-07-14,GENUS,4980.73095703125,5250.0,5100.0,5250.0,65728
2021-07-15,GENUS,4956.55224609375,5140.0,5015.0,5015.0,166529
2021-07-16,GENUS,4971.05908203125,5155.0,5120.0,5155.0,61602
2021-07-19,GENUS,4956.55224609375,5145.0,5080.0,5130.0,115515
2021-07-20,GENUS,5019.416015625,5245.0,5125.0,5225.0,129048
2021-07-21,GENUS,5120.96435546875,5295.0,5195.0,5195.0,95871
2021-07-22,GENUS,5188.6640625,5395.0,5250.0,5340.0,62950
2021-07-23,GENUS,5178.99267578125,5405.0,5220.0,5220.0,55249
2021-07-26,GENUS,5198.3349609375,5475.0,5345.0,5475.0,53867
2021-07-27,GENUS,5241.85595703125,5490.0,5340.0,5380.0,208349
2021-07-28,GENUS,5377.25439453125,5605.0,5450.0,5535.0,106332
2021-07-29,GENUS,5319.2275390625,5570.0,5420.0,5420.0,284567
2021-07-30,GENUS,5333.734375,5560.0,5455.0,5470.0,103023
2021-08-02,GENUS,5435.28173828125,5620.0,5485.0,5535.0,90897
2021-08-03,GENUS,5527.16064453125,5735.0,5575.0,5620.0,46649
2021-08-04,GENUS,5502.9814453125,5865.0,5670.0,5865.0,81939
2021-08-05,GENUS,5565.84521484375,5775.0,5660.0,5720.0,44130
2021-08-06,GENUS,5517.48876953125,5890.0,5680.0,5890.0,35531
2021-08-09,GENUS,5580.35205078125,5830.0,5682.85009765625,5705.0,62643
2021-08-10,GENUS,5585.18798828125,5805.0,5710.0,5710.0,99748
2021-08-11,GENUS,5623.87353515625,5815.0,5620.0,5620.0,41955
2021-08-12,GENUS,5594.85888671875,5820.0,5740.0,5820.0,67296
2021-08-13,GENUS,5638.380859375,5855.0,5750.0,5750.0,42837
2021-08-16,GENUS,5648.05078125,5870.0,5790.0,5795.0,37697
2021-08-17,GENUS,5730.25830078125,5980.0,5825.0,5895.0,138603
2021-08-18,GENUS,5764.10791015625,6015.0,5930.0,6015.0,56632
2021-08-19,GENUS,5754.435546875,5995.0,5850.0,5925.0,54836
2021-08-20,GENUS,5841.47802734375,6095.0,5925.0,6095.0,54830
2021-08-23,GENUS,5759.2724609375,6225.0,5955.0,6225.0,167698
2021-08-24,GENUS,5744.765625,6040.0,5930.0,5945.0,53912
2021-08-25,GENUS,5802.79248046875,6070.0,5935.0,6050.0,41158
2021-08-26,GENUS,5754.435546875,6010.0,5930.0,5950.0,97758
2021-08-27,GENUS,5788.28564453125,6015.0,5800.0,5800.0,69570
2021-08-31,GENUS,5739.92919921875,6080.0,5910.0,6005.0,70231
2021-09-01,GENUS,5802.79248046875,6020.0,5910.0,5965.0,80500
2021-09-02,GENUS,5865.65625,6070.0,5990.0,6000.0,59437
2021-09-03,GENUS,5797.95751953125,6210.0,5960.0,6210.0,138501
2021-09-06,GENUS,5870.4921875,6070.0,5915.0,5980.0,49300
2021-09-07,GENUS,5783.45068359375,6310.0,5960.0,6225.0,53654
2021-09-08,GENUS,5706.0791015625,5990.0,5865.0,5980.0,90162
2021-09-09,GENUS,5270.87060546875,5505.0,5265.2548828125,5400.0,530620
2021-09-10,GENUS,5377.25439453125,5565.95703125,5405.0,5405.0,182745
2021-09-13,GENUS,5440.11865234375,5660.0,5420.0,5535.0,309008
2021-09-14,GENUS,5469.13232421875,5700.0,5605.0,5700.0,95282
2021-09-15,GENUS,5367.5830078125,5645.0,5540.0,5620.0,246152
2021-09-16,GENUS,5425.611328125,5640.0,5520.0,5540.0,151166
2021-09-17,GENUS,5464.296875,5695.0,5575.2998046875,5650.0,123463
2021-09-20,GENUS,5478.80419921875,5795.0,5569.44384765625,5795.0,68750
2021-09-21,GENUS,5483.63916015625,5690.0,5595.0,5690.0,80884
2021-09-22,GENUS,5493.31103515625,5710.0,5550.0,5550.0,76858
2021-09-23,GENUS,5561.00927734375,5790.0,5710.0,5730.0,41323
2021-09-24,GENUS,5391.76123046875,5730.0,5575.0,5680.0,157212
2021-09-27,GENUS,5367.5830078125,5695.0,5530.0,5695.0,226408
2021-09-28,GENUS,5227.34912109375,5555.0,5385.0,5525.0,423680
2021-09-29,GENUS,5285.37744140625,5510.0,5350.0,5350.0,210862
2021-09-30,GENUS,5290.21240234375,5580.0,5464.3798828125,5570.0,200415
2021-10-01,GENUS,5183.828125,5460.0,5335.0,5335.0,290333
2021-10-04,GENUS,5082.279296875,5395.0,5240.0,5370.0,223291
2021-10-05,GENUS,5135.47119140625,5360.0,5165.0,5165.0,92175
2021-10-06,GENUS,5125.80029296875,5335.0,5225.0,5305.0,165043
2021-10-07,GENUS,5154.8134765625,5395.0,5225.0,5395.0,190311
2021-10-08,GENUS,5135.47119140625,5420.0,5255.0,5420.0,150719
2021-10-11,GENUS,5125.80029296875,5410.0,5235.0,5275.0,85030
2021-10-12,GENUS,5120.96435546875,5320.0,5185.0,5185.0,321503
2021-10-13,GENUS,5256.36328125,5470.0,5150.0,5150.0,139284
2021-10-14,GENUS,5232.18505859375,5585.0,5355.0,5585.0,669858
2021-10-15,GENUS,5246.69189453125,5475.0,5386.2998046875,5475.0,130471
2021-10-18,GENUS,5208.00634765625,5500.0,5325.0,5500.0,55346
2021-10-19,GENUS,5246.69189453125,5450.0,5335.0,5360.0,95779
2021-10-20,GENUS,5324.06201171875,5522.5,5410.0,5500.0,73293
2021-10-21,GENUS,5391.76123046875,5600.0,5450.0,5450.0,78834
2021-10-22,GENUS,5348.24072265625,5645.0,5500.0,5645.0,82882
2021-10-25,GENUS,5333.734375,5560.0,5505.0,5535.0,104229
2021-10-26,GENUS,5338.5693359375,5555.0,5450.0,5505.0,63443
2021-10-27,GENUS,5299.88427734375,5551.0,5455.0,5455.0,62895
2021-10-28,GENUS,5333.734375,5535.0,5455.0,5500.0,134532
2021-10-29,GENUS,5348.24072265625,5570.0,5465.31982421875,5515.0,205455
