Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Games Workshop Group,10257.6083984375,11590.0,11430.0,11550.0,70847
2021-07-13,Games Workshop Group,10337.6083984375,11650.0,11480.0,11530.0,62692
2021-07-14,Games Workshop Group,10284.2763671875,11700.0,11550.0,11700.0,49009
2021-07-15,Games Workshop Group,10159.8330078125,11650.0,11420.0,11570.0,60333
2021-07-16,Games Workshop Group,10168.7216796875,11590.0,11440.0,11590.0,32764
2021-07-19,Games Workshop Group,10044.279296875,11481.669921875,11250.0,11440.0,70567
2021-07-20,Games Workshop Group,10097.611328125,11410.0,11250.0,11330.0,64271
2021-07-21,Games Workshop Group,10302.0537109375,11680.0,11210.0,11210.0,36929
2021-07-22,Games Workshop Group,10462.048828125,11890.0,11570.0,11570.0,55230
2021-07-23,Games Workshop Group,10613.16015625,12000.0,11780.0,11870.0,59998
2021-07-26,Games Workshop Group,10488.716796875,11960.0,11760.0,11880.0,65275
2021-07-27,Games Workshop Group,9902.0595703125,11690.0,11049.5,11600.0,123228
2021-07-28,Games Workshop Group,10106.5009765625,11470.0,11150.0,11200.0,107415
2021-07-29,Games Workshop Group,10097.611328125,11470.0,11180.0,11410.0,105358
2021-07-30,Games Workshop Group,10106.5009765625,11450.0,11192.1201171875,11440.0,73300
2021-08-02,Games Workshop Group,10248.71875,11550.0,11280.0,11410.0,75057
2021-08-03,Games Workshop Group,10444.2734375,11880.0,11480.0,11540.0,46923
2021-08-04,Games Workshop Group,10382.05078125,11870.0,11660.0,11870.0,79501
2021-08-05,Games Workshop Group,10462.326171875,11760.0,11500.0,11680.0,36529
2021-08-06,Games Workshop Group,10506.9208984375,11870.0,11670.0,11760.0,42124
2021-08-09,Games Workshop Group,10533.6787109375,11930.0,11730.0,11760.0,53494
2021-08-10,Games Workshop Group,10390.9697265625,11950.0,11589.2998046875,11700.0,88584
2021-08-11,Games Workshop Group,10408.8095703125,11760.0,11360.0,11420.0,45168
2021-08-12,Games Workshop Group,10471.244140625,11740.0,11600.0,11690.0,41791
2021-08-13,Games Workshop Group,10435.56640625,11870.0,11700.0,11750.0,28241
2021-08-16,Games Workshop Group,10355.294921875,11700.0,11530.0,11610.0,49653
2021-08-17,Games Workshop Group,10319.6142578125,11800.0,11470.0,11650.0,54082
2021-08-18,Games Workshop Group,10408.8095703125,11760.0,11540.0,11540.0,50309
2021-08-19,Games Workshop Group,10426.646484375,11780.0,11410.0,11410.0,41008
2021-08-20,Games Workshop Group,10435.56640625,11790.0,11500.0,11540.0,42078
2021-08-23,Games Workshop Group,10605.0322265625,11960.0,11730.0,11790.0,42482
2021-08-24,Games Workshop Group,10587.1943359375,12020.0,11720.0,11990.0,54197
2021-08-25,Games Workshop Group,10605.0322265625,12070.0,11870.0,12000.0,37273
2021-08-26,Games Workshop Group,10667.46875,11980.0,11640.0,11640.0,37813
2021-08-27,Games Workshop Group,10471.244140625,12000.0,11664.0498046875,11860.0,56000
2021-08-31,Games Workshop Group,10319.6142578125,11850.0,11550.0,11800.0,87860
2021-09-01,Games Workshop Group,10480.1630859375,11775.4404296875,11570.0,11600.0,78011
2021-09-02,Games Workshop Group,10667.46875,11990.0,11560.0,11560.0,61006
2021-09-03,Games Workshop Group,10605.0322265625,12010.0,11850.0,11940.0,72151
2021-09-06,Games Workshop Group,10747.740234375,12080.0,11650.0,11650.0,53444
2021-09-07,Games Workshop Group,10899.3701171875,12310.0,12040.0,12040.0,115183
2021-09-08,Games Workshop Group,10676.3857421875,12300.0,11817.400390625,12300.0,64417
2021-09-09,Games Workshop Group,10649.62890625,12000.0,11820.0,12000.0,34508
2021-09-10,Games Workshop Group,10694.2265625,12134.0,11970.0,12020.0,48076
2021-09-13,Games Workshop Group,10587.1943359375,12180.0,11870.0,12088.099609375,58039
2021-09-14,Games Workshop Group,10587.1943359375,11890.0,11710.0,11840.0,39447
2021-09-15,Games Workshop Group,10346.375,11885.599609375,11600.0,11840.0,61176
2021-09-16,Games Workshop Group,10337.455078125,11750.0,10740.0,11620.0,221887
2021-09-17,Games Workshop Group,9980.6826171875,11720.0,10990.0,11580.0,255641
2021-09-20,Games Workshop Group,9998.5224609375,11280.0,11000.0,11100.0,94586
2021-09-21,Games Workshop Group,9900.4111328125,11370.0,11070.0,11260.0,42471
2021-09-22,Games Workshop Group,9953.9248046875,11270.0,11080.0,11080.0,91207
2021-09-23,Games Workshop Group,9927.166015625,11280.0,11130.0,11200.0,52943
2021-09-24,Games Workshop Group,9686.3466796875,11150.0,10770.0,11120.0,62252
2021-09-27,Games Workshop Group,9383.0908203125,10990.0,10470.0,10990.0,57489
2021-09-28,Games Workshop Group,9231.4619140625,10532.0,10312.822265625,10510.0,63032
2021-09-29,Games Workshop Group,9302.8154296875,10550.0,10350.0,10350.0,102367
2021-09-30,Games Workshop Group,9182.1171875,10640.0,10230.0,10500.0,83771
2021-10-01,Games Workshop Group,8873.6630859375,10254.0,9895.0,10200.0,70677
2021-10-04,Games Workshop Group,8784.255859375,10050.0,9812.7265625,9885.0,59760
2021-10-05,Games Workshop Group,8717.19921875,9960.0,9750.0,9835.0,107848
2021-10-06,Games Workshop Group,8636.734375,9870.0,9563.48828125,9870.0,74249
2021-10-07,Games Workshop Group,8761.904296875,9835.0,9480.0,9830.0,68676
2021-10-08,Games Workshop Group,8627.7919921875,9995.0,9615.0,9880.0,49830
2021-10-11,Games Workshop Group,8802.1376953125,10220.0,9655.0,10090.0,78722
2021-10-12,Games Workshop Group,8909.42578125,10010.0,9725.0,9800.0,78689
2021-10-13,Games Workshop Group,9012.2451171875,10110.0,9845.0,10000.0,55730
2021-10-14,Games Workshop Group,9146.3544921875,10270.0,10044.0498046875,10240.0,46979
2021-10-15,Games Workshop Group,9182.1171875,10390.0,10200.0,10300.0,102672
2021-10-18,Games Workshop Group,9217.8798828125,10398.0,10200.0,10310.0,96857
2021-10-19,Games Workshop Group,9235.7607421875,10433.9404296875,10300.0,10330.0,68575
