Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,HSBC Holdings,336.0012512207031,413.8500061035156,405.45001220703125,410.04998779296875,12387291
2021-07-13,HSBC Holdings,335.47222900390625,424.0,410.79998779296875,422.79998779296875,23439650
2021-07-14,HSBC Holdings,334.5362548828125,416.1000061035156,410.1000061035156,411.29998779296875,12465401
2021-07-15,HSBC Holdings,332.66436767578125,414.3999938964844,406.70001220703125,414.04998779296875,17123923
2021-07-16,HSBC Holdings,328.1882019042969,411.6499938964844,401.75,410.75,21137554
2021-07-19,HSBC Holdings,318.86944580078125,401.8500061035156,390.25,400.0,20668481
2021-07-20,HSBC Holdings,322.1249084472656,398.5,389.3500061035156,396.0,35484539
2021-07-21,HSBC Holdings,327.04876708984375,405.1000061035156,396.20001220703125,397.1499938964844,18849481
2021-07-22,HSBC Holdings,326.1128234863281,407.7760009765625,399.8999938964844,404.29998779296875,14896047
2021-07-23,HSBC Holdings,326.8453063964844,405.0,400.1000061035156,400.5,9358354
2021-07-26,HSBC Holdings,327.9032897949219,405.20001220703125,392.8999938964844,399.5,18758188
2021-07-27,HSBC Holdings,328.2288513183594,407.3999938964844,399.1000061035156,407.0,18925080
2021-07-28,HSBC Holdings,322.7760009765625,398.8999938964844,393.75,394.6499938964844,26888237
2021-07-29,HSBC Holdings,326.35699462890625,403.1499938964844,393.8500061035156,396.75,21830715
2021-07-30,HSBC Holdings,323.4677734375,400.3500061035156,394.0,396.70001220703125,20636760
2021-08-02,HSBC Holdings,322.4097595214844,405.04998779296875,395.04998779296875,401.75,17109614
2021-08-03,HSBC Holdings,323.9560852050781,400.6000061035156,393.3500061035156,396.1499938964844,15536542
2021-08-04,HSBC Holdings,325.86865234375,401.54998779296875,395.1000061035156,400.0,18661817
2021-08-05,HSBC Holdings,327.9032897949219,404.8500061035156,398.45001220703125,399.8999938964844,12040460
2021-08-06,HSBC Holdings,333.55963134765625,410.1499938964844,399.75,400.79998779296875,16132397
2021-08-09,HSBC Holdings,334.2921142578125,411.79998779296875,404.92498779296875,405.8500061035156,11323935
2021-08-10,HSBC Holdings,333.6410217285156,410.04998779296875,404.25,406.3500061035156,33137155
2021-08-11,HSBC Holdings,335.8791198730469,413.3500061035156,408.6499938964844,410.0,15908675
2021-08-12,HSBC Holdings,333.6410217285156,413.906005859375,408.29998779296875,412.0,19911635
2021-08-13,HSBC Holdings,334.90252685546875,414.75,410.3999938964844,410.3999938964844,20477872
2021-08-16,HSBC Holdings,329.77520751953125,411.3009948730469,404.1499938964844,409.75,27120773
2021-08-17,HSBC Holdings,330.30419921875,408.8500061035156,401.75,407.6499938964844,22465004
2021-08-18,HSBC Holdings,329.9786682128906,407.25,398.6099853515625,406.25,12047961
2021-08-19,HSBC Holdings,324.8437194824219,397.79998779296875,393.5,396.0,14897497
2021-08-20,HSBC Holdings,326.533447265625,398.0,393.8999938964844,395.3999938964844,38496222
2021-08-23,HSBC Holdings,325.7915954589844,399.45001220703125,393.8500061035156,399.0,23577771
2021-08-24,HSBC Holdings,321.7939453125,393.54998779296875,387.20001220703125,393.54998779296875,23988818
2021-08-25,HSBC Holdings,328.7177429199219,398.79998779296875,387.8500061035156,390.0,23474559
2021-08-26,HSBC Holdings,325.95648193359375,397.95001220703125,392.45001220703125,393.0,11171478
2021-08-27,HSBC Holdings,325.54437255859375,395.3999938964844,390.8999938964844,392.95001220703125,16377892
2021-08-31,HSBC Holdings,318.3320007324219,390.5,382.3999938964844,387.3999938964844,32462404
2021-09-01,HSBC Holdings,318.78533935546875,392.2699890136719,385.04998779296875,388.5,18015714
2021-09-02,HSBC Holdings,319.197509765625,388.8999938964844,382.75,386.6000061035156,17756137
2021-09-03,HSBC Holdings,316.8895263671875,387.54998779296875,383.25,386.20001220703125,16217771
2021-09-06,HSBC Holdings,319.197509765625,387.8500061035156,384.20001220703125,385.25,8646481
2021-09-07,HSBC Holdings,315.2821960449219,385.0,381.3500061035156,383.20001220703125,20202903
2021-09-08,HSBC Holdings,313.6748962402344,381.75,375.6499938964844,379.5,18780216
2021-09-09,HSBC Holdings,310.29541015625,379.3999938964844,373.5,378.3500061035156,18675621
2021-09-10,HSBC Holdings,309.4299011230469,380.5,373.79998779296875,377.70001220703125,13489555
2021-09-13,HSBC Holdings,313.51007080078125,380.8500061035156,376.8500061035156,379.29998779296875,12230682
2021-09-14,HSBC Holdings,307.3692626953125,377.29998779296875,371.75,377.0,25672101
2021-09-15,HSBC Holdings,306.9983215332031,375.3999938964844,371.04998779296875,372.1000061035156,29158430
2021-09-16,HSBC Holdings,304.0721740722656,373.8999938964844,368.54998779296875,370.3999938964844,28536650
2021-09-17,HSBC Holdings,309.9656677246094,379.8500061035156,372.04998779296875,373.0,79991043
2021-09-20,HSBC Holdings,298.137451171875,370.95001220703125,361.70001220703125,369.1000061035156,35684967
2021-09-21,HSBC Holdings,296.5301208496094,367.75,358.45001220703125,363.0,37801875
2021-09-22,HSBC Holdings,309.4299011230469,377.3999938964844,362.8429870605469,363.3999938964844,33258547
2021-09-23,HSBC Holdings,310.62506103515625,380.70001220703125,329.54998779296875,375.79998779296875,32792317
2021-09-24,HSBC Holdings,309.4711608886719,377.0,372.45001220703125,376.70001220703125,28302653
2021-09-27,HSBC Holdings,318.1259460449219,387.3999938964844,378.3500061035156,381.20001220703125,25948496
2021-09-28,HSBC Holdings,317.6313781738281,390.8999938964844,382.70001220703125,384.3500061035156,21830054
2021-09-29,HSBC Holdings,324.3492126464844,394.79998779296875,389.0,392.5,23497827
