Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,IG Group Holdings,717.03369140625,872.5,864.5,865.0,397437
2021-07-13,IG Group Holdings,727.341796875,884.0,870.0,871.5,803650
2021-07-14,IG Group Holdings,716.208984375,881.5,866.0,881.5,634940
2021-07-15,IG Group Holdings,702.18994140625,867.5,847.5,858.5,1001157
2021-07-16,IG Group Holdings,696.8297119140625,856.0,841.0,853.0,485634
2021-07-19,IG Group Holdings,680.7489624023438,844.0,822.5,841.0,621046
2021-07-20,IG Group Holdings,676.2135009765625,828.5,810.5,819.0,634105
2021-07-21,IG Group Holdings,680.3367309570312,830.5,818.0,820.0,564098
2021-07-22,IG Group Holdings,707.9625854492188,867.5,829.0,829.0,1528521
2021-07-23,IG Group Holdings,717.03369140625,879.0,862.0,870.0,902374
2021-07-26,IG Group Holdings,725.6923828125,896.0,858.0,874.5,1160097
2021-07-27,IG Group Holdings,724.0431518554688,886.0,858.5,872.0,1277582
2021-07-28,IG Group Holdings,729.4033813476562,894.0,874.5,874.5,904362
2021-07-29,IG Group Holdings,728.9910278320312,897.0,883.5,885.0,956585
2021-07-30,IG Group Holdings,735.5882568359375,895.2520141601562,862.5,862.5,752444
2021-08-02,IG Group Holdings,748.78271484375,913.0,896.0,897.0,864097
2021-08-03,IG Group Holdings,746.7210083007812,914.5,901.0,914.0,584854
2021-08-04,IG Group Holdings,757.0292358398438,918.0,893.0,905.0,1164812
2021-08-05,IG Group Holdings,751.6690063476562,915.0,891.0,891.0,1690978
2021-08-06,IG Group Holdings,735.1759033203125,912.5,888.5,899.0,500256
2021-08-09,IG Group Holdings,728.1664428710938,889.0,872.5,876.5,622493
2021-08-10,IG Group Holdings,724.8678588867188,885.0,865.0,865.0,1039633
2021-08-11,IG Group Holdings,741.3609008789062,899.0,882.0,883.0,611630
2021-08-12,IG Group Holdings,744.659423828125,908.5,896.0,896.0,399781
2021-08-13,IG Group Holdings,750.0197143554688,915.0,907.0,910.0,558902
2021-08-16,IG Group Holdings,752.906005859375,915.0,901.5,904.5,459130
2021-08-17,IG Group Holdings,753.3182373046875,917.5,901.5,901.5,531883
2021-08-18,IG Group Holdings,768.9866333007812,932.5,912.5,914.0,467252
2021-08-19,IG Group Holdings,766.5127563476562,934.5,924.5,927.5,1615807
2021-08-20,IG Group Holdings,772.2852172851562,942.0,929.5,931.5,755877
2021-08-23,IG Group Holdings,768.5744018554688,945.0,931.0,945.0,386166
2021-08-24,IG Group Holdings,762.3893432617188,937.5,924.5,931.0,895498
2021-08-25,IG Group Holdings,762.8017578125,934.0,924.0,927.0,316920
2021-08-26,IG Group Holdings,766.100341796875,929.5,920.5,925.0,312853
2021-08-27,IG Group Holdings,766.9249877929688,931.5,923.5,923.5,525413
2021-08-31,IG Group Holdings,772.2852172851562,936.5,913.5,926.5,937559
2021-09-01,IG Group Holdings,779.2947387695312,947.5,931.0,931.0,523705
2021-09-02,IG Group Holdings,693.5310668945312,930.0,834.0,930.0,3059361
2021-09-03,IG Group Holdings,719.5076293945312,872.5,847.0,852.0,1573083
2021-09-06,IG Group Holdings,717.8582153320312,877.0,866.0,874.0,701523
2021-09-07,IG Group Holdings,717.8582153320312,871.5,861.0,869.0,901787
2021-09-08,IG Group Holdings,710.4365234375,870.010009765625,861.0,867.0,3027248
2021-09-09,IG Group Holdings,699.7160034179688,858.5,839.5,856.0,1417454
2021-09-10,IG Group Holdings,707.1378784179688,858.5,848.0,850.0,542563
2021-09-13,IG Group Holdings,702.9609985351562,861.0,845.5,861.0,276578
2021-09-14,IG Group Holdings,693.5310668945312,855.0,840.0,850.0,599581
2021-09-15,IG Group Holdings,685.6968994140625,852.0,824.5,852.0,797064
2021-09-16,IG Group Holdings,698.47900390625,885.0,844.530029296875,850.0,1081885
2021-09-17,IG Group Holdings,696.4174194335938,858.0360107421875,841.5,849.5,2908238
2021-09-20,IG Group Holdings,700.9529418945312,855.0,833.0,840.0,774897
2021-09-21,IG Group Holdings,707.1378784179688,864.0,853.7529907226562,854.5,719859
2021-09-22,IG Group Holdings,704.6638793945312,866.5,848.0,859.0,638523
2021-09-23,IG Group Holdings,712.1358032226562,840.0,827.25,838.5,653956
2021-09-24,IG Group Holdings,705.2965698242188,833.5,819.0,831.5,676413
2021-09-27,IG Group Holdings,693.327880859375,831.5,810.5,830.5,565702
2021-09-28,IG Group Holdings,681.78662109375,814.0,794.0,810.0,2290221
2021-09-29,IG Group Holdings,679.6494140625,809.0,794.0,802.0,1088790
2021-09-30,IG Group Holdings,687.77099609375,840.1339721679688,800.0,800.0,970326
2021-10-01,IG Group Holdings,691.6181030273438,809.0,797.0,809.0,985772
