Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,IMI PLC,1654.4810791015625,1748.0,1728.0,1741.0,430385
2021-07-13,IMI PLC,1672.5264892578125,1766.0,1741.0,1750.0,518497
2021-07-14,IMI PLC,1660.1795654296875,1761.0,1737.0,1757.0,347698
2021-07-15,IMI PLC,1644.9833984375,1758.0,1727.0,1741.0,446367
2021-07-16,IMI PLC,1626.93798828125,1739.0,1702.0,1728.0,531949
2021-07-19,IMI PLC,1582.29931640625,1706.0,1659.0,1679.0,754865
2021-07-20,IMI PLC,1605.0936279296875,1704.0,1649.0,1649.0,663835
2021-07-21,IMI PLC,1620.28955078125,1716.0,1697.0,1707.0,623185
2021-07-22,IMI PLC,1627.8878173828125,1732.0,1701.0,1723.0,420024
2021-07-23,IMI PLC,1642.1341552734375,1736.0,1703.0,1703.0,550953
2021-07-26,IMI PLC,1650.68212890625,1763.0,1715.0,1763.0,581034
2021-07-27,IMI PLC,1654.4810791015625,1751.0,1715.0,1723.0,345336
2021-07-28,IMI PLC,1656.3804931640625,1756.0,1733.0,1741.0,547762
2021-07-29,IMI PLC,1663.02880859375,1766.0,1736.0,1741.0,1211028
2021-07-30,IMI PLC,1667.7777099609375,1798.0,1724.0,1767.0,797823
2021-08-02,IMI PLC,1644.9833984375,1822.0,1707.0,1800.0,605909
2021-08-03,IMI PLC,1641.184326171875,1730.0,1702.0,1729.0,373625
2021-08-04,IMI PLC,1632.6365966796875,1744.0,1712.0,1740.0,539818
2021-08-05,IMI PLC,1635.48583984375,1728.0,1712.0,1722.0,390159
2021-08-06,IMI PLC,1632.6365966796875,1731.0,1717.0,1726.0,212045
2021-08-09,IMI PLC,1633.5863037109375,1722.0,1698.7879638671875,1715.0,380096
2021-08-10,IMI PLC,1669.67724609375,1758.0,1150.0899658203125,1719.0,402504
2021-08-11,IMI PLC,1683.9234619140625,1790.0,1732.5460205078125,1790.0,1092921
2021-08-12,IMI PLC,1701.0003662109375,1786.47998046875,1760.0,1760.0,593515
2021-08-13,IMI PLC,1705.770263671875,1796.0,1772.0,1776.0,436868
2021-08-16,IMI PLC,1690.5062255859375,1789.0,1749.0,1749.0,300496
2021-08-17,IMI PLC,1698.138427734375,1791.0,1763.0,1779.0,761115
2021-08-18,IMI PLC,1707.678466796875,1794.0,1777.2750244140625,1788.0,311753
2021-08-19,IMI PLC,1687.6441650390625,1800.0,1757.0,1800.0,369368
2021-08-20,IMI PLC,1685.7362060546875,1778.053955078125,1756.0,1765.0,448549
2021-08-23,IMI PLC,1679.05810546875,1788.0,1758.0,1785.0,444831
2021-08-24,IMI PLC,1685.7362060546875,1771.0,1754.0,1757.0,326314
2021-08-25,IMI PLC,1703.8624267578125,1790.0,1767.0,1768.0,427790
2021-08-26,IMI PLC,1707.678466796875,1790.0,1741.0,1741.0,245579
2021-08-27,IMI PLC,1717.218505859375,1804.0,1772.738037109375,1804.0,420428
2021-08-31,IMI PLC,1739.1607666015625,1826.0,1754.0,1754.0,743737
2021-09-01,IMI PLC,1734.390869140625,1842.0,1811.0,1842.0,381061
2021-09-02,IMI PLC,1742.976806640625,1828.0,1807.0,1807.0,694947
2021-09-03,IMI PLC,1726.7586669921875,1862.0,1805.0,1862.0,369746
2021-09-06,IMI PLC,1724.8504638671875,1822.0,1808.0,1822.0,279725
2021-09-07,IMI PLC,1718.172607421875,1805.0,1783.0,1783.0,345320
2021-09-08,IMI PLC,1700.04638671875,1789.0,1763.0,1781.0,383110
2021-09-09,IMI PLC,1715.310546875,1808.0,1767.0,1772.0,576980
2021-09-10,IMI PLC,1718.172607421875,1812.0,1792.0,1792.0,228068
2021-09-13,IMI PLC,1732.4827880859375,1828.0,1811.0,1811.0,12683
2021-09-14,IMI PLC,1736.298583984375,1859.0,1812.0,1859.0,209697
2021-09-15,IMI PLC,1714.3564453125,1824.0,1797.0,1824.0,374312
2021-09-16,IMI PLC,1734.390869140625,1833.0,1801.0,1807.0,407922
2021-09-17,IMI PLC,1719.12646484375,1857.0,1802.0,1857.0,1105798
2021-09-20,IMI PLC,1686.6903076171875,1791.0,1762.0,1774.0,573178
2021-09-21,IMI PLC,1701.954345703125,1806.0,1777.0,1783.0,536829
2021-09-22,IMI PLC,1735.3448486328125,1822.0,1755.0,1755.0,432453
2021-09-23,IMI PLC,1727.712646484375,1835.0,1811.0,1835.0,563330
2021-09-24,IMI PLC,1736.298583984375,1824.0,1796.0,1797.0,767610
2021-09-27,IMI PLC,1637.0816650390625,1856.760009765625,1716.0,1838.0,867914
2021-09-28,IMI PLC,1587.4730224609375,1719.1800537109375,1651.0,1716.0,720639
2021-09-29,IMI PLC,1589.3812255859375,1697.0,1660.8199462890625,1662.0,618757
2021-09-30,IMI PLC,1583.656982421875,1697.0,1660.0,1669.0,659426
2021-10-01,IMI PLC,1570.3009033203125,1657.0,1619.0,1637.0,648701
2021-10-04,IMI PLC,1555.99072265625,1650.0,1624.5250244140625,1640.0,476428
2021-10-05,IMI PLC,1573.1629638671875,1654.0,1630.0,1638.0,601506
2021-10-06,IMI PLC,1550.2667236328125,1644.0,1599.0,1635.0,500016
2021-10-07,IMI PLC,1568.3929443359375,1648.0,1633.0,1643.0,501768
2021-10-08,IMI PLC,1565.5308837890625,1657.0,1635.0,1657.0,323715
2021-10-11,IMI PLC,1565.5308837890625,1649.0,1607.0,1607.0,434218
2021-10-12,IMI PLC,1569.346923828125,1647.0,1610.0,1626.0,341590
2021-10-13,IMI PLC,1574.116943359375,1672.0,1623.0,1623.0,640404
2021-10-14,IMI PLC,1607.50732421875,1693.0,1652.0,1661.0,736416
2021-10-15,IMI PLC,1602.7374267578125,1698.0,1671.0,1698.0,667660
2021-10-18,IMI PLC,1608.46142578125,1720.0,1649.0,1720.0,928294
2021-10-19,IMI PLC,1608.46142578125,1692.0,1674.0,1674.0,506920
2021-10-20,IMI PLC,1596.0592041015625,1686.0,1670.0,1685.0,511852
2021-10-21,IMI PLC,1587.4730224609375,1671.0,1631.0,1636.0,934840
2021-10-22,IMI PLC,1595.105224609375,1680.0,1624.0,1624.0,710860
2021-10-25,IMI PLC,1601.783203125,1698.0,1669.0,1698.0,342176
2021-10-26,IMI PLC,1578.886962890625,1683.0,1640.0,1640.0,673543
2021-10-27,IMI PLC,1578.886962890625,1671.0,1635.0,1635.0,669108
2021-10-28,IMI PLC,1570.3009033203125,1660.0,1643.0,1654.0,378449
2021-10-29,IMI PLC,1558.8529052734375,1648.0,1624.0,1643.0,682031
2021-11-01,IMI PLC,1570.3009033203125,1679.0,1625.0,1679.0,494632
2021-11-02,IMI PLC,1556.9447021484375,1653.0,1626.0,1634.0,803334
2021-11-03,IMI PLC,1554.0828857421875,1644.0,1622.0,1643.0,537061
2021-11-04,IMI PLC,1690.5062255859375,1779.0,1667.0,1667.0,1788170
2021-11-05,IMI PLC,1698.138427734375,1785.0,1739.0,1755.0,741281
2021-11-08,IMI PLC,1701.0003662109375,1824.529052734375,1767.0,1823.0,1074531
2021-11-09,IMI PLC,1696.230224609375,1811.0,1778.0,1798.0,1123366
2021-11-10,IMI PLC,1686.6903076171875,1807.0,1766.0,1807.0,759029
2021-11-11,IMI PLC,1711.4945068359375,1794.0,1748.0,1748.0,688903
2021-11-12,IMI PLC,1709.5865478515625,1795.47998046875,1762.0,1762.0,673748
2021-11-15,IMI PLC,1710.540283203125,1821.0,1786.0,1821.0,503172
2021-11-16,IMI PLC,1729.6207275390625,1813.0,1785.0,1793.0,584806
2021-11-17,IMI PLC,1745.8387451171875,1836.0,1794.0,1794.0,1569679
2021-11-18,IMI PLC,1749.6549072265625,1878.0,1823.0,1878.0,491883
2021-11-19,IMI PLC,1753.4708251953125,1847.0,1825.0,1834.0,447785
2021-11-22,IMI PLC,1737.2528076171875,1877.8089599609375,1821.0,1877.0,584725
2021-11-23,IMI PLC,1702.9083251953125,1802.0,1770.0,1802.0,267495
2021-11-24,IMI PLC,1683.8282470703125,1800.0,1763.0,1776.0,275411
2021-11-25,IMI PLC,1680.01220703125,1809.0,1761.0,1809.0,224842
2021-11-26,IMI PLC,1641.851806640625,1800.0,1716.0,1800.0,791006
2021-11-29,IMI PLC,1651.391845703125,1771.0,1723.0,1771.0,758129
2021-11-30,IMI PLC,1622.771484375,1728.0,1694.0,1712.0,774191
2021-12-01,IMI PLC,1662.8399658203125,1752.0,1705.0,1713.0,365137
2021-12-02,IMI PLC,1663.7939453125,1747.0,1724.0,1735.0,439183
2021-12-03,IMI PLC,1668.56396484375,1774.0,1739.0,1774.0,704636
2021-12-06,IMI PLC,1680.9661865234375,1772.0,1746.0,1760.0,336967
2021-12-07,IMI PLC,1728.6666259765625,1812.0,1763.0,1767.0,549507
2021-12-08,IMI PLC,1713.40234375,1829.0,1790.0,1803.0,436358
2021-12-09,IMI PLC,1706.7244873046875,1810.0,1773.0,1810.0,293195
2021-12-10,IMI PLC,1680.9661865234375,1821.0,1759.0,1821.0,260054
2021-12-13,IMI PLC,1657.115966796875,1774.0,1718.0,1718.0,329684
2021-12-14,IMI PLC,1629.4495849609375,1758.4010009765625,1708.0,1758.0,814039
2021-12-15,IMI PLC,1621.8175048828125,1756.0,1700.0,1756.0,1146196
2021-12-16,IMI PLC,1651.391845703125,1747.0,1717.0,1747.0,293976
2021-12-17,IMI PLC,1626.587646484375,1737.0,1692.1800537109375,1737.0,970022
2021-12-20,IMI PLC,1598.9212646484375,1688.0,1654.0,1663.0,221739
2021-12-21,IMI PLC,1615.139404296875,1704.0,1690.0,1697.0,197617
2021-12-22,IMI PLC,1648.52978515625,1730.0,1688.0,1688.0,262321
2021-12-23,IMI PLC,1668.56396484375,1753.0,1729.0,1736.0,172967
2021-12-24,IMI PLC,1654.25390625,1752.0,1733.0,1750.0,33006
2021-12-29,IMI PLC,1694.322265625,1794.0,1753.6400146484375,1756.0,387726
2021-12-30,IMI PLC,1668.56396484375,1786.0,1749.0,1786.0,156311
2021-12-31,IMI PLC,1656.161865234375,1770.0,1736.0,1770.0,69949
2022-01-04,IMI PLC,1701.954345703125,1802.0,1747.1199951171875,1762.0,1099034
2022-01-05,IMI PLC,1697.1842041015625,1799.0,1770.0,1779.0,313989
2022-01-06,IMI PLC,1676.196044921875,1770.0,1746.0,1759.0,478184
2022-01-07,IMI PLC,1654.25390625,1762.0,1723.0,1749.0,303794
2022-01-10,IMI PLC,1595.105224609375,1751.8499755859375,1672.0,1742.0,699698
2022-01-11,IMI PLC,1587.4730224609375,1698.0,1664.0,1680.0,361481
2022-01-12,IMI PLC,1606.5533447265625,1694.676025390625,1653.0,1653.0,485824
2022-01-13,IMI PLC,1585.5650634765625,1686.0,1657.0,1660.0,218520
2022-01-14,IMI PLC,1565.5308837890625,1656.0,1624.344970703125,1653.0,368983
2022-01-17,IMI PLC,1589.3812255859375,1667.0,1607.0,1607.0,191143
2022-01-18,IMI PLC,1576.9791259765625,1669.0,1636.0,1669.0,699481
2022-01-19,IMI PLC,1595.105224609375,1691.0,1639.0,1639.0,847443
2022-01-20,IMI PLC,1601.783203125,1686.0,1664.0,1679.0,444847
2022-01-21,IMI PLC,1565.5308837890625,1667.0,1625.0,1653.0,328000
2022-01-24,IMI PLC,1507.336181640625,1640.0,1566.0,1618.0,639914
2022-01-25,IMI PLC,1517.830322265625,1594.0,1566.0,1591.0,636411
2022-01-26,IMI PLC,1537.864501953125,1632.0,1551.0,1551.0,429331
2022-01-27,IMI PLC,1555.0367431640625,1641.0,1583.0,1592.0,592233
2022-01-28,IMI PLC,1545.4967041015625,1639.0,1612.0,1636.0,860462
2022-01-31,IMI PLC,1573.1629638671875,1654.0,1635.0,1641.0,921836
2022-02-01,IMI PLC,1584.611083984375,1695.0,1658.0,1682.0,989489
2022-02-02,IMI PLC,1620.863525390625,1699.0,1663.0,1663.0,431229
2022-02-03,IMI PLC,1560.7608642578125,1689.0,1636.0,1654.0,337049
2022-02-04,IMI PLC,1535.00244140625,1676.0,1609.0,1676.0,300863
2022-02-07,IMI PLC,1562.6688232421875,1640.0,1620.0,1631.0,623411
2022-02-08,IMI PLC,1561.7149658203125,1655.0,1626.0,1639.0,805284
2022-02-09,IMI PLC,1574.116943359375,1656.0,1617.0,1617.0,558161
2022-02-10,IMI PLC,1540.7265625,1663.0,1614.0,1658.0,482072
2022-02-11,IMI PLC,1529.2783203125,1633.0,1603.0,1624.0,423424
2022-02-14,IMI PLC,1507.336181640625,1599.0,1557.0,1588.0,677980
2022-02-15,IMI PLC,1543.588623046875,1624.0,1559.0,1559.0,408033
2022-02-16,IMI PLC,1532.140380859375,1642.0,1593.0,1603.0,1007096
2022-02-17,IMI PLC,1514.96826171875,1621.0,1578.0,1621.0,468766
2022-02-18,IMI PLC,1514.96826171875,1616.0,1583.0,1616.0,791977
2022-02-21,IMI PLC,1489.2100830078125,1629.0,1549.0,1629.0,693066
