Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,LONDON STOCK EXCH.,7643.232421875,7984.0,7858.0,7858.0,263607
2021-07-13,LONDON STOCK EXCH.,7506.57421875,7966.0,7790.0,7944.0,506130
2021-07-14,LONDON STOCK EXCH.,7371.8408203125,7812.0,7629.77978515625,7806.0,564002
2021-07-15,LONDON STOCK EXCH.,7283.3017578125,7686.0,7514.0,7658.0,798558
2021-07-16,LONDON STOCK EXCH.,7314.09814453125,7670.0,7566.0,7644.0,651472
2021-07-19,LONDON STOCK EXCH.,7314.09814453125,7636.0,7510.0,7602.0,639931
2021-07-20,LONDON STOCK EXCH.,7217.859375,7628.0,7466.0,7626.0,1431621
2021-07-21,LONDON STOCK EXCH.,7275.6025390625,7596.0,7504.0,7558.0,561821
2021-07-22,LONDON STOCK EXCH.,7265.97900390625,7614.0,7504.0,7566.0,711066
2021-07-23,LONDON STOCK EXCH.,7337.19482421875,7638.0,7506.0,7622.0,549991
2021-07-26,LONDON STOCK EXCH.,7144.71875,7602.0,7412.0,7578.0,458514
2021-07-27,LONDON STOCK EXCH.,7061.9541015625,7466.0,7338.0,7426.0,624411
2021-07-28,LONDON STOCK EXCH.,7038.85693359375,7396.0,7220.0,7310.0,548943
2021-07-29,LONDON STOCK EXCH.,7042.70654296875,7356.0,7274.0,7318.0,548299
2021-07-30,LONDON STOCK EXCH.,7208.23583984375,7492.0,7238.0,7260.0,680194
2021-08-02,LONDON STOCK EXCH.,7217.859375,7591.23486328125,7414.0,7528.0,448300
2021-08-03,LONDON STOCK EXCH.,7137.01953125,7574.0,7416.0,7540.0,287467
2021-08-04,LONDON STOCK EXCH.,7179.36474609375,7480.0,7342.0,7446.0,800783
2021-08-05,LONDON STOCK EXCH.,7187.0634765625,7504.0,7384.0,7432.0,988057
2021-08-06,LONDON STOCK EXCH.,7548.91845703125,7996.0,7518.0,7540.0,822989
2021-08-09,LONDON STOCK EXCH.,7512.34814453125,7908.0,7746.0,7844.0,415174
2021-08-10,LONDON STOCK EXCH.,7554.69287109375,7924.0,7798.0,7820.0,674047
2021-08-11,LONDON STOCK EXCH.,7793.36474609375,8152.0,7820.0,7838.0,891084
2021-08-12,LONDON STOCK EXCH.,7674.0283203125,8100.0,7830.0,8034.0,718851
2021-08-13,LONDON STOCK EXCH.,7631.6845703125,8060.0,7896.0,7996.0,341826
2021-08-16,LONDON STOCK EXCH.,7691.3515625,8056.0,7824.0,7838.0,474847
2021-08-17,LONDON STOCK EXCH.,7772.19140625,8080.0,7948.0,7954.0,423325
2021-08-18,LONDON STOCK EXCH.,7783.73974609375,8120.0,7996.009765625,8100.0,302895
2021-08-19,LONDON STOCK EXCH.,7719.06005859375,8018.0,7858.0,8012.0,378046
2021-08-20,LONDON STOCK EXCH.,7757.67529296875,8078.0,7974.0,8018.0,366675
2021-08-23,LONDON STOCK EXCH.,7811.73583984375,8116.0,8014.0,8092.0,359049
2021-08-24,LONDON STOCK EXCH.,7856.142578125,8148.0,8030.0,8126.0,438789
2021-08-25,LONDON STOCK EXCH.,7775.05126953125,8160.0,8022.0,8134.0,336361
2021-08-26,LONDON STOCK EXCH.,7701.68359375,8060.0,7962.0,8022.0,332472
2021-08-27,LONDON STOCK EXCH.,7746.0908203125,8042.0,7950.0,7978.0,402293
2021-08-31,LONDON STOCK EXCH.,7680.44580078125,8084.0,7950.0,8048.0,902033
