Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,NEXT,7037.6220703125,7884.7578125,7746.81005859375,7844.0,157198
2021-07-13,NEXT,7014.3369140625,7936.0,7822.0,7858.0,131623
2021-07-14,NEXT,6976.72119140625,7822.0,7712.0,7784.0,149135
2021-07-15,NEXT,6629.228515625,7746.0,7392.0,7730.0,257614
2021-07-16,NEXT,6729.5361328125,7544.0,7430.0,7456.0,261409
2021-07-19,NEXT,6503.84521484375,7466.0,7214.0,7402.0,832696
2021-07-20,NEXT,6622.06396484375,7418.0,7228.0,7310.0,601427
2021-07-21,NEXT,7116.4345703125,8188.0,7802.0,8118.0,1208598
2021-07-22,NEXT,7182.70947265625,8058.0,7902.0,8018.0,332177
2021-07-23,NEXT,7247.19287109375,8204.0,8038.0,8086.0,238890
2021-07-26,NEXT,7265.10498046875,8120.0,8008.0,8036.0,171123
2021-07-27,NEXT,7200.62109375,8082.0,7994.0,8072.0,208765
2021-07-28,NEXT,7198.83056640625,8112.0,7992.0,7992.0,176023
2021-07-29,NEXT,7084.193359375,8060.0,7882.0,8052.0,250494
2021-07-30,NEXT,7059.11669921875,7944.0,7726.0,7818.0,234508
2021-08-02,NEXT,7139.720703125,8148.0,7932.0,7972.0,191659
2021-08-03,NEXT,7077.0283203125,7984.27392578125,7842.0,7970.0,159121
2021-08-04,NEXT,7148.6767578125,7996.0,7862.0,7940.0,320287
2021-08-05,NEXT,7091.35791015625,7966.0,7880.0,7928.0,240144
2021-08-06,NEXT,7141.51171875,7996.0,7824.0,7864.0,139493
2021-08-09,NEXT,7229.28076171875,8072.0,7898.0,7950.0,180960
2021-08-10,NEXT,7114.64404296875,8080.0,7900.0,8060.0,223222
2021-08-11,NEXT,7240.02783203125,8102.0,7950.0,7950.0,127246
2021-08-12,NEXT,7303.58447265625,8062.0,7952.0,8010.0,157250
2021-08-13,NEXT,7361.693359375,8124.0,8040.0,8096.0,108203
2021-08-16,NEXT,7194.63037109375,8046.0,7878.0,8038.0,137818
2021-08-17,NEXT,7174.6552734375,7964.0,7814.0,7858.0,701379
2021-08-18,NEXT,7161.94384765625,7968.0,7820.0,7918.0,181875
2021-08-19,NEXT,7098.38671875,7866.01318359375,7690.0,7796.0,179132
2021-08-20,NEXT,7196.44580078125,8010.0,7822.0,7834.0,303189
2021-08-23,NEXT,7209.1572265625,8030.0,7898.0,8014.0,133312
2021-08-24,NEXT,7229.13232421875,7994.0,7810.0,7994.0,472939
2021-08-25,NEXT,7332.63916015625,8076.0,7940.0,7978.0,114209
2021-08-26,NEXT,7279.97802734375,8084.0,7966.0,8022.0,126866
2021-08-27,NEXT,7229.13232421875,8026.0,7934.0,8000.0,114857
2021-08-31,NEXT,7181.91845703125,7992.0,7884.0,7984.0,312216
2021-09-01,NEXT,7338.08740234375,8090.0,7956.0,8002.0,157442
2021-09-02,NEXT,7198.26220703125,8092.0,7928.0,8050.0,124038
2021-09-03,NEXT,7185.55078125,7972.0,7860.0,7916.0,150632
2021-09-06,NEXT,7194.63037109375,7978.0,7902.0,7952.0,89538
2021-09-07,NEXT,7212.78955078125,7980.0,7876.0,7922.0,448558
2021-09-08,NEXT,7210.9736328125,8022.0,7804.0,7890.0,234863
2021-09-09,NEXT,7152.8642578125,7878.0,7774.0,7846.0,465712
2021-09-10,NEXT,7187.36669921875,8040.0,7832.0,7850.0,230716
2021-09-13,NEXT,7131.07373046875,7964.0,7778.0,7964.0,13957
2021-09-14,NEXT,7249.107421875,7984.0,7798.0,7830.0,198861
2021-09-15,NEXT,7190.99853515625,8038.0,7898.0,7976.0,762208
2021-09-16,NEXT,7265.45068359375,8012.0,7914.0,7936.0,292730
2021-09-17,NEXT,7374.4052734375,8202.0,8011.35009765625,8116.0,960203
2021-09-20,NEXT,7283.60986328125,8032.0,7912.0,8008.0,239659
2021-09-21,NEXT,7336.2705078125,8142.0,8052.0,8098.0,237689
2021-09-22,NEXT,7496.0712890625,8268.0,8080.0,8130.0,264939
2021-09-23,NEXT,7463.384765625,8328.0,8220.0,8314.0,203012
2021-09-24,NEXT,7425.25048828125,8280.0,8128.0,8182.0,203192
2021-09-27,NEXT,7439.77783203125,8266.857421875,8194.0,8264.0,365194
2021-09-28,NEXT,7336.2705078125,8232.0,7996.0,8190.0,355260
2021-09-29,NEXT,7621.369140625,8458.0,8246.0,8352.0,815208
2021-09-30,NEXT,7456.12060546875,8484.0,8102.0,8466.0,718896
2021-10-01,NEXT,7419.80322265625,8188.0,8010.0,8106.0,443787
2021-10-04,NEXT,7323.56005859375,8246.0517578125,8050.0,8162.0,362399
2021-10-05,NEXT,7301.76904296875,8155.39990234375,8038.0,8108.0,275129
2021-10-06,NEXT,6949.482421875,7966.0,7654.0,7950.0,717611
2021-10-07,NEXT,6922.244140625,7790.0,7480.0,7756.0,469641
2021-10-08,NEXT,6871.3984375,7698.830078125,7538.0,7630.0,571993
2021-10-11,NEXT,6920.42822265625,7638.0,7426.0,7514.0,454078
2021-10-12,NEXT,6826.0009765625,7608.0,7484.0,7536.0,198376
2021-10-13,NEXT,6938.58740234375,7724.0,7462.0,7514.0,281979
2021-10-14,NEXT,7089.3076171875,7808.0,7652.0,7660.0,433122
2021-10-15,NEXT,7143.78515625,7916.0,7814.0,7816.0,952337
2021-10-18,NEXT,7198.26220703125,7956.0,7800.97216796875,7868.0,224439
2021-10-19,NEXT,7325.3759765625,8082.0,7972.0,7972.0,208079
2021-10-20,NEXT,7247.29150390625,8066.0,7940.8388671875,8060.0,198528
2021-10-21,NEXT,7183.734375,7982.0,7832.0,7928.0,427377
2021-10-22,NEXT,7114.72998046875,7902.0,7774.0,7886.0,323842
2021-10-25,NEXT,7132.88916015625,7912.0,7778.0,7858.0,344194
2021-10-26,NEXT,7270.89794921875,8040.0,7824.0,7856.0,298504
2021-10-27,NEXT,7216.4208984375,8026.0,7917.47607421875,8006.0,188710
2021-10-28,NEXT,7216.4208984375,8024.0,7928.0,7932.0,118451
2021-10-29,NEXT,7232.76416015625,7966.0,7864.0,7894.0,231858
2021-11-01,NEXT,7430.69873046875,8202.0,7864.0,8044.0,280786
2021-11-02,NEXT,7546.9169921875,8326.0,8166.0,8216.0,394907
2021-11-03,NEXT,7296.3212890625,8146.0,7924.0,8146.0,494482
2021-11-04,NEXT,7343.53515625,8104.0,7966.0,8084.0,303672
2021-11-05,NEXT,7374.4052734375,8152.0,8006.0,8056.0,325682
2021-11-08,NEXT,7252.73974609375,8108.0,7988.0,8092.0,204584
2021-11-09,NEXT,7278.16259765625,8106.0,7884.337890625,7964.0,620728
2021-11-10,NEXT,7501.51904296875,8262.0,8009.7470703125,8010.0,398123
2021-11-11,NEXT,7309.03271484375,8272.0,8050.0,8220.0,677825
2021-11-12,NEXT,7399.828125,8184.0,8022.3740234375,8064.0,220857
2021-11-15,NEXT,7450.673828125,8212.0,8110.0,8120.0,209392
2021-11-16,NEXT,7412.5390625,8208.0,8117.5732421875,8192.0,275868
2021-11-17,NEXT,7396.19580078125,8178.0,8086.0,8128.0,428396
2021-11-18,NEXT,7476.09619140625,8234.0,8100.0,8132.0,223406
2021-11-19,NEXT,7512.4140625,8328.0,8200.0,8290.0,452222
2021-11-22,NEXT,7443.40966796875,8338.0,8176.0,8294.0,247292
2021-11-23,NEXT,7432.51416015625,8252.0,8058.0,8138.0,191595
2021-11-24,NEXT,7399.828125,8200.0,8084.0,8186.0,272875
2021-11-25,NEXT,7363.509765625,8178.0,8040.0,8174.0,171332
2021-11-26,NEXT,7125.62548828125,7976.0,7804.0,7912.0,218289
2021-11-29,NEXT,7229.13232421875,8024.0,7894.0,7894.0,266762
2021-11-30,NEXT,7138.33642578125,7948.0,7826.0,7852.0,567941
2021-12-01,NEXT,7281.7939453125,8036.0,7886.0,7886.0,423493
2021-12-02,NEXT,7261.81884765625,8068.0,7938.0,8014.0,231865
2021-12-03,NEXT,7256.37109375,8040.0,7944.0,8016.0,438582
2021-12-06,NEXT,7427.06689453125,8196.0,7996.0,8060.0,168183
2021-12-07,NEXT,7608.65771484375,8440.0,8242.0,8274.0,296048
2021-12-08,NEXT,7563.259765625,8426.0,8266.0,8346.0,328713
2021-12-09,NEXT,7650.42333984375,8426.0,8266.0,8386.0,428896
2021-12-10,NEXT,7490.62353515625,8390.0,8234.0,8358.0,205888
2021-12-13,NEXT,7385.30078125,8296.0,8112.0,8296.0,297934
2021-12-14,NEXT,7312.6640625,8156.0,8006.0,8100.0,731100
2021-12-15,NEXT,7023.9345703125,8098.0,7666.0,8082.0,495739
2021-12-16,NEXT,7043.90966796875,7874.0,7666.0,7868.0,687626
2021-12-17,NEXT,7056.62158203125,7928.0,7670.0,7670.0,481753
2021-12-20,NEXT,7062.06884765625,7780.0,7564.0,7596.0,305758
2021-12-21,NEXT,7152.8642578125,7946.0,7808.0,7872.0,392606
2021-12-22,NEXT,7180.10302734375,7908.0,7826.0,7906.0,520515
2021-12-23,NEXT,7178.28662109375,7958.0,7880.0,7918.0,320992
2021-12-24,NEXT,7212.78955078125,8019.0849609375,7940.0,7994.0,149490
2021-12-29,NEXT,7363.509765625,8170.0,8082.0,8094.0,192021
2021-12-30,NEXT,7368.9580078125,8116.0,8054.0,8096.0,126375
2021-12-31,NEXT,7399.828125,8155.087890625,8024.0,8024.0,50406
2022-01-04,NEXT,7318.11181640625,8406.0,8060.0,8210.0,400207
2022-01-05,NEXT,7298.1376953125,8179.10009765625,8024.0,8044.0,319593
2022-01-06,NEXT,7054.8056640625,8051.78076171875,7706.0,8000.0,575685
2022-01-07,NEXT,7071.1484375,7834.0,7648.0,7828.0,341184
2022-01-10,NEXT,6949.482421875,7810.14990234375,7619.60400390625,7780.0,460535
2022-01-11,NEXT,7263.634765625,8018.0,7756.0,7756.0,356237
