Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,OXFORD INSTRUMENTS,2365.837158203125,2520.0,2435.0,2520.0,28970
2021-07-13,OXFORD INSTRUMENTS,2351.29296875,2550.0,2350.0,2460.0,33138
2021-07-14,OXFORD INSTRUMENTS,2307.660888671875,2445.0,2355.0,2405.0,43268
2021-07-15,OXFORD INSTRUMENTS,2317.356689453125,2410.0,2355.0,2380.0,49037
2021-07-16,OXFORD INSTRUMENTS,2297.96484375,2410.0,2350.0,2350.0,29725
2021-07-19,OXFORD INSTRUMENTS,2181.612060546875,2355.0,2200.0,2310.0,36449
2021-07-20,OXFORD INSTRUMENTS,2205.852294921875,2300.0,2263.64990234375,2270.0,66005
2021-07-21,OXFORD INSTRUMENTS,2259.18017578125,2400.0,2305.0,2340.0,40682
2021-07-22,OXFORD INSTRUMENTS,2317.356689453125,2420.0,2325.0,2330.0,27310
2021-07-23,OXFORD INSTRUMENTS,2322.20458984375,2445.0,2325.0,2445.0,19134
2021-07-26,OXFORD INSTRUMENTS,2390.077392578125,2475.0,2230.0,2300.0,28654
2021-07-27,OXFORD INSTRUMENTS,2327.052734375,2460.0,2345.0,2345.0,140397
2021-07-28,OXFORD INSTRUMENTS,2360.989013671875,2505.0,2335.0,2475.0,54633
2021-07-29,OXFORD INSTRUMENTS,2414.3173828125,2550.0,2425.0,2550.0,63847
2021-07-30,OXFORD INSTRUMENTS,2336.7490234375,2470.0,2270.0,2440.0,42119
2021-08-02,OXFORD INSTRUMENTS,2438.55712890625,2541.0,2340.0,2475.0,46401
2021-08-03,OXFORD INSTRUMENTS,2399.7734375,2580.0,2380.0,2525.0,30482
2021-08-04,OXFORD INSTRUMENTS,2482.189453125,2560.0,2405.0,2410.0,37716
2021-08-05,OXFORD INSTRUMENTS,2496.73388671875,2638.39990234375,2415.0,2495.0,167612
2021-08-06,OXFORD INSTRUMENTS,2472.49365234375,2605.0,2520.0,2580.0,113808
2021-08-09,OXFORD INSTRUMENTS,2409.469482421875,2620.0,2485.0,2620.0,41780
2021-08-10,OXFORD INSTRUMENTS,2438.55712890625,2555.0,2426.25,2510.0,33720
2021-08-11,OXFORD INSTRUMENTS,2424.013427734375,2705.0,2495.0,2575.0,45649
2021-08-12,OXFORD INSTRUMENTS,2438.55712890625,2590.0,2490.0,2580.0,19161
2021-08-13,OXFORD INSTRUMENTS,2424.013427734375,2535.0,2480.0,2485.0,11585
2021-08-16,OXFORD INSTRUMENTS,2414.3173828125,2520.0,2410.0,2410.0,10639
2021-08-17,OXFORD INSTRUMENTS,2424.013427734375,2530.0,2405.0,2475.0,101140
2021-08-18,OXFORD INSTRUMENTS,2424.013427734375,2540.0,2423.75,2435.0,36482
2021-08-19,OXFORD INSTRUMENTS,2424.013427734375,2500.0,2429.988037109375,2460.0,23949
2021-08-20,OXFORD INSTRUMENTS,2438.55712890625,2555.0,2425.0,2500.0,10438
2021-08-23,OXFORD INSTRUMENTS,2467.645751953125,2620.0,2489.5,2520.0,15251
2021-08-24,OXFORD INSTRUMENTS,2477.341796875,2700.0,2415.0,2545.0,17348
2021-08-25,OXFORD INSTRUMENTS,2506.4296875,2645.0,2524.988037109375,2555.0,19459
2021-08-26,OXFORD INSTRUMENTS,2535.517822265625,2680.0,2545.0,2610.0,15323
2021-08-27,OXFORD INSTRUMENTS,2598.542236328125,2730.0,2575.0,2590.0,36362
2021-08-31,OXFORD INSTRUMENTS,2535.517822265625,2725.0,2505.0,2680.0,57887
2021-09-01,OXFORD INSTRUMENTS,2525.822021484375,2720.0,2560.0,2650.0,38466
2021-09-02,OXFORD INSTRUMENTS,2569.454345703125,2725.0,2515.0,2590.0,46778
2021-09-03,OXFORD INSTRUMENTS,2569.454345703125,2700.0,2535.0,2580.0,64344
2021-09-06,OXFORD INSTRUMENTS,2564.606201171875,2725.0,2620.0,2685.0,49427
2021-09-07,OXFORD INSTRUMENTS,2569.454345703125,2680.0,2620.0,2645.0,232106
2021-09-08,OXFORD INSTRUMENTS,2487.03759765625,2680.0,2540.0,2625.0,30034
2021-09-09,OXFORD INSTRUMENTS,2480.119140625,2630.0,2480.0,2545.0,23697
2021-09-10,OXFORD INSTRUMENTS,2504.4814453125,2590.0,2495.0,2535.0,25666
2021-09-13,OXFORD INSTRUMENTS,2446.01123046875,2600.0,2465.0,2555.0,63753
2021-09-14,OXFORD INSTRUMENTS,2446.01123046875,2565.0,2475.0,2475.0,46737
2021-09-15,OXFORD INSTRUMENTS,2392.413330078125,2570.0,2455.0,2530.0,18259
2021-09-16,OXFORD INSTRUMENTS,2377.7958984375,2555.0,2425.0,2495.0,37626
2021-09-17,OXFORD INSTRUMENTS,2387.54052734375,2535.0,2415.0,2470.0,74646
2021-09-20,OXFORD INSTRUMENTS,2304.70751953125,2450.0,2341.780029296875,2410.0,43535
2021-09-21,OXFORD INSTRUMENTS,2377.7958984375,2490.0,2408.0,2415.0,92237
