Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,PageGroup,483.57049560546875,613.0,594.0,611.5,674261
2021-07-13,PageGroup,490.8421936035156,608.5,590.0,590.0,418976
2021-07-14,PageGroup,492.86212158203125,614.5,591.5,591.5,853676
2021-07-15,PageGroup,490.8421936035156,626.0,603.0,626.0,1505186
2021-07-16,PageGroup,495.28607177734375,628.0,608.5,612.0,1308441
2021-07-19,PageGroup,485.1864013671875,610.5,596.5,608.5,974921
2021-07-20,PageGroup,485.9944152832031,607.0,598.0,607.0,1019907
2021-07-21,PageGroup,483.16650390625,607.5,597.0,600.0,623970
2021-07-22,PageGroup,487.20635986328125,604.5,590.0,590.0,1058501
2021-07-23,PageGroup,500.1338195800781,619.0,606.5,616.5,695652
2021-07-26,PageGroup,500.94189453125,623.5,615.5,616.0,587716
2021-07-27,PageGroup,500.94189453125,636.0,604.0,636.0,575524
2021-07-28,PageGroup,500.1338195800781,630.0,615.0,626.0,654439
2021-07-29,PageGroup,504.981689453125,628.0,619.0,623.0,451624
2021-07-30,PageGroup,496.9020080566406,628.0,615.0,625.0,410275
2021-08-02,PageGroup,501.3457946777344,626.5,603.5,603.5,851780
2021-08-03,PageGroup,503.769775390625,628.0,615.5,615.5,387349
2021-08-04,PageGroup,493.26611328125,628.0,610.5,622.5,832538
2021-08-05,PageGroup,500.537841796875,619.5,600.0,600.0,495053
2021-08-06,PageGroup,503.3657531738281,625.5,615.5,625.0,589870
2021-08-09,PageGroup,487.20635986328125,613.0,584.5,610.0,902220
2021-08-10,PageGroup,480.7425842285156,612.0,595.0,608.0,561786
2021-08-11,PageGroup,477.9146423339844,601.5,587.0,587.0,377460
2021-08-12,PageGroup,475.8947448730469,592.5,578.0,578.0,233771
2021-08-13,PageGroup,477.5107116699219,592.0,574.5,574.5,258068
2021-08-16,PageGroup,477.5107116699219,595.5,578.0,578.0,257719
2021-08-17,PageGroup,477.9146423339844,595.5,588.0,588.0,419031
2021-08-18,PageGroup,488.41827392578125,604.5,592.0,594.5,425666
2021-08-19,PageGroup,491.65020751953125,611.0,590.0,597.0,386577
2021-08-20,PageGroup,493.26611328125,613.5,603.0,607.0,216597
2021-08-23,PageGroup,498.1139831542969,619.5,595.0,595.0,1028005
2021-08-24,PageGroup,493.6700744628906,625.0,609.0,625.0,679661
2021-08-25,PageGroup,500.537841796875,623.0,610.0,613.5,876855
