Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Renishaw,4762.55126953125,5090.0,4958.0,5005.0,67520
2021-07-13,Renishaw,4809.75146484375,5130.0,5035.0,5065.0,62232
2021-07-14,Renishaw,4716.29443359375,5095.0,4990.0,5095.0,37224
2021-07-15,Renishaw,4638.884765625,4994.0,4900.0,4912.0,58821
2021-07-16,Renishaw,4631.33349609375,4992.0,4868.0,4916.0,58355
2021-07-19,Renishaw,4506.72314453125,4892.0,4757.84423828125,4892.0,73848
2021-07-20,Renishaw,4527.49169921875,4849.27099609375,4700.0,4700.0,71178
2021-07-21,Renishaw,4672.8701171875,4972.0,4814.0,4904.0,124096
2021-07-22,Renishaw,4743.67041015625,5060.0,4956.0,4970.0,37823
2021-07-23,Renishaw,4682.3095703125,5160.0,4958.0,5160.0,47160
2021-07-26,Renishaw,4674.75830078125,4996.0,4886.14501953125,4996.0,41579
2021-07-27,Renishaw,4669.09326171875,5040.0,4862.0,4992.0,95676
2021-07-28,Renishaw,4828.6318359375,5200.0,5040.0,5150.0,424609
2021-07-29,Renishaw,4790.87158203125,5170.0,5070.0,5160.0,110685
2021-07-30,Renishaw,4823.912109375,5110.0,5000.0,5085.0,101515
2021-08-02,Renishaw,4885.2724609375,5175.0,5085.0,5145.0,68062
2021-08-03,Renishaw,4937.193359375,5265.0,5115.0,5265.0,47728
2021-08-04,Renishaw,4979.6748046875,5300.0,5180.0,5300.0,73659
2021-08-05,Renishaw,5003.2744140625,5345.0,5219.60009765625,5230.0,58026
2021-08-06,Renishaw,4880.55322265625,5315.0,5170.0,5285.0,33762
2021-08-09,Renishaw,4856.953125,5180.0,5110.0,5160.0,35418
2021-08-10,Renishaw,4823.912109375,5200.0,5110.0,5170.0,29294
2021-08-11,Renishaw,4842.7919921875,5185.0,5095.0,5130.0,38765
2021-08-12,Renishaw,4937.193359375,5235.0,5010.0,5010.0,160302
2021-08-13,Renishaw,4970.234375,5300.0,5220.0,5220.0,81383
2021-08-16,Renishaw,4932.4736328125,5265.0,5195.0,5240.0,42363
2021-08-17,Renishaw,4956.07470703125,5290.0,5185.0,5210.0,52577
2021-08-18,Renishaw,4819.19189453125,5390.0,5105.0,5390.0,44792
2021-08-19,Renishaw,4941.91357421875,5235.0,5025.0,5085.0,72753
2021-08-20,Renishaw,4875.83251953125,5265.0,5130.0,5220.0,33208
2021-08-23,Renishaw,4866.392578125,5240.0,5155.0,5210.0,30306
2021-08-24,Renishaw,4960.7939453125,5260.0,5040.0,5105.0,48328
2021-08-25,Renishaw,4889.99267578125,5290.0,5175.0,5240.0,19705
2021-08-26,Renishaw,4894.71337890625,5210.0,5130.0,5140.0,34881
2021-08-27,Renishaw,4998.55517578125,5310.0,5160.0,5240.0,36858
2021-08-31,Renishaw,5097.6767578125,5425.0,5280.0,5295.0,75559
2021-09-01,Renishaw,5159.03759765625,5495.0,5305.0,5400.0,84325
2021-09-02,Renishaw,5253.43798828125,5595.0,5445.0,5595.0,63299
2021-09-03,Renishaw,5168.4775390625,5600.0,5460.0,5535.0,60361
2021-09-06,Renishaw,5107.1171875,5555.0,5353.7900390625,5515.0,19662
2021-09-07,Renishaw,5116.55615234375,5485.0,5385.0,5420.0,33869
2021-09-08,Renishaw,5036.3154296875,5445.10009765625,5320.0,5370.0,37303
2021-09-09,Renishaw,5064.63623046875,5405.0,5242.8779296875,5285.0,41958
2021-09-10,Renishaw,5173.197265625,5480.0,5355.0,5375.0,45777
2021-09-13,Renishaw,5111.8359375,5560.0,5410.0,5465.0,64140
2021-09-14,Renishaw,5092.9560546875,5525.0,5375.0,5425.0,28881
2021-09-15,Renishaw,5092.9560546875,5520.0,5375.0,5410.0,62530
2021-09-16,Renishaw,5192.0771484375,5500.0,5390.0,5390.0,89634
2021-09-17,Renishaw,5130.71728515625,5550.0,5410.0,5520.0,144444
2021-09-20,Renishaw,5017.43505859375,5415.0,5245.0,5375.0,83986
2021-09-21,Renishaw,5135.43603515625,5450.0,5305.0,5360.0,49687
2021-09-22,Renishaw,5173.197265625,5510.0,5355.0,5355.0,161722
2021-09-23,Renishaw,5125.99658203125,5525.0,5395.0,5525.0,38249
2021-09-24,Renishaw,4989.115234375,5460.0,5285.0,5415.0,22873
2021-09-27,Renishaw,4693.638671875,5375.0,4972.0,5335.0,80571
2021-09-28,Renishaw,4580.35595703125,4974.0,4760.0,4920.0,89401
2021-09-29,Renishaw,4550.1474609375,4942.0,4794.0,4904.0,48764
2021-09-30,Renishaw,4482.17919921875,4908.0,4708.0,4908.0,69556
2021-10-01,Renishaw,4382.11376953125,4746.0,4612.0,4692.0,59401
2021-10-04,Renishaw,4193.310546875,4650.0,4424.0,4622.0,78949
