Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,SAFESTORE,951.25830078125,1048.0,1028.0,1030.0,573976
2021-07-13,SAFESTORE,943.065673828125,1053.0,1036.0,1046.0,234728
2021-07-14,SAFESTORE,934.8729248046875,1040.0,1018.0,1037.0,220596
2021-07-15,SAFESTORE,938.51416015625,1038.0,996.5,996.5,456869
2021-07-16,SAFESTORE,935.783203125,1036.0,1018.0,1031.0,209556
2021-07-19,SAFESTORE,917.5773315429688,1020.0,1003.0,1015.0,379883
2021-07-20,SAFESTORE,918.4876708984375,1017.0,1005.0,1011.0,302138
2021-07-21,SAFESTORE,927.5906372070312,1023.0,1008.0,1010.0,206781
2021-07-22,SAFESTORE,933.962646484375,1029.0,1017.0,1026.0,124387
2021-07-23,SAFESTORE,943.9758911132812,1047.0,1020.0,1037.0,203258
2021-07-26,SAFESTORE,937.6038818359375,1046.0,1027.012939453125,1032.0,215656
2021-07-27,SAFESTORE,938.51416015625,1040.0,1010.0,1024.0,247017
2021-07-28,SAFESTORE,947.6170654296875,1044.0,1032.0,1036.0,296420
2021-07-29,SAFESTORE,947.6170654296875,1047.0,1026.0,1044.0,336875
2021-07-30,SAFESTORE,961.271484375,1059.0,1029.0,1057.0,338216
2021-08-02,SAFESTORE,953.078857421875,1072.0,1035.0,1035.0,279365
2021-08-03,SAFESTORE,958.5407104492188,1062.0,1043.0,1046.0,179624
2021-08-04,SAFESTORE,968.5538940429688,1073.0,1052.0,1058.0,325998
2021-08-05,SAFESTORE,978.5670776367188,1082.0,1054.97998046875,1057.0,158166
2021-08-06,SAFESTORE,982.2083129882812,1105.0,1068.0,1105.0,188530
2021-08-09,SAFESTORE,984.939208984375,1086.0,1075.0,1083.0,191541
2021-08-10,SAFESTORE,978.5670776367188,1082.0,1068.0,1082.0,210493
2021-08-11,SAFESTORE,989.4907836914062,1091.0,1063.0,1067.0,453555
2021-08-12,SAFESTORE,1000.4142456054688,1101.0,1078.0,1078.0,259036
2021-08-13,SAFESTORE,1019.5303955078125,1128.0,1097.0,1109.0,389084
2021-08-16,SAFESTORE,1014.0686645507812,1139.35400390625,1113.6669921875,1118.0,558334
2021-08-17,SAFESTORE,1010.4273681640625,1131.0,1099.0,1113.0,334800
2021-08-18,SAFESTORE,1029.5438232421875,1132.0,1108.0,1130.0,323124
2021-08-19,SAFESTORE,1019.5303955078125,1131.0,1106.0,1110.0,317550
2021-08-20,SAFESTORE,1036.8260498046875,1143.0,1118.0,1126.0,399944
2021-08-23,SAFESTORE,1035.0054931640625,1147.0,1114.0,1114.0,141123
2021-08-24,SAFESTORE,1037.7364501953125,1140.0,1133.0,1140.0,137174
