Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,SMITH & NEPHEW,1431.0966796875,1571.0,1554.0,1561.5,1934264
2021-07-13,SMITH & NEPHEW,1436.138916015625,1576.5,1558.5,1564.5,1780039
2021-07-14,SMITH & NEPHEW,1415.511474609375,1562.39501953125,1539.0,1560.0,1275797
2021-07-15,SMITH & NEPHEW,1386.1744384765625,1541.5,1508.5,1531.0,1581091
2021-07-16,SMITH & NEPHEW,1379.7568359375,1523.5,1499.5,1519.0,2231318
2021-07-19,SMITH & NEPHEW,1349.044677734375,1500.0,1451.5,1495.0,1580188
2021-07-20,SMITH & NEPHEW,1366.921875,1497.0,1462.5,1481.5,3052575
2021-07-21,SMITH & NEPHEW,1415.9698486328125,1551.5,1501.5,1501.5,3238533
2021-07-22,SMITH & NEPHEW,1418.72021484375,1559.5,1541.3179931640625,1550.5,1247561
2021-07-23,SMITH & NEPHEW,1425.1376953125,1561.0,1538.5,1559.0,1444625
2021-07-26,SMITH & NEPHEW,1392.591796875,1551.5,1517.5,1548.0,1015986
2021-07-27,SMITH & NEPHEW,1394.8836669921875,1526.5,1498.5,1510.0,1574517
2021-07-28,SMITH & NEPHEW,1433.3885498046875,1565.0,1522.0,1525.5,2102268
2021-07-29,SMITH & NEPHEW,1342.6273193359375,1539.0,1423.5,1539.0,8159593
2021-07-30,SMITH & NEPHEW,1340.335205078125,1485.5,1449.0,1453.0,4398939
2021-08-02,SMITH & NEPHEW,1319.249267578125,1480.5,1419.5,1475.0,2980022
2021-08-03,SMITH & NEPHEW,1292.2042236328125,1438.0,1408.0,1435.5,3206781
2021-08-04,SMITH & NEPHEW,1283.036376953125,1422.0,1399.5,1418.5,3701426
2021-08-05,SMITH & NEPHEW,1274.3270263671875,1412.5,1385.0,1395.5,4722383
2021-08-06,SMITH & NEPHEW,1261.491943359375,1392.5,1369.5,1390.5,2552519
2021-08-09,SMITH & NEPHEW,1268.3677978515625,1391.9849853515625,1363.0,1375.0,1580760
2021-08-10,SMITH & NEPHEW,1258.283203125,1401.3399658203125,1371.5,1382.0,3959397
2021-08-11,SMITH & NEPHEW,1265.1590576171875,1397.5,1376.5,1377.5,2317506
2021-08-12,SMITH & NEPHEW,1271.1181640625,1392.8310546875,1373.16796875,1378.0,1938977
2021-08-13,SMITH & NEPHEW,1269.2847900390625,1395.5,1374.5,1389.5,2185559
2021-08-16,SMITH & NEPHEW,1263.783935546875,1380.5,1368.5,1375.0,1356040
2021-08-17,SMITH & NEPHEW,1272.9517822265625,1388.5,1365.5,1379.5,2198637
2021-08-18,SMITH & NEPHEW,1279.3692626953125,1406.5,1381.5,1395.5,1493742
2021-08-19,SMITH & NEPHEW,1292.2042236328125,1411.5,1375.280029296875,1381.5,2187255
2021-08-20,SMITH & NEPHEW,1306.4144287109375,1425.0,1398.5,1413.5,3113317
2021-08-23,SMITH & NEPHEW,1289.9122314453125,1440.8929443359375,1402.0,1437.0,1893084
2021-08-24,SMITH & NEPHEW,1289.9122314453125,1408.5,1375.0,1407.5,3501749
2021-08-25,SMITH & NEPHEW,1295.871337890625,1425.0,1409.0,1414.0,2152109
2021-08-26,SMITH & NEPHEW,1294.0377197265625,1416.0,1402.114990234375,1410.0,1122519
2021-08-27,SMITH & NEPHEW,1284.41162109375,1411.0,1391.5,1411.0,1301759
2021-08-31,SMITH & NEPHEW,1278.910888671875,1410.5,1387.5,1400.0,2946107
2021-09-01,SMITH & NEPHEW,1295.871337890625,1429.5,1405.0,1405.0,1499929
2021-09-02,SMITH & NEPHEW,1291.7459716796875,1420.5,1401.5,1412.5,1785621
2021-09-03,SMITH & NEPHEW,1283.036376953125,1414.5,1394.0,1413.0,989542
2021-09-06,SMITH & NEPHEW,1279.3692626953125,1407.4530029296875,1389.2230224609375,1407.0,1846088
2021-09-07,SMITH & NEPHEW,1268.3677978515625,1395.7969970703125,1383.5,1393.5,1471253
2021-09-08,SMITH & NEPHEW,1255.5330810546875,1391.0,1365.0,1377.5,2188120
2021-09-09,SMITH & NEPHEW,1247.2818603515625,1365.5,1347.0,1360.0,3128151
2021-09-10,SMITH & NEPHEW,1231.696533203125,1360.5,1342.5,1350.0,1540878
2021-09-13,SMITH & NEPHEW,1227.8480224609375,1350.0,1339.302001953125,1345.0,108107
2021-09-14,SMITH & NEPHEW,1223.9039306640625,1340.5,1310.5,1336.0,2143599
2021-09-15,SMITH & NEPHEW,1211.069091796875,1338.0,1294.0,1335.0,3267115
2021-09-16,SMITH & NEPHEW,1238.5723876953125,1355.3349609375,1323.5,1325.0,3194294
