Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,SPIRAX-SARCO ENGIN.,13498.603515625,14195.0,13885.0,13885.0,59130
2021-07-13,SPIRAX-SARCO ENGIN.,13661.2373046875,14295.0,14095.0,14095.0,109807
2021-07-14,SPIRAX-SARCO ENGIN.,13637.3212890625,14330.4384765625,14130.0,14280.0,96776
2021-07-15,SPIRAX-SARCO ENGIN.,13814.3046875,14460.0,14255.0,14255.0,116428
2021-07-16,SPIRAX-SARCO ENGIN.,13556.0029296875,14600.0,14070.0,14530.0,183404
2021-07-19,SPIRAX-SARCO ENGIN.,13517.7373046875,14135.0,13950.0,14100.0,107050
2021-07-20,SPIRAX-SARCO ENGIN.,13599.0556640625,14290.0,14065.0,14200.0,156116
2021-07-21,SPIRAX-SARCO ENGIN.,13666.021484375,14355.0,14190.0,14300.0,75748
2021-07-22,SPIRAX-SARCO ENGIN.,13905.1875,14560.0,14305.0,14330.0,55589
2021-07-23,SPIRAX-SARCO ENGIN.,14015.20703125,14670.0,14522.400390625,14620.0,105626
2021-07-26,SPIRAX-SARCO ENGIN.,13986.505859375,14764.1884765625,14575.0,14625.0,181278
2021-07-27,SPIRAX-SARCO ENGIN.,14072.60546875,14820.0,14520.0,14555.0,80850
2021-07-28,SPIRAX-SARCO ENGIN.,14369.1728515625,15095.0,14690.0,14735.0,129126
2021-07-29,SPIRAX-SARCO ENGIN.,14311.7724609375,15110.0,14810.0,15040.0,89764
2021-07-30,SPIRAX-SARCO ENGIN.,14359.60546875,15015.0,14810.0,14845.0,89459
2021-08-02,SPIRAX-SARCO ENGIN.,14536.5908203125,15225.0,14980.0,15100.0,65416
2021-08-03,SPIRAX-SARCO ENGIN.,14574.8583984375,15270.0,15050.0,15200.0,43648
2021-08-04,SPIRAX-SARCO ENGIN.,14665.740234375,15525.0,15235.0,15280.0,139908
2021-08-05,SPIRAX-SARCO ENGIN.,14742.2744140625,15555.0,15330.0,15330.0,96238
2021-08-06,SPIRAX-SARCO ENGIN.,14460.0576171875,15420.0,15115.0,15380.0,151888
2021-08-09,SPIRAX-SARCO ENGIN.,14421.7900390625,15245.0,14960.0,15120.0,134648
2021-08-10,SPIRAX-SARCO ENGIN.,14469.6240234375,15260.0,15035.0,15055.0,130905
2021-08-11,SPIRAX-SARCO ENGIN.,15081.8916015625,16203.7998046875,15185.0,15500.0,124740
2021-08-12,SPIRAX-SARCO ENGIN.,14991.0078125,15845.0,15485.0,15785.0,102033
