Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Smiths Group,1496.2276611328125,1633.5,1609.0,1625.0,1505683
2021-07-13,Smiths Group,1503.616455078125,1636.0,1620.0,1627.5,436131
2021-07-14,Smiths Group,1485.606201171875,1623.0,1600.0,1623.0,460953
2021-07-15,Smiths Group,1456.974853515625,1617.5,1574.5,1602.0,498600
2021-07-16,Smiths Group,1436.19384765625,1595.5,1552.0,1589.0,758124
2021-07-19,Smiths Group,1376.6217041015625,1543.0,1479.0,1536.5,1041870
2021-07-20,Smiths Group,1392.784912109375,1515.5,1484.0,1500.5,782835
2021-07-21,Smiths Group,1430.65234375,1561.0,1516.5,1518.5,660899
2021-07-22,Smiths Group,1447.2769775390625,1580.0,1554.0,1554.0,534561
2021-07-23,Smiths Group,1469.443359375,1593.5,1576.5,1580.0,335165
2021-07-26,Smiths Group,1469.9052734375,1601.5,1580.5,1588.5,290358
2021-07-27,Smiths Group,1467.595947265625,1599.5,1576.5,1580.5,330358
2021-07-28,Smiths Group,1466.210693359375,1598.5,1584.0,1586.0,453805
2021-07-29,Smiths Group,1456.974853515625,1604.0,1576.0,1598.0,661410
2021-07-30,Smiths Group,1436.6556396484375,1575.5,1554.0,1562.5,1637551
2021-08-02,Smiths Group,1451.8948974609375,1575.5,1557.5,1568.5,1144190
2021-08-03,Smiths Group,1306.4283447265625,1568.5,1414.5,1560.0,2692112
2021-08-04,Smiths Group,1310.584716796875,1431.5,1407.0,1416.5,1367360
2021-08-05,Smiths Group,1343.3724365234375,1459.0,1406.0,1406.0,1366074
2021-08-06,Smiths Group,1354.9173583984375,1467.0,1440.5,1458.0,950024
2021-08-09,Smiths Group,1326.2857666015625,1468.5,1431.5,1468.0,2654530
2021-08-10,Smiths Group,1333.674560546875,1459.5,1428.0,1437.0,961847
2021-08-11,Smiths Group,1334.5980224609375,1468.0,1429.5,1454.5,616284
2021-08-12,Smiths Group,1364.6151123046875,1481.0,1443.0,1444.0,991830
2021-08-13,Smiths Group,1359.073486328125,1501.969970703125,1450.0,1475.5,673657
2021-08-16,Smiths Group,1348.913818359375,1487.5,1452.5,1487.5,427203
2021-08-17,Smiths Group,1332.7509765625,1457.0,1435.5,1453.0,693914
2021-08-18,Smiths Group,1340.6015625,1451.5,1430.5,1440.0,758071
2021-08-19,Smiths Group,1309.1993408203125,1438.5,1413.5,1432.5,590525
2021-08-20,Smiths Group,1312.4317626953125,1430.0,1411.5,1421.0,629866
2021-08-23,Smiths Group,1315.2027587890625,1434.5,1416.68994140625,1433.5,456801
2021-08-24,Smiths Group,1311.04638671875,1429.0,1404.5,1420.0,1065729
2021-08-25,Smiths Group,1322.59130859375,1434.5,1415.5,1419.5,692429
2021-08-26,Smiths Group,1312.4317626953125,1423.4520263671875,1404.5,1421.5,594551
2021-08-27,Smiths Group,1315.6644287109375,1437.5,1412.0,1435.0,555771
2021-08-31,Smiths Group,1332.2891845703125,1464.5,1435.5,1456.0,1325630
2021-09-01,Smiths Group,1339.2161865234375,1475.0,1447.0,1461.5,786675
2021-09-02,Smiths Group,1336.4453125,1454.5,1437.5,1445.5,831055
2021-09-03,Smiths Group,1329.980224609375,1455.5,1436.5,1448.0,1016008
2021-09-06,Smiths Group,1343.833984375,1459.5,1439.0,1445.0,415051
2021-09-07,Smiths Group,1313.8172607421875,1456.5,1416.0,1453.5,612907
2021-09-08,Smiths Group,1347.5284423828125,1544.5999755859375,1428.0,1429.5,1467834
2021-09-09,Smiths Group,1326.2857666015625,1445.0,1428.0,1439.5,564864
