Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,St. James's Place,1353.4195556640625,1533.0,1514.5,1517.0,604322
2021-07-13,St. James's Place,1367.60546875,1542.5,1525.5,1525.5,473866
2021-07-14,St. James's Place,1357.409423828125,1536.5,1522.75,1536.0,796840
2021-07-15,St. James's Place,1360.5123291015625,1545.5,1525.0,1526.5,648795
2021-07-16,St. James's Place,1367.162109375,1554.0,1530.4139404296875,1534.5,1290330
2021-07-19,St. James's Place,1299.3360595703125,1533.0,1457.5,1532.0,1501608
2021-07-20,St. James's Place,1316.181640625,1488.0050048828125,1460.0,1474.0,1502418
2021-07-21,St. James's Place,1346.7698974609375,1527.5,1484.5,1492.5,1099777
2021-07-22,St. James's Place,1338.3470458984375,1539.0,1501.0,1525.5,1320174
2021-07-23,St. James's Place,1352.976318359375,1533.5,1513.0,1517.5,815585
2021-07-26,St. James's Place,1352.976318359375,1530.5,1505.0,1519.5,657317
2021-07-27,St. James's Place,1337.01708984375,1523.0,1497.0,1515.0,820026
2021-07-28,St. James's Place,1411.9361572265625,1629.5,1525.5,1526.0,2675252
2021-07-29,St. James's Place,1428.3385009765625,1614.5,1590.0,1600.5,1592603
2021-07-30,St. James's Place,1407.0599365234375,1597.0,1564.5,1595.5,1198527
2021-08-02,St. James's Place,1438.091552734375,1626.5,1594.5,1601.5,941137
2021-08-03,St. James's Place,1413.26611328125,1628.0,1587.0,1624.5,1015992
2021-08-04,St. James's Place,1434.544921875,1627.0,1592.5,1603.5,1016034
2021-08-05,St. James's Place,1439.42138671875,1628.0,1610.0,1610.0,1878592
2021-08-06,St. James's Place,1440.751220703125,1633.0,1619.0,1623.5,756330
2021-08-09,St. James's Place,1438.5347900390625,1631.5,1607.0,1626.0,795484
2021-08-10,St. James's Place,1447.84423828125,1637.0,1620.5,1624.5,936958
2021-08-11,St. James's Place,1459.8134765625,1659.5,1630.0,1636.0,706520
2021-08-12,St. James's Place,1454.93701171875,1653.0,1636.0,1644.0,676176
2021-08-13,St. James's Place,1458.9268798828125,1652.0,1639.5,1641.5,615949
2021-08-16,St. James's Place,1452.2772216796875,1640.0,1622.5,1639.5,585726
2021-08-17,St. James's Place,1442.5244140625,1635.0,1612.0,1631.5,810137
2021-08-18,St. James's Place,1437.2047119140625,1633.0,1610.0,1631.0,672142
2021-08-19,St. James's Place,1410.606201171875,1609.0,1580.0,1602.5,670945
2021-08-20,St. James's Place,1415.4827880859375,1605.9549560546875,1573.5,1596.0,1274217
2021-08-23,St. James's Place,1411.492919921875,1609.5,1578.0,1608.5,1042193
2021-08-24,St. James's Place,1415.039306640625,1598.5,1578.5,1596.5,602427
2021-08-25,St. James's Place,1429.6685791015625,1612.5,1595.0,1599.5,455312
2021-08-26,St. James's Place,1418.1041259765625,1604.5,1583.5,1598.0,370216
2021-08-27,St. James's Place,1431.94580078125,1608.0,1587.0,1597.0,529900
2021-08-31,St. James's Place,1437.750244140625,1618.0,1592.5,1608.0,1144891
2021-09-01,St. James's Place,1461.86181640625,1639.5,1614.9949951171875,1621.5,859455
2021-09-02,St. James's Place,1481.95458984375,1659.5,1626.5,1631.5,1401768
2021-09-03,St. James's Place,1491.3310546875,1679.0,1655.5,1662.0,1276760
2021-09-06,St. James's Place,1510.977294921875,1697.0,1672.0,1676.0,783260
2021-09-07,St. James's Place,1485.0799560546875,1691.0,1660.0,1690.5,895532
2021-09-08,St. James's Place,1467.6663818359375,1668.0,1643.5,1661.0,796288
2021-09-09,St. James's Place,1463.2012939453125,1639.0,1621.5,1634.0,961464
