Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Telecom Plus,1027.0909423828125,1169.552978515625,1126.0,1166.0,80277
2021-07-13,Telecom Plus,1037.9981689453125,1142.0,1124.0,1130.0,391535
2021-07-14,Telecom Plus,1007.0946655273438,1156.89794921875,1108.0,1128.0,90558
2021-07-15,Telecom Plus,974.3729858398438,1140.0,1068.0,1118.0,57862
2021-07-16,Telecom Plus,978.0087280273438,1112.0,1058.0,1090.0,71987
2021-07-19,Telecom Plus,950.7409057617188,1088.0,1028.0,1070.0,326318
2021-07-20,Telecom Plus,945.287353515625,1077.5579833984375,1040.0,1074.0,134912
2021-07-21,Telecom Plus,954.3766479492188,1076.0,1020.0,1020.0,78776
2021-07-22,Telecom Plus,936.197998046875,1070.0,1028.0,1050.0,88579
2021-07-23,Telecom Plus,936.197998046875,1128.0,1008.0,1040.0,59420
2021-07-26,Telecom Plus,950.7409057617188,1080.0,1020.0,1026.0,275558
2021-07-27,Telecom Plus,954.3766479492188,1050.0,1030.760009765625,1034.0,42923
2021-07-28,Telecom Plus,952.5587158203125,1050.0,1034.0,1046.0,26089
2021-07-29,Telecom Plus,941.651611328125,1082.0,1028.0,1058.0,41847
2021-07-30,Telecom Plus,932.5623168945312,1068.0,1016.0,1050.0,72423
2021-08-02,Telecom Plus,934.380126953125,1050.0,1014.9500122070312,1034.0,73994
2021-08-03,Telecom Plus,927.1087036132812,1040.0,1016.0,1032.0,54132
2021-08-04,Telecom Plus,923.4729614257812,1040.0,1004.0,1026.0,143948
2021-08-05,Telecom Plus,936.197998046875,1034.0,1018.0,1020.0,119141
2021-08-06,Telecom Plus,943.4693603515625,1048.0,1012.0,1016.0,130953
2021-08-09,Telecom Plus,936.197998046875,1058.0,1018.0,1018.0,203968
2021-08-10,Telecom Plus,954.3766479492188,1056.0,1032.0,1032.0,272431
2021-08-11,Telecom Plus,954.3766479492188,1072.0,1038.0,1054.0,78001
2021-08-12,Telecom Plus,954.3766479492188,1058.0,1043.0,1056.0,60068
2021-08-13,Telecom Plus,941.651611328125,1054.0,1036.0,1054.0,67423
2021-08-16,Telecom Plus,941.651611328125,1042.0,1022.5650024414062,1024.0,278171
2021-08-17,Telecom Plus,945.287353515625,1066.0,1024.25,1066.0,73745
2021-08-18,Telecom Plus,945.287353515625,1066.0,1032.0,1066.0,379122
2021-08-19,Telecom Plus,945.287353515625,1058.0,1022.0800170898438,1028.0,80757
2021-08-20,Telecom Plus,945.287353515625,1062.0,1032.1009521484375,1062.0,101209
2021-08-23,Telecom Plus,930.7444458007812,1057.050048828125,1022.0,1052.0,59341
2021-08-24,Telecom Plus,941.651611328125,1042.0,1024.0,1032.0,165956
2021-08-25,Telecom Plus,941.651611328125,1050.0,1026.0,1042.0,38110
2021-08-26,Telecom Plus,934.380126953125,1052.4649658203125,1018.0,1042.0,145520
2021-08-27,Telecom Plus,936.197998046875,1056.0,1020.0,1044.0,119842
2021-08-31,Telecom Plus,936.197998046875,1050.0,1012.0,1028.0,149517
2021-09-01,Telecom Plus,948.9230346679688,1056.0,1032.0,1042.0,79380
2021-09-02,Telecom Plus,945.287353515625,1050.0,1026.0,1042.0,109740
2021-09-03,Telecom Plus,954.3766479492188,1054.1820068359375,1036.0,1052.0,59353
2021-09-06,Telecom Plus,947.1051025390625,1064.0,1036.0,1050.0,155064
2021-09-07,Telecom Plus,948.9230346679688,1050.0,1032.0,1050.0,32366
2021-09-08,Telecom Plus,936.197998046875,1044.0,1028.0,1034.0,70781
2021-09-09,Telecom Plus,928.9265747070312,1060.0,1014.0,1038.0,109109
2021-09-10,Telecom Plus,923.4729614257812,1024.0,1012.0,1020.0,56595
2021-09-13,Telecom Plus,934.380126953125,1028.0,1015.0910034179688,1015.9000244140625,44265
2021-09-14,Telecom Plus,930.7444458007812,1040.0,1014.0,1032.0,167288
2021-09-15,Telecom Plus,919.8372802734375,1032.0,1012.0,1026.0,51062
2021-09-16,Telecom Plus,923.4729614257812,1020.0,997.0,1012.0,105317
