Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Unite Group,1063.1842041015625,1168.0,1143.5,1152.5,423992
2021-07-13,Unite Group,1034.8934326171875,1175.0,1130.0,1175.0,348009
2021-07-14,Unite Group,1013.9035034179688,1131.5,1100.7159423828125,1127.0,496069
2021-07-15,Unite Group,1011.165771484375,1111.0,1086.0,1086.0,417878
2021-07-16,Unite Group,1031.242919921875,1134.0,1112.0,1120.0,582055
2021-07-19,Unite Group,1002.9521484375,1147.0,1099.0,1147.0,629640
2021-07-20,Unite Group,1015.2725219726562,1123.0,1104.0,1123.0,725016
2021-07-21,Unite Group,1028.0489501953125,1132.0,1117.0,1117.5,621265
2021-07-22,Unite Group,1033.9808349609375,1152.0,1127.0,1134.0,597356
2021-07-23,Unite Group,1049.0386962890625,1152.5,1122.5,1122.5,373239
2021-07-26,Unite Group,1041.73779296875,1151.5,1135.5,1151.5,516113
2021-07-27,Unite Group,1044.475830078125,1164.0,1130.510009765625,1161.0,603603
2021-07-28,Unite Group,1061.3590087890625,1167.0,1139.5,1143.0,444970
2021-07-29,Unite Group,1052.6890869140625,1168.5,1141.5,1152.5,444320
2021-07-30,Unite Group,1056.339599609375,1166.5,1141.5,1151.0,908220
2021-08-02,Unite Group,1080.97998046875,1190.0,1172.5,1185.5,580256
2021-08-03,Unite Group,1070.4849853515625,1186.5,1169.0,1178.5,370047
2021-08-04,Unite Group,1083.261474609375,1189.0,1172.0,1176.0,349323
2021-08-05,Unite Group,1115.20263671875,1233.0,1184.5,1190.0,939334
2021-08-06,Unite Group,1123.416015625,1236.5,1212.5,1222.0,593511
2021-08-09,Unite Group,1097.406982421875,1231.0,1202.5,1227.5,406765
2021-08-10,Unite Group,1091.0185546875,1210.0,1178.5,1178.5,495962
2021-08-11,Unite Group,1102.8824462890625,1209.0,1193.0,1199.5,312761
2021-08-12,Unite Group,1104.2513427734375,1214.5,1204.5,1207.5,308048
2021-08-13,Unite Group,1122.959716796875,1244.0,1210.0,1217.5,400828
2021-08-16,Unite Group,1128.8916015625,1244.0,1221.5,1223.5,356191
2021-08-17,Unite Group,1118.8531494140625,1239.0,1223.0,1234.5,602565
2021-08-18,Unite Group,1127.9791259765625,1249.5,1226.5,1227.0,353065
2021-08-19,Unite Group,1111.5521240234375,1235.0,1215.0,1224.5,361130
2021-08-20,Unite Group,1117.484130859375,1232.0,1215.5,1226.0,261615
2021-08-23,Unite Group,1099.688232421875,1250.0,1203.5,1250.0,337219
2021-08-24,Unite Group,1092.8438720703125,1234.0,1188.5,1234.0,306296
2021-08-25,Unite Group,1085.54296875,1207.510009765625,1189.5,1203.5,486043
2021-08-26,Unite Group,1088.2808837890625,1203.0,1181.0,1203.0,382291
2021-08-27,Unite Group,1113.3773193359375,1220.0,1189.0,1213.0,383413
2021-08-31,Unite Group,1115.658935546875,1245.0,1211.5,1245.0,647284
2021-09-01,Unite Group,1123.872314453125,1238.5,1206.0,1209.5,495426
2021-09-02,Unite Group,1123.872314453125,1242.0,1216.5,1216.5,563259
2021-09-03,Unite Group,1125.2412109375,1246.0,1216.0,1216.0,1120792
2021-09-06,Unite Group,1115.658935546875,1236.0,1216.0,1231.5,373561
2021-09-07,Unite Group,1103.794921875,1250.0,1207.5,1250.0,302601
2021-09-08,Unite Group,1080.5235595703125,1212.5,1179.5,1212.5,653683
2021-09-09,Unite Group,1076.8731689453125,1188.5,1170.5,1178.0,812388
2021-09-10,Unite Group,1066.8345947265625,1187.0,1167.5,1185.5,244942
2021-09-13,Unite Group,1076.4168701171875,1183.0,1171.0,1175.0,502279
2021-09-14,Unite Group,1065.922119140625,1185.5,1168.0,1180.0,838437
2021-09-15,Unite Group,1056.339599609375,1171.0,1151.5,1166.5,386309
2021-09-16,Unite Group,1071.9415283203125,1168.0,1153.0,1158.5,506231
2021-09-17,Unite Group,1067.3526611328125,1181.0,1159.5,1175.0,1303524
2021-09-20,Unite Group,1045.7852783203125,1164.5,1137.0,1164.5,797273
2021-09-21,Unite Group,1073.7769775390625,1174.0,1148.5,1158.0,375940
2021-09-22,Unite Group,1073.318115234375,1183.0,1143.0,1143.0,469494
2021-09-23,Unite Group,1069.188232421875,1184.0,1164.5,1179.5,662281
2021-09-24,Unite Group,1054.9627685546875,1163.0,1140.5,1140.5,518629
2021-09-27,Unite Group,1048.9976806640625,1159.0,1143.0,1149.5,505821
2021-09-28,Unite Group,1014.5816040039062,1173.5,1100.5,1173.5,790934
2021-09-29,Unite Group,1003.1096801757812,1123.0,1085.5,1105.0,672086
2021-09-30,Unite Group,998.5208129882812,1111.0,1088.0,1101.0,1164222
2021-10-01,Unite Group,1011.3694458007812,1107.0,1073.0,1080.5,529807
2021-10-04,Unite Group,1009.5339965820312,1111.5,1092.0,1097.0,580264
2021-10-05,Unite Group,1003.5685424804688,1107.5,1093.0,1106.5,505698
2021-10-06,Unite Group,996.6851806640625,1089.0,1058.5780029296875,1074.5,558004
2021-10-07,Unite Group,1012.7460327148438,1105.5,1082.0,1100.5,677735
2021-10-08,Unite Group,966.3993530273438,1097.0,1038.68994140625,1097.0,1224171
2021-10-11,Unite Group,965.4815063476562,1055.5,1021.5,1055.5,785773
2021-10-12,Unite Group,970.5293579101562,1057.5,1020.0,1020.0,582695
2021-10-13,Unite Group,977.8713989257812,1075.5,1039.0,1039.0,793595
2021-10-14,Unite Group,975.576904296875,1073.0,1054.0,1054.0,780863
2021-10-15,Unite Group,976.9534912109375,1070.5,1056.5,1065.5,1181816
2021-10-18,Unite Group,981.5422973632812,1070.5,1055.0,1063.0,718883
2021-10-19,Unite Group,996.6851806640625,1086.5,1047.0,1047.0,581675
2021-10-20,Unite Group,1001.733154296875,1105.0,1073.5,1084.5,1413233
2021-10-21,Unite Group,1004.0274047851562,1109.5,1080.5,1081.0,920584
2021-10-22,Unite Group,1010.9105834960938,1109.5,1081.5,1092.0,930439
2021-10-25,Unite Group,994.3909912109375,1102.5,1076.0,1076.0,450469
2021-10-26,Unite Group,1000.3563842773438,1098.5,1072.0,1072.0,505340
2021-10-27,Unite Group,1018.7114868164062,1119.5,1100.5,1112.5,412769
2021-10-28,Unite Group,1013.205078125,1111.0,1099.0,1106.0,352370
2021-10-29,Unite Group,998.9796752929688,1106.0,1086.0,1099.5,423240
2021-11-01,Unite Group,998.06201171875,1106.0,1080.5,1101.0,454524
2021-11-02,Unite Group,997.144287109375,1098.0,1079.0,1089.0,359959
2021-11-03,Unite Group,998.5208129882812,1088.0,1069.8800048828125,1084.0,436609
2021-11-04,Unite Group,1017.7938232421875,1129.5,1090.8719482421875,1095.5,518019
2021-11-05,Unite Group,1022.8413696289062,1137.0,1099.0,1137.0,478867
2021-11-08,Unite Group,1017.7938232421875,1117.5,1103.5,1114.5,515816
2021-11-09,Unite Group,1016.4171142578125,1114.0,1074.14697265625,1085.0,721944
2021-11-10,Unite Group,1009.5339965820312,1128.5,1087.0,1128.0,422474
2021-11-11,Unite Group,996.2264404296875,1101.0,1083.5,1088.5,567603
2021-11-12,Unite Group,1011.3694458007812,1112.0,1090.0,1112.0,380534
2021-11-15,Unite Group,1012.7460327148438,1110.0,1097.5,1110.0,331328
2021-11-16,Unite Group,1018.7114868164062,1121.5,1074.0,1074.0,426883
2021-11-17,Unite Group,1005.4041137695312,1112.0,1086.0,1096.5,776545
2021-11-18,Unite Group,1016.8759765625,1110.5,1095.5,1100.5,379641
2021-11-19,Unite Group,1013.205078125,1116.0,1096.5,1116.0,534574
2021-11-22,Unite Group,989.8021240234375,1106.0,1075.58203125,1103.5,584675
2021-11-23,Unite Group,990.2611083984375,1086.5,1065.5,1073.5,695608
2021-11-24,Unite Group,1002.6508178710938,1101.0,1082.0,1085.0,393466
2021-11-25,Unite Group,1018.2525024414062,1113.5,1085.5,1113.0,225565
2021-11-26,Unite Group,984.7545166015625,1086.0,1063.5,1083.5,1038204
2021-11-29,Unite Group,995.767578125,1101.5,1077.0,1084.0,771701
2021-11-30,Unite Group,973.741455078125,1082.0,1043.0,1082.0,1110599
2021-12-01,Unite Group,989.3433227539062,1078.5,1049.0,1067.0,530577
2021-12-02,Unite Group,982.001220703125,1079.5,1063.5,1075.5,496632
2021-12-03,Unite Group,973.741455078125,1089.5,1059.0,1089.5,558571
2021-12-06,Unite Group,1000.3563842773438,1110.5,1062.5,1062.5,827489
2021-12-07,Unite Group,1023.3003540039062,1122.0,1091.0,1093.0,820426
2021-12-08,Unite Group,1026.971435546875,1126.0,1109.5,1115.5,731432
2021-12-09,Unite Group,1022.8413696289062,1133.5,1108.0,1122.0,1010259
2021-12-10,Unite Group,1000.815185546875,1135.0,1090.5,1135.0,650280
2021-12-13,Unite Group,981.0833740234375,1090.0,1063.5,1078.5,956090
2021-12-14,Unite Group,972.8235473632812,1087.0,1058.0,1077.5,812753
2021-12-15,Unite Group,970.0704345703125,1071.0,1046.5,1054.0,910865
2021-12-16,Unite Group,961.8104858398438,1072.5,1048.0,1070.0,932615
2021-12-17,Unite Group,974.6591186523438,1064.5,1033.5,1034.0,1543450
2021-12-20,Unite Group,948.9619140625,1041.0,1024.0,1037.5,667815
2021-12-21,Unite Group,970.5293579101562,1059.5,1046.5,1058.5,289345
2021-12-22,Unite Group,976.0358276367188,1071.0,1052.5,1053.0,479164
2021-12-23,Unite Group,980.6244506835938,1077.5,1035.5,1035.5,567028
2021-12-24,Unite Group,984.7545166015625,1080.5,1073.0,1076.0,36380
2021-12-29,Unite Group,993.0142211914062,1096.5,1078.5,1078.5,249474
2021-12-30,Unite Group,1009.5339965820312,1100.0,1078.0,1078.0,550341
2021-12-31,Unite Group,1019.1703491210938,1110.5,1096.800048828125,1110.0,154950
2022-01-04,Unite Group,1031.5601806640625,1124.0,1102.0,1124.0,675191
2022-01-05,Unite Group,1015.958251953125,1124.0,1098.699951171875,1124.0,361352
2022-01-06,Unite Group,1003.1096801757812,1099.5,1088.0,1095.0,487286
2022-01-07,Unite Group,993.0142211914062,1093.5,1072.5,1078.0,327607
2022-01-10,Unite Group,986.590087890625,1085.0,1062.5,1084.0,535908
2022-01-11,Unite Group,977.4124145507812,1089.5,1063.0,1079.5,454861
2022-01-12,Unite Group,982.9189453125,1075.0,1047.0,1047.0,398596
2022-01-13,Unite Group,982.001220703125,1076.5,1047.5,1047.5,393025
2022-01-14,Unite Group,972.8235473632812,1076.0,1046.0,1046.0,536423
2022-01-17,Unite Group,977.8713989257812,1074.0,1039.0,1039.0,230419
2022-01-18,Unite Group,957.2217407226562,1063.0,1038.0,1061.0,731553
2022-01-19,Unite Group,959.9749755859375,1049.0,1018.0,1018.0,590343
2022-01-20,Unite Group,958.1394653320312,1050.0,1020.5,1020.5,705081
2022-01-21,Unite Group,954.0096435546875,1039.5,1018.5,1018.5,559233
2022-01-24,Unite Group,939.325439453125,1042.5,1012.5,1042.5,565045
2022-01-25,Unite Group,946.2086791992188,1035.0,1014.0,1034.0,523163
2022-01-26,Unite Group,961.3516845703125,1056.0,1034.0,1034.0,326934
2022-01-27,Unite Group,956.7627563476562,1044.5,1029.0,1035.0,527148
2022-01-28,Unite Group,950.3385009765625,1055.5,1030.5,1055.5,1160497
2022-01-31,Unite Group,948.9619140625,1045.5,1026.0,1027.0,900290
2022-02-01,Unite Group,955.38623046875,1051.75,1033.5,1043.5,877426
2022-02-02,Unite Group,967.3170166015625,1064.5,1046.5,1056.0,477477
2022-02-03,Unite Group,954.9273071289062,1058.0,1035.0,1035.0,334034
2022-02-04,Unite Group,931.0656127929688,1065.5,1014.5,1065.5,323557
