Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Fortinet,51.15800094604492,51.89400100708008,50.95399856567383,51.61600112915039,4102500
2021-07-13,Fortinet,51.40800094604492,51.689998626708984,50.79999923706055,51.18000030517578,2545500
2021-07-14,Fortinet,51.167999267578125,51.73400115966797,50.72600173950195,51.58000183105469,3674500
2021-07-15,Fortinet,51.2599983215332,52.380001068115234,50.86199951171875,51.55400085449219,6286000
2021-07-16,Fortinet,51.6879997253418,52.55400085449219,51.641998291015625,51.720001220703125,4327000
2021-07-19,Fortinet,51.32600021362305,51.66999816894531,50.4739990234375,51.02000045776367,4539000
2021-07-20,Fortinet,52.768001556396484,53.029998779296875,51.599998474121094,51.89799880981445,3952500
2021-07-21,Fortinet,52.93000030517578,53.20399856567383,52.40999984741211,52.84199905395508,4078500
2021-07-22,Fortinet,54.150001525878906,54.28799819946289,53.13800048828125,53.25400161743164,4041500
2021-07-23,Fortinet,55.141998291015625,55.21799850463867,53.7239990234375,54.1879997253418,4112500
2021-07-26,Fortinet,54.46799850463867,55.400001525878906,54.428001403808594,55.31999969482422,3356500
2021-07-27,Fortinet,54.22800064086914,54.683998107910156,53.33599853515625,54.47999954223633,3686500
2021-07-28,Fortinet,54.3380012512207,54.763999938964844,53.816001892089844,54.400001525878906,4005500
2021-07-29,Fortinet,54.84199905395508,55.34000015258789,54.433998107910156,54.45600128173828,4835000
2021-07-30,Fortinet,54.448001861572266,54.75600051879883,50.0,54.198001861572266,9331500
2021-08-02,Fortinet,56.92399978637695,57.70800018310547,54.02799987792969,54.854000091552734,10210500
2021-08-03,Fortinet,59.551998138427734,59.599998474121094,57.0,57.09400177001953,7555000
2021-08-04,Fortinet,60.80400085449219,61.119998931884766,58.689998626708984,59.470001220703125,6016000
2021-08-05,Fortinet,60.00400161743164,61.301998138427734,59.65399932861328,61.0,6621000
2021-08-06,Fortinet,60.736000061035156,60.75400161743164,59.20000076293945,59.709999084472656,3981500
2021-08-09,Fortinet,60.22200012207031,61.099998474121094,59.8380012512207,61.029998779296875,3624500
2021-08-10,Fortinet,60.08000183105469,60.87200164794922,59.624000549316406,60.305999755859375,3611000
2021-08-11,Fortinet,59.73400115966797,60.59600067138672,58.742000579833984,60.2859992980957,4897500
2021-08-12,Fortinet,61.13199996948242,61.95800018310547,59.65599822998047,59.86800003051758,5780500
2021-08-13,Fortinet,61.86600112915039,61.90599822998047,60.44200134277344,60.70000076293945,2991500
2021-08-16,Fortinet,60.487998962402344,61.79999923706055,59.73400115966797,61.79999923706055,3789000
2021-08-17,Fortinet,59.72600173950195,60.45399856567383,59.03799819946289,60.02799987792969,4477500
2021-08-18,Fortinet,58.54399871826172,59.779998779296875,58.51599884033203,59.63800048828125,4402000
2021-08-19,Fortinet,59.15599822998047,59.715999603271484,57.25199890136719,57.55799865722656,4093000
2021-08-20,Fortinet,59.5880012512207,59.917999267578125,59.066001892089844,59.540000915527344,3658000
2021-08-23,Fortinet,61.50400161743164,61.689998626708984,60.33399963378906,60.37799835205078,4704500
2021-08-24,Fortinet,59.96799850463867,61.60200119018555,59.82400131225586,61.599998474121094,5207500
2021-08-25,Fortinet,61.20600128173828,61.56800079345703,60.0359992980957,60.099998474121094,4008500
2021-08-26,Fortinet,62.0260009765625,62.31399917602539,61.05400085449219,61.060001373291016,3659000
2021-08-27,Fortinet,63.21200180053711,63.487998962402344,61.77399826049805,62.09600067138672,4456000
2021-08-30,Fortinet,63.87799835205078,64.37999725341797,63.599998474121094,63.82400131225586,3393000
2021-08-31,Fortinet,63.02799987792969,64.11599731445312,62.64400100708008,64.0,5856500
2021-09-01,Fortinet,61.694000244140625,63.5880012512207,60.88600158691406,63.507999420166016,8388000
2021-09-02,Fortinet,62.779998779296875,63.36000061035156,62.09199905395508,62.263999938964844,4073500
2021-09-03,Fortinet,64.03800201416016,64.28600311279297,62.76599884033203,62.76599884033203,3534500
2021-09-07,Fortinet,62.816001892089844,64.4000015258789,62.47999954223633,64.19999694824219,4063000
2021-09-08,Fortinet,61.84000015258789,63.14799880981445,61.61000061035156,62.61000061035156,5401000
