Date,Company,Adj Close,High,Low,Open,Volume
2021-07-12,Johnson & Johnson,155.84132385253906,171.17999267578125,168.5399932861328,169.72999572753906,7840500
2021-07-13,Johnson & Johnson,155.64820861816406,169.75999450683594,168.6699981689453,168.97000122070312,4691200
2021-07-14,Johnson & Johnson,156.70567321777344,170.8300018310547,169.0399932861328,170.0,6162900
2021-07-15,Johnson & Johnson,154.8206329345703,169.89999389648438,167.72000122070312,169.3000030517578,6656900
2021-07-16,Johnson & Johnson,154.5723876953125,169.08999633789062,167.9499969482422,168.33999633789062,5834900
2021-07-19,Johnson & Johnson,153.4505615234375,168.19000244140625,165.32000732421875,166.47999572753906,8219700
2021-07-20,Johnson & Johnson,154.89418029785156,170.80999755859375,166.83999633789062,166.89999389648438,9902800
2021-07-21,Johnson & Johnson,155.85052490234375,169.69000244140625,167.47999572753906,169.3000030517578,7585200
2021-07-22,Johnson & Johnson,156.3010711669922,171.07000732421875,168.64999389648438,169.36000061035156,5281900
2021-07-23,Johnson & Johnson,157.9654083251953,172.17999267578125,170.3800048828125,171.0,5014900
2021-07-26,Johnson & Johnson,158.03895568847656,172.13999938964844,170.86000061035156,171.82000732421875,4484900
2021-07-27,Johnson & Johnson,158.7654266357422,172.72000122070312,170.6699981689453,171.8000030517578,7089300
2021-07-28,Johnson & Johnson,158.3240509033203,173.3800048828125,172.0800018310547,172.72999572753906,5750700
2021-07-29,Johnson & Johnson,158.3240509033203,173.33999633789062,171.08999633789062,172.74000549316406,4214100
2021-07-30,Johnson & Johnson,158.34242248535156,172.97999572753906,171.83999633789062,172.5399932861328,5346400
2021-08-02,Johnson & Johnson,158.40682983398438,172.83999633789062,171.3000030517578,172.47000122070312,3721500
2021-08-03,Johnson & Johnson,160.356201171875,174.5,172.44000244140625,172.72999572753906,6033000
2021-08-04,Johnson & Johnson,159.40908813476562,174.58999633789062,173.25999450683594,174.1999969482422,4793100
2021-08-05,Johnson & Johnson,159.7125244140625,173.85000610351562,172.4199981689453,173.85000610351562,4291000
2021-08-06,Johnson & Johnson,159.17921447753906,173.94000244140625,172.4499969482422,173.94000244140625,4581100
2021-08-09,Johnson & Johnson,159.7309112548828,174.25,172.92999267578125,173.72000122070312,3950200
2021-08-10,Johnson & Johnson,159.7860870361328,174.11000061035156,172.77999877929688,173.25999450683594,3678300
2021-08-11,Johnson & Johnson,159.81369018554688,174.47000122070312,173.55999755859375,174.25,4221300
2021-08-12,Johnson & Johnson,161.10101318359375,175.2899932861328,173.58999633789062,173.82000732421875,4300400
2021-08-13,Johnson & Johnson,162.0664825439453,176.2899932861328,175.1199951171875,175.2899932861328,5882100
2021-08-16,Johnson & Johnson,163.52854919433594,177.88999938964844,175.9499969482422,176.5500030517578,4782800
2021-08-17,Johnson & Johnson,165.0273895263672,179.50999450683594,177.30999755859375,177.30999755859375,6041900
2021-08-18,Johnson & Johnson,162.93087768554688,179.5,177.1300048828125,179.5,7134100
2021-08-19,Johnson & Johnson,164.1998291015625,179.3300018310547,176.07000732421875,176.6199951171875,5615000
2021-08-20,Johnson & Johnson,164.9998016357422,179.9199981689453,178.07000732421875,178.88999938964844,5428700
2021-08-23,Johnson & Johnson,164.28756713867188,178.92999267578125,177.5399932861328,178.38999938964844,6461700
2021-08-24,Johnson & Johnson,162.2340850830078,177.2100067138672,175.27999877929688,176.99000549316406,5734800
2021-08-25,Johnson & Johnson,161.16110229492188,175.89999389648438,173.88999938964844,175.69000244140625,5700300
2021-08-26,Johnson & Johnson,160.30084228515625,174.72000122070312,173.0500030517578,173.9499969482422,5031600
2021-08-27,Johnson & Johnson,159.95860290527344,174.27999877929688,172.75,174.27999877929688,7046100
2021-08-30,Johnson & Johnson,160.6338348388672,174.27999877929688,172.77999877929688,172.7899932861328,3252700
2021-08-31,Johnson & Johnson,160.14361572265625,174.49000549316406,172.47999572753906,173.49000549316406,7106800
2021-09-01,Johnson & Johnson,160.70782470703125,173.74000549316406,172.05999755859375,172.89999389648438,5327400
2021-09-02,Johnson & Johnson,161.80859375,175.19000244140625,173.91000366210938,174.33999633789062,4544300
2021-09-03,Johnson & Johnson,161.91033935546875,175.22000122070312,173.80999755859375,175.10000610351562,4096900
2021-09-07,Johnson & Johnson,159.3943634033203,175.02999877929688,171.6699981689453,174.35000610351562,6859900
2021-09-08,Johnson & Johnson,159.00584411621094,172.97999572753906,171.0800018310547,171.6199951171875,4661700
2021-09-09,Johnson & Johnson,155.46316528320312,171.47999572753906,167.6999969482422,171.19000244140625,7114600
2021-09-10,Johnson & Johnson,154.4456329345703,169.08999633789062,166.8699951171875,168.5500030517578,6699300
2021-09-13,Johnson & Johnson,153.36341857910156,168.1199951171875,165.1300048828125,167.9199981689453,6273500
2021-09-14,Johnson & Johnson,152.4384307861328,166.5399932861328,164.50999450683594,166.39999389648438,5259600
2021-09-15,Johnson & Johnson,153.0119171142578,165.9600067138672,164.30999755859375,165.0,7935300
2021-09-16,Johnson & Johnson,152.8269500732422,166.4600067138672,164.19000244140625,165.64999389648438,5665400
2021-09-17,Johnson & Johnson,152.3921661376953,164.91000366210938,163.55999755859375,164.3000030517578,13419800
2021-09-20,Johnson & Johnson,151.522705078125,165.1699981689453,162.1699981689453,163.47999572753906,7270800
2021-09-21,Johnson & Johnson,152.18869018554688,165.97999572753906,164.24000549316406,164.61000061035156,6663600
2021-09-22,Johnson & Johnson,151.63368225097656,165.9499969482422,163.6300048828125,165.35000610351562,5657100
2021-09-23,Johnson & Johnson,152.49392700195312,165.77000427246094,164.14999389648438,164.39999389648438,4697900
2021-09-24,Johnson & Johnson,152.03143310546875,165.64999389648438,163.88999938964844,164.75,4399300
2021-09-27,Johnson & Johnson,150.93069458007812,164.36000061035156,162.85000610351562,164.0,5775500
2021-09-28,Johnson & Johnson,150.5977020263672,163.91000366210938,161.77000427246094,163.10000610351562,7610400
2021-09-29,Johnson & Johnson,151.71694946289062,164.66000366210938,162.77999877929688,163.0,5124100
2021-09-30,Johnson & Johnson,149.38595581054688,165.39999389648438,161.41000366210938,164.63999938964844,6972300
2021-10-01,Johnson & Johnson,148.43321228027344,161.89999389648438,158.6199951171875,161.52999877929688,8568300
2021-10-04,Johnson & Johnson,147.27699279785156,161.0,157.6699981689453,159.99000549316406,8620700
2021-10-05,Johnson & Johnson,147.60997009277344,161.11000061035156,159.14999389648438,159.86000061035156,5129000
2021-10-06,Johnson & Johnson,147.9152069091797,159.9499969482422,157.83999633789062,159.8699951171875,7312600
2021-10-07,Johnson & Johnson,149.23793029785156,162.61000061035156,160.02000427246094,160.02000427246094,5309200
2021-10-08,Johnson & Johnson,148.85870361328125,161.61000061035156,160.25,161.32000732421875,4343200
2021-10-11,Johnson & Johnson,148.22970581054688,161.85000610351562,159.94000244140625,160.86000061035156,4101600
2021-10-12,Johnson & Johnson,145.86175537109375,160.17999267578125,157.33999633789062,160.0,6686400
2021-10-13,Johnson & Johnson,147.25848388671875,160.0800018310547,157.75,157.82000732421875,6901100
2021-10-14,Johnson & Johnson,148.10018920898438,161.13999938964844,159.60000610351562,159.7100067138672,4579200
2021-10-15,Johnson & Johnson,149.2009735107422,161.80999755859375,160.41000366210938,161.02999877929688,6918400
2021-10-18,Johnson & Johnson,148.10948181152344,160.88999938964844,159.1999969482422,160.25,7465500
2021-10-19,Johnson & Johnson,151.57818603515625,165.14999389648438,160.72999572753906,160.89999389648438,10081300
2021-10-20,Johnson & Johnson,151.49493408203125,164.75,163.25999450683594,163.97999572753906,6003200
2021-10-21,Johnson & Johnson,151.1434326171875,164.38999938964844,162.27999877929688,164.3000030517578,4524100
2021-10-22,Johnson & Johnson,151.43943786621094,164.05999755859375,162.9600067138672,163.05999755859375,4304300
2021-10-25,Johnson & Johnson,151.7724609375,164.30999755859375,161.7100067138672,163.72000122070312,6715400
2021-10-26,Johnson & Johnson,153.31715393066406,166.02999877929688,164.0500030517578,164.55999755859375,6939100
2021-10-27,Johnson & Johnson,151.4579315185547,165.75999450683594,163.30999755859375,165.67999267578125,7018800
2021-10-28,Johnson & Johnson,150.6346893310547,165.1999969482422,162.32000732421875,163.77000427246094,6278800
2021-10-29,Johnson & Johnson,150.66244506835938,163.25,160.61000061035156,162.35000610351562,8526800
2021-11-01,Johnson & Johnson,150.79196166992188,163.97999572753906,159.39999389648438,163.16000366210938,5846400
2021-11-02,Johnson & Johnson,153.16917419433594,166.97999572753906,162.97999572753906,163.6999969482422,8450600
2021-11-03,Johnson & Johnson,152.67893981933594,165.77000427246094,163.42999267578125,165.0399932861328,6717800
2021-11-04,Johnson & Johnson,152.25344848632812,164.99000549316406,162.6699981689453,164.94000244140625,8224400
2021-11-05,Johnson & Johnson,151.17115783691406,164.60000610351562,162.1999969482422,162.47999572753906,6215900
